date,total,ballot_not_surrendered,ballot_surrendered
2025-09-19,3,3,0
2025-09-20,46,45,1
2025-09-21,0,0,0
2025-09-22,46,46,0
2025-09-23,46,39,7
2025-09-24,26,10,16
2025-09-25,27,11,16
2025-09-26,26,12,14
2025-09-27,0,0,0
2025-09-28,0,0,0
2025-09-29,20,8,12
2025-09-30,16,7,9
2025-10-01,23,5,18
2025-10-02,15,9,6
2025-10-03,29,11,18
2025-10-04,0,0,0
2025-10-05,0,0,0
2025-10-06,12,2,10
2025-10-07,26,15,11
2025-10-08,15,3,12
2025-10-09,21,5,16
2025-10-10,23,6,17
2025-10-11,0,0,0
2025-10-12,0,0,0
2025-10-13,33,15,18
2025-10-14,21,9,12
2025-10-15,21,7,14
2025-10-16,17,5,12
2025-10-17,18,11,7
2025-10-18,0,0,0
2025-10-19,0,0,0
2025-10-20,31,11,20
2025-10-21,25,12,13
2025-10-22,17,9,8
2025-10-23,76,49,27
2025-10-24,93,54,39
2025-10-25,132,62,70
2025-10-26,53,25,28
2025-10-27,87,53,34
2025-10-28,81,40,41
2025-10-29,88,52,36
2025-10-30,90,36,54
2025-10-31,126,91,35
2025-11-01,225,160,65
