date,total,government_center,mt_vernon,north_county,burke,centreville,franconia,great_falls,herndon_fortnightly,jim_scott,lorton,mason,mclean,sully,thomas_jefferson,tysons_pimmit,west_springfield
2025-09-19,2432,1301,454,677,,,,,,,,,,,,,
2025-09-20,2032,990,387,655,,,,,,,,,,,,,
2025-09-21,0,,,,,,,,,,,,,,,,
2025-09-22,1746,939,313,494,,,,,,,,,,,,,
2025-09-23,1730,925,359,446,,,,,,,,,,,,,
2025-09-24,1406,717,285,404,,,,,,,,,,,,,
2025-09-25,1364,691,333,340,,,,,,,,,,,,,
2025-09-26,1982,1100,414,468,,,,,,,,,,,,,
2025-09-27,0,,,,,,,,,,,,,,,,
2025-09-28,0,,,,,,,,,,,,,,,,
2025-09-29,1680,904,395,381,,,,,,,,,,,,,
2025-09-30,1403,790,326,287,,,,,,,,,,,,,
2025-10-01,1496,862,327,307,,,,,,,,,,,,,
2025-10-02,1733,1031,352,350,,,,,,,,,,,,,
2025-10-03,2073,1249,409,415,,,,,,,,,,,,,
2025-10-04,0,,,,,,,,,,,,,,,,
2025-10-05,0,,,,,,,,,,,,,,,,
2025-10-06,1706,976,383,347,,,,,,,,,,,,,
2025-10-07,1479,817,362,300,,,,,,,,,,,,,
2025-10-08,1271,716,270,285,,,,,,,,,,,,,
2025-10-09,1284,699,316,269,,,,,,,,,,,,,
2025-10-10,2030,1143,465,422,,,,,,,,,,,,,
2025-10-11,0,,,,,,,,,,,,,,,,
2025-10-12,0,,,,,,,,,,,,,,,,
2025-10-13,2158,1274,436,448,,,,,,,,,,,,,
2025-10-14,1727,988,383,356,,,,,,,,,,,,,
2025-10-15,1429,749,343,337,,,,,,,,,,,,,
2025-10-16,1314,690,312,312,,,,,,,,,,,,,
2025-10-17,1879,1053,387,439,,,,,,,,,,,,,
2025-10-18,0,,,,,,,,,,,,,,,,
2025-10-19,0,,,,,,,,,,,,,,,,
2025-10-20,1797,936,437,424,,,,,,,,,,,,,
2025-10-21,1608,832,394,382,,,,,,,,,,,,,
2025-10-22,1425,753,353,319,,,,,,,,,,,,,
2025-10-23,8012,696,331,374,558,464,697,261,402,461,480,606,698,372,388,454,770
2025-10-24,8913,1167,406,463,580,437,753,299,407,490,355,675,722,378,380,538,863
2025-10-25,12112,1494,707,901,806,595,859,403,600,741,495,647,1025,501,576,722,1040
2025-10-26,5089,490,281,301,318,280,349,173,225,313,193,349,508,237,273,402,397
2025-10-27,7917,990,471,420,587,354,647,223,302,413,322,559,696,320,342,471,800
2025-10-28,7282,958,462,414,475,350,583,206,306,392,319,506,589,314,296,432,680
2025-10-29,7408,975,490,547,501,322,588,213,302,387,297,511,555,320,297,419,684
2025-10-30,8425,1132,608,629,573,401,671,243,350,430,327,546,592,308,362,461,792
2025-10-31,10550,1715,667,814,626,481,797,319,456,562,433,640,761,421,441,553,864
2025-11-01,19329,2164,1306,1622,1174,1038,1371,625,1006,1157,852,1177,1469,773,957,1084,1554
