date,phase,early_in_person_daily,early_in_person_cumulative,mail_returned_daily,mail_returned_cumulative,combined_daily,combined_cumulative,is_correction,span_days
2023-09-22,early,132,132,0,0,132,132,false,1
2023-09-23,early,0,132,0,0,0,132,false,1
2023-09-24,early,0,132,0,0,0,132,false,1
2023-09-25,early,72,204,1,1,73,205,false,1
2023-09-26,early,49,253,1,2,50,255,false,1
2023-09-27,early,53,306,13,15,66,321,false,1
2023-09-28,early,57,363,19,34,76,397,false,1
2023-09-29,early,0,363,341,375,341,738,false,1
2023-09-30,early,0,363,27,402,27,765,false,2
2023-10-01,early,0,363,0,402,0,765,false,2
2023-10-02,early,84,447,38,440,122,887,false,1
2023-10-03,early,71,518,733,1173,804,1691,false,1
2023-10-04,early,192,710,480,1653,672,2363,true,2
2023-10-05,early,0,710,0,1653,0,2363,true,2
2023-10-06,early,98,808,396,2049,494,2857,false,1
2023-10-07,early,0,808,10,2059,10,2867,false,1
2023-10-08,early,0,808,12,2071,12,2879,false,1
2023-10-09,early,0,808,4,2075,4,2883,false,1
2023-10-10,early,97,905,24,2099,121,3004,false,1
2023-10-11,early,167,1072,401,2500,568,3572,false,1
2023-10-12,early,134,1206,21,2521,155,3727,false,1
2023-10-13,early,166,1372,304,2825,470,4197,false,1
2023-10-14,early,0,1372,8,2833,8,4205,false,1
2023-10-15,early,0,1372,1,2834,1,4206,false,1
2023-10-16,early,128,1500,287,3121,415,4621,false,1
2023-10-17,early,119,1619,149,3270,268,4889,false,1
2023-10-18,early,108,1727,14,3284,122,5011,false,1
2023-10-19,early,117,1844,17,3301,134,5145,false,1
2023-10-20,early,185,2029,160,3461,345,5490,false,1
2023-10-21,early,0,2029,16,3477,16,5506,false,1
2023-10-22,early,0,2029,3,3480,3,5509,false,1
2023-10-23,early,158,2187,343,3823,501,6010,false,1
2023-10-24,early,146,2333,184,4007,330,6340,false,1
2023-10-25,early,162,2495,14,4021,176,6516,false,1
2023-10-26,early,145,2640,128,4149,273,6789,false,1
2023-10-27,early,461,3101,149,4298,610,7399,false,1
2023-10-28,early,828,3929,0,4298,828,8227,false,1
2023-10-29,early,289,4218,14,4312,303,8530,false,1
2023-10-30,early,460,4678,230,4542,690,9220,false,1
2023-10-31,early,420,5098,18,4560,438,9658,false,1
2023-11-01,early,511,5609,18,4578,529,10187,false,1
2023-11-02,early,562,6171,450,5028,1012,11199,false,1
2023-11-03,early,778,6949,307,5335,1085,12284,false,1
2023-11-04,early,1524,8473,47,5382,1571,13855,false,1
2023-11-05,election,0,8473,13,5395,13,13868,false,1
2023-11-06,election,7,8480,435,5830,442,14310,false,1
2023-11-07,election,0,8480,295,6125,295,14605,false,1
2023-11-08,post,0,8480,76,6201,76,14681,false,1
2023-11-09,post,0,8480,397,6598,397,15078,false,1
2023-11-10,post,0,8480,0,6598,0,15078,false,1
2023-11-11,post,0,8480,0,6598,0,15078,false,1
2023-11-12,post,0,8480,0,6598,0,15078,false,1
