date,phase,early_in_person_daily,early_in_person_cumulative,mail_returned_daily,mail_returned_cumulative,combined_daily,combined_cumulative,is_correction,span_days
2024-09-16,pre,1,1,0,0,1,1,false,1
2024-09-17,pre,0,1,0,0,0,1,false,1
2024-09-18,pre,-1,0,0,0,-1,0,true,1
2024-09-19,pre,0,0,0,0,0,0,false,1
2024-09-20,early,2048,2048,0,0,2048,2048,false,1
2024-09-21,early,0,2048,0,0,0,2048,false,1
2024-09-22,early,0,2048,0,0,0,2048,false,1
2024-09-23,early,1107,3155,6,6,1113,3161,false,1
2024-09-24,early,693,3848,0,6,693,3854,false,1
2024-09-25,early,608,4456,73,79,681,4535,false,1
2024-09-26,early,542,4998,334,413,876,5411,false,1
2024-09-27,early,902,5900,135,548,1037,6448,false,1
2024-09-28,early,0,5900,0,548,0,6448,false,1
2024-09-29,early,0,5900,0,548,0,6448,false,1
2024-09-30,early,595,6495,383,931,978,7426,false,1
2024-10-01,early,0,6495,1440,2371,1440,8866,false,1
2024-10-02,early,875,7370,209,2580,1084,9950,false,1
2024-10-03,early,680,8050,132,2712,812,10762,false,1
2024-10-04,early,905,8955,1035,3747,1940,12702,false,1
2024-10-05,early,0,8955,0,3747,0,12702,false,1
2024-10-06,early,0,8955,0,3747,0,12702,false,1
2024-10-07,early,0,8955,387,4134,387,13089,false,1
2024-10-08,early,1261,10216,651,4785,1912,15001,false,1
2024-10-09,early,502,10718,1145,5930,1647,16648,false,1
2024-10-10,early,591,11309,628,6558,1219,17867,false,1
2024-10-11,early,1231,12540,14,6572,1245,19112,false,1
2024-10-12,early,0,12540,0,6572,0,19112,false,1
2024-10-13,early,0,12540,0,6572,0,19112,false,1
2024-10-14,early,969,13509,591,7163,1560,20672,false,1
2024-10-15,early,761,14270,768,7931,1529,22201,false,1
2024-10-16,early,1882,16152,290,8221,2172,24373,false,1
2024-10-17,early,0,16152,570,8791,570,24943,false,1
2024-10-18,early,3716,19868,127,8918,3843,28786,false,1
2024-10-19,early,3048,22916,0,8918,3048,31834,false,1
2024-10-20,early,1539,24455,0,8918,1539,33373,false,1
2024-10-21,early,1632,26087,778,9696,2410,35783,false,1
2024-10-22,early,1546,27633,938,10634,2484,38267,false,1
2024-10-23,early,1671,29304,345,10979,2016,40283,false,1
2024-10-24,early,0,29304,766,11745,766,41049,false,1
2024-10-25,early,4308,33612,541,12286,4849,45898,false,1
2024-10-26,early,0,33612,0,12286,0,45898,false,1
2024-10-27,early,4648,38260,0,12286,4648,50546,false,1
2024-10-28,early,2539,40799,1272,13558,3811,54357,false,1
2024-10-29,early,2591,43390,752,14310,3343,57700,false,1
2024-10-30,early,2799,46189,618,14928,3417,61117,false,1
2024-10-31,early,2793,48982,786,15714,3579,64696,false,1
2024-11-01,early,4437,53419,528,16242,4965,69661,false,1
2024-11-02,early,4654,58073,0,16242,4654,74315,false,1
2024-11-03,election,0,58073,0,16242,0,74315,false,1
2024-11-04,election,0,58073,487,16729,487,74802,false,1
2024-11-05,election,0,58073,2178,18907,2178,76980,false,1
2024-11-06,post,0,58073,175,19082,175,77155,false,1
2024-11-07,post,0,58073,801,19883,801,77956,false,1
2024-11-08,post,0,58073,270,20153,270,78226,false,1
2024-11-09,post,0,58073,0,20153,0,78226,false,1
2024-11-10,post,0,58073,0,20153,0,78226,false,1
