date,total,centreville,franconia,government_center,great_falls,herndon_fortnightly,laurel_hill,mason,mclean,mt_vernon,north_county,providence,sully,thomas_jefferson,tysons_pimmit,west_springfield
2020-09-18,1213,,,1213,,,,,,,,,,,,
2020-09-19,1048,,,1048,,,,,,,,,,,,
2020-09-20,,,,,,,,,,,,,,,,
2020-09-21,1003,,,1003,,,,,,,,,,,,
2020-09-22,901,,,901,,,,,,,,,,,,
2020-09-23,1121,,,1121,,,,,,,,,,,,
2020-09-24,1226,,,1226,,,,,,,,,,,,
2020-09-25,1264,,,1264,,,,,,,,,,,,
2020-09-26,,,,,,,,,,,,,,,,
2020-09-27,,,,,,,,,,,,,,,,
2020-09-28,1209,,,1209,,,,,,,,,,,,
2020-09-29,1270,,,1270,,,,,,,,,,,,
2020-09-30,1222,,,1222,,,,,,,,,,,,
2020-10-01,1244,,,1244,,,,,,,,,,,,
2020-10-02,1464,,,1464,,,,,,,,,,,,
2020-10-03,,,,,,,,,,,,,,,,
2020-10-04,,,,,,,,,,,,,,,,
2020-10-05,1213,,,1213,,,,,,,,,,,,
2020-10-06,1310,,,1310,,,,,,,,,,,,
2020-10-07,1323,,,1323,,,,,,,,,,,,
2020-10-08,1309,,,1309,,,,,,,,,,,,
2020-10-09,1490,,,1490,,,,,,,,,,,,
2020-10-10,1240,,,1240,,,,,,,,,,,,
2020-10-11,,,,,,,,,,,,,,,,
2020-10-12,,,,,,,,,,,,,,,,
2020-10-13,1238,,,1238,,,,,,,,,,,,
2020-10-14,7473,428,459,1631,,343,365,445,570,552,494,517,382,378,491,418
2020-10-15,8296,462,520,1561,,412,382,571,694,621,564,571,419,433,510,576
2020-10-16,9006,536,525,1661,,440,410,596,724,710,640,670,412,510,551,621
2020-10-17,10959,664,648,1257,676,576,416,781,999,837,743,861,516,588,665,732
2020-10-18,,,,,,,,,,,,,,,,
2020-10-19,9274,525,572,1674,,549,391,639,845,702,650,654,410,513,534,616
2020-10-20,9722,586,557,1757,,566,470,641,749,788,675,717,460,537,571,648
2020-10-21,9972,645,631,1755,,619,518,629,825,730,727,717,467,495,581,633
2020-10-22,9810,688,607,1633,,638,484,615,836,719,681,682,474,497,622,634
2020-10-23,9947,649,624,1764,,592,549,626,800,773,682,708,468,506,579,627
2020-10-24,11352,668,694,1289,798,732,671,735,929,887,774,689,530,595,605,756
2020-10-25,,,,,,,,,,,,,,,,
2020-10-26,10565,693,589,1773,,670,612,604,812,815,721,728,522,593,676,757
2020-10-27,10945,705,624,1922,,666,634,633,851,869,688,743,582,618,686,724
2020-10-28,11172,663,620,1990,,674,689,661,888,891,772,782,572,636,666,668
2020-10-29,13751,907,834,2013,,857,832,859,1041,1067,965,977,780,866,857,896
2020-10-30,14165,1026,846,2114,,922,912,833,1043,1073,962,987,771,889,860,927
2020-10-31,13879,1013,811,1542,843,848,872,864,898,1098,900,840,702,882,864,902
