date,total_returned
2020-09-18,0
2020-09-19,31
2020-09-20,
2020-09-21,446
2020-09-22,284
2020-09-23,1240
2020-09-24,4225
2020-09-25,3960
2020-09-26,5068
2020-09-27,
2020-09-28,8263
2020-09-29,775
2020-09-30,7386
2020-10-01,4007
2020-10-02,3869
2020-10-03,3728
2020-10-04,
2020-10-05,5831
2020-10-06,797
2020-10-07,5544
2020-10-08,4132
2020-10-09,3664
2020-10-10,3259
2020-10-11,
2020-10-12,
2020-10-13,5991
2020-10-14,775
2020-10-15,5713
2020-10-16,5180
2020-10-17,3875
2020-10-18,
2020-10-19,5711
2020-10-20,706
2020-10-21,4464
2020-10-22,3300
2020-10-23,3434
2020-10-24,2852
2020-10-26,5169
2020-10-27,722
2020-10-28,4365
2020-10-29,3433
2020-10-30,3298
2020-10-31,2825
2020-11-02,8036
2020-11-03,2258
2020-11-04,1027
2020-11-05,746
2020-11-06,662
