date,total,burke,centreville,franconia,gerry_hyland,government_center,great_falls,herndon_fortnightly,mason,mclean,mt_vernon,north_county,providence,sully,thomas_jefferson,tysons_pimmit,west_springfield
2021-09-17,1003,,,,,579,,,,,195,229,,,,,
2021-09-18,847,,,,,391,,,,,210,246,,,,,
2021-09-19,,,,,,,,,,,,,,,,,
2021-09-20,823,,,,,456,,,,,185,182,,,,,
2021-09-21,690,,,,,382,,,,,178,130,,,,,
2021-09-22,629,,,,,367,,,,,145,117,,,,,
2021-09-23,719,,,,,431,,,,,150,138,,,,,
2021-09-24,824,,,,,476,,,,,164,184,,,,,
2021-09-25,,,,,,,,,,,,,,,,,
2021-09-26,,,,,,,,,,,,,,,,,
2021-09-27,817,,,,,477,,,,,158,182,,,,,
2021-09-28,800,,,,,492,,,,,157,151,,,,,
2021-09-29,951,,,,,567,,,,,215,169,,,,,
2021-09-30,884,,,,,531,,,,,158,195,,,,,
2021-10-01,1158,,,,,682,,,,,230,246,,,,,
2021-10-02,,,,,,,,,,,,,,,,,
2021-10-03,,,,,,,,,,,,,,,,,
2021-10-04,1035,,,,,591,,,,,214,230,,,,,
2021-10-05,976,,,,,593,,,,,192,191,,,,,
2021-10-06,861,,,,,499,,,,,175,187,,,,,
2021-10-07,896,,,,,549,,,,,172,175,,,,,
2021-10-08,1256,,,,,726,,,,,243,287,,,,,
2021-10-09,,,,,,,,,,,,,,,,,
2021-10-10,,,,,,,,,,,,,,,,,
2021-10-11,946,,,,,542,,,,,199,205,,,,,
2021-10-12,1402,,,,,809,,,,,325,268,,,,,
2021-10-13,1260,,,,,684,,,,,284,292,,,,,
2021-10-14,1261,,,,,685,,,,,303,273,,,,,
2021-10-15,1699,,,,,924,,,,,356,419,,,,,
2021-10-16,,,,,,,,,,,,,,,,,
2021-10-17,,,,,,,,,,,,,,,,,
2021-10-18,1775,,,,,857,,,,,402,516,,,,,
2021-10-19,1597,,,,,836,,,,,351,410,,,,,
2021-10-20,1542,,,,,773,,,,,387,382,,,,,
2021-10-21,6476,423,308,453,59,795,249,268,589,703,322,343,423,313,285,408,535
2021-10-22,7378,479,318,505,68,995,266,325,595,687,478,416,475,357,329,442,643
2021-10-23,9004,556,403,655,87,1015,401,428,698,890,599,615,550,351,349,566,841
2021-10-24,4656,274,250,340,49,496,205,267,289,501,237,331,296,175,192,313,441
2021-10-25,7128,462,352,474,97,945,247,350,576,695,468,432,421,280,250,393,686
2021-10-26,7573,472,356,515,74,925,261,364,559,766,563,481,486,289,320,431,711
2021-10-27,8014,499,382,531,97,1012,293,353,602,739,558,539,504,352,316,500,737
2021-10-28,8755,619,445,582,136,1045,277,442,605,783,640,581,611,352,305,546,786
2021-10-29,9715,660,535,542,175,1236,313,512,694,840,707,670,621,426,410,589,785
2021-10-30,14414,820,824,651,424,1269,636,852,930,1256,1017,1021,1093,777,802,987,1055
2021-10-31,,,,,,,,,,,,,,,,,
