date,total_mailed
2021-09-17,41065
2021-09-18,
2021-09-19,
2021-09-20,2064
2021-09-21,1597
2021-09-22,1123
2021-09-23,1038
2021-09-24,911
2021-09-25,
2021-09-26,
2021-09-27,2130
2021-09-28,1582
2021-09-29,1551
2021-09-30,1189
2021-10-01,1063
2021-10-02,
2021-10-03,
2021-10-04,2074
2021-10-05,1461
2021-10-06,1314
2021-10-07,878
2021-10-08,553
2021-10-09,
2021-10-10,
2021-10-11,2033
2021-10-12,2927
2021-10-13,2326
2021-10-14,1628
2021-10-15,1506
2021-10-16,
2021-10-17,
2021-10-18,2361
2021-10-19,2331
2021-10-20,1391
2021-10-21,1506
2021-10-22,1994
2021-10-23,
2021-10-24,
2021-10-25,623
2021-10-26,0
2021-10-27,2
2021-10-28,1
2021-10-29,2
2021-10-30,3
2021-10-31,
2021-11-01,12
