date,total,burke,centreville,franconia,government_center,great_falls,herndon_fortnightly,lorton,mason,mclean,mt_vernon,north_county,providence,sully,thomas_jefferson,tysons_pimmit,west_springfield
2022-09-23,698,,,,485,,,,,,116,97,,,,,
2022-09-24,521,,,,317,,,,,,111,93,,,,,
2022-09-25,,,,,,,,,,,,,,,,,
2022-09-26,501,,,,327,,,,,,95,79,,,,,
2022-09-27,471,,,,298,,,,,,90,83,,,,,
2022-09-28,462,,,,309,,,,,,80,73,,,,,
2022-09-29,380,,,,258,,,,,,55,67,,,,,
2022-09-30,436,,,,306,,,,,,67,63,,,,,
2022-10-01,,,,,,,,,,,,,,,,,
2022-10-02,,,,,,,,,,,,,,,,,
2022-10-03,510,,,,339,,,,,,71,100,,,,,
2022-10-04,489,,,,339,,,,,,80,70,,,,,
2022-10-05,520,,,,363,,,,,,80,77,,,,,
2022-10-06,454,,,,294,,,,,,88,72,,,,,
2022-10-07,602,,,,383,,,,,,109,110,,,,,
2022-10-08,,,,,,,,,,,,,,,,,
2022-10-09,,,,,,,,,,,,,,,,,
2022-10-10,453,,,,267,,,,,,105,81,,,,,
2022-10-11,665,,,,407,,,,,,135,123,,,,,
2022-10-12,617,,,,381,,,,,,122,114,,,,,
2022-10-13,654,,,,395,,,,,,139,120,,,,,
2022-10-14,1205,,,,725,,,,,,252,228,,,,,
2022-10-15,,,,,,,,,,,,,,,,,
2022-10-16,,,,,,,,,,,,,,,,,
2022-10-17,1223,,,,617,,,,,,287,319,,,,,
2022-10-18,1154,,,,616,,,,,,281,257,,,,,
2022-10-19,1060,,,,583,,,,,,232,245,,,,,
2022-10-20,968,,,,509,,,,,,235,224,,,,,
2022-10-21,1227,,,,714,,,,,,278,235,,,,,
2022-10-22,,,,,,,,,,,,,,,,,
2022-10-23,,,,,,,,,,,,,,,,,
2022-10-24,1325,,,,715,,,,,,321,289,,,,,
2022-10-25,1283,,,,682,,,,,,318,283,,,,,
2022-10-26,1181,,,,637,,,,,,268,276,,,,,
2022-10-27,5437,424,216,411,611,208,241,144,550,568,268,257,340,231,221,273,474
2022-10-28,5963,366,217,435,847,202,280,147,501,576,305,386,337,259,227,287,591
2022-10-29,7353,462,276,505,981,299,343,218,497,649,547,530,505,291,281,425,544
2022-10-30,3161,224,167,210,368,112,142,106,197,287,187,198,213,139,134,222,255
2022-10-31,4972,329,229,400,675,171,219,130,403,436,352,289,250,201,196,215,477
2022-11-01,5244,336,218,431,668,168,265,158,402,472,382,352,286,194,152,277,483
2022-11-02,5662,385,237,397,737,174,291,191,381,486,470,403,315,226,210,264,495
2022-11-03,5892,362,275,428,821,203,279,159,350,508,462,440,348,241,206,331,479
2022-11-04,8698,460,407,610,1375,257,446,238,581,711,650,603,508,387,294,460,711
2022-11-05,10727,693,539,670,1440,450,649,340,601,894,836,785,605,417,440,678,690
