date,total_returned_dropbox
2022-09-23,0
2022-09-24,
2022-09-25,
2022-09-26,0
2022-09-27,4
2022-09-28,31
2022-09-29,103
2022-09-30,101
2022-10-01,
2022-10-02,
2022-10-03,253
2022-10-04,113
2022-10-05,111
2022-10-06,137
2022-10-07,137
2022-10-08,
2022-10-09,
2022-10-10,228
2022-10-11,168
2022-10-12,138
2022-10-13,101
2022-10-14,164
2022-10-15,
2022-10-16,
2022-10-17,234
2022-10-18,145
2022-10-19,134
2022-10-20,121
2022-10-21,183
2022-10-22,
2022-10-23,
2022-10-24,322
2022-10-25,141
2022-10-26,144
2022-10-27,686
2022-10-28,603
2022-10-29,675
2022-10-30,350
2022-10-31,399
2022-11-01,456
2022-11-02,452
2022-11-03,533
2022-11-04,664
2022-11-05,780
2022-11-06,
2022-11-07,449
2022-11-08,3086
