date,total
2023-09-22,23
2023-09-23,7
2023-09-24,
2023-09-25,14
2023-09-26,12
2023-09-27,15
2023-09-28,13
2023-09-29,7
2023-09-30,
2023-10-01,
2023-10-02,12
2023-10-03,10
2023-10-04,7
2023-10-05,8
2023-10-06,8
2023-10-07,
2023-10-08,
2023-10-09,10
2023-10-10,9
2023-10-11,6
2023-10-12,12
2023-10-13,9
2023-10-14,
2023-10-15,
2023-10-16,13
2023-10-17,14
2023-10-18,10
2023-10-19,12
2023-10-20,10
2023-10-21,
2023-10-22,
2023-10-23,12
2023-10-24,15
2023-10-25,7
2023-10-26,35
2023-10-27,52
2023-10-28,61
2023-10-29,28
2023-10-30,46
2023-10-31,39
2023-11-01,40
2023-11-02,55
2023-11-03,82
2023-11-04,137
