date,phase,early_in_person_daily,early_in_person_cumulative,mail_returned_daily,mail_returned_cumulative,combined_daily,combined_cumulative,is_correction,span_days
2023-09-22,early,735,735,0,0,735,735,false,1
2023-09-23,early,362,1097,0,0,362,1097,false,1
2023-09-24,early,0,1097,0,0,0,1097,false,1
2023-09-25,early,488,1585,0,0,488,1585,false,1
2023-09-26,early,0,1585,0,0,0,1585,false,1
2023-09-27,early,838,2423,0,0,838,2423,false,1
2023-09-28,early,423,2846,0,0,423,2846,false,1
2023-09-29,early,471,3317,7,7,478,3324,false,1
2023-09-30,early,0,3317,0,7,0,3324,false,2
2023-10-01,early,0,3317,0,7,0,3324,false,2
2023-10-02,early,610,3927,69,76,679,4003,false,1
2023-10-03,early,502,4429,1296,1372,1798,5801,false,1
2023-10-04,early,-2844,1585,-1372,0,-4216,1585,true,1
2023-10-05,early,3680,5265,2899,2899,6579,8164,false,1
2023-10-06,early,590,5855,2144,5043,2734,10898,false,1
2023-10-07,early,0,5855,0,5043,0,10898,false,1
2023-10-08,early,0,5855,0,5043,0,10898,false,1
2023-10-09,early,570,6425,1832,6875,2402,13300,false,1
2023-10-10,early,606,7031,799,7674,1405,14705,false,1
2023-10-11,early,0,7031,943,8617,943,15648,false,1
2023-10-12,early,1229,8260,1060,9677,2289,17937,false,1
2023-10-13,early,776,9036,2442,12119,3218,21155,false,1
2023-10-14,early,0,9036,0,12119,0,21155,false,1
2023-10-15,early,0,9036,0,12119,0,21155,false,1
2023-10-16,early,810,9846,1408,13527,2218,23373,false,1
2023-10-17,early,794,10640,1775,15302,2569,25942,false,1
2023-10-18,early,728,11368,717,16019,1445,27387,false,1
2023-10-19,early,720,12088,-1,16018,719,28106,true,1
2023-10-20,early,973,13061,2487,18505,3460,31566,false,1
2023-10-21,early,0,13061,0,18505,0,31566,false,1
2023-10-22,early,0,13061,0,18505,0,31566,false,1
2023-10-23,early,921,13982,859,19364,1780,33346,false,1
2023-10-24,early,868,14850,2034,21398,2902,36248,false,1
2023-10-25,early,748,15598,8,21406,756,37004,false,1
2023-10-26,early,3529,19127,-1,21405,3528,40532,true,1
2023-10-27,early,4157,23284,2606,24011,6763,47295,false,1
2023-10-28,early,5542,28826,0,24011,5542,52837,false,1
2023-10-29,early,2430,31256,0,24011,2430,55267,false,1
2023-10-30,early,3758,35014,720,24731,4478,59745,false,1
2023-10-31,early,3354,38368,2558,27289,5912,65657,false,1
2023-11-01,early,3605,41973,1714,29003,5319,70976,false,1
2023-11-02,early,4568,46541,46,29049,4614,75590,false,1
2023-11-03,early,6975,53516,3258,32307,10233,85823,false,1
2023-11-04,early,10865,64381,1320,33627,12185,98008,false,1
2023-11-05,election,0,64381,0,33627,0,98008,false,1
2023-11-06,election,1,64382,2104,35731,2105,100113,false,1
2023-11-07,election,0,64382,2690,38421,2690,102803,false,1
2023-11-08,post,0,64382,3888,42309,3888,106691,false,1
2023-11-09,post,0,64382,1668,43977,1668,108359,false,1
2023-11-10,post,0,64382,3415,47392,3415,111774,false,1
2023-11-11,post,0,64382,379,47771,379,112153,false,1
2023-11-12,post,0,64382,0,47771,0,112153,false,1
