date,total,government_center,mt_vernon,north_county,burke,centreville,franconia,great_falls,herndon_fortnightly,lorton,mason,mclean,providence,sully,thomas_jefferson,tysons_pimmit,west_springfield
2023-09-22,757,461,135,161,,,,,,,,,,,,,
2023-09-23,340,183,88,69,,,,,,,,,,,,,
2023-09-25,488,295,102,91,,,,,,,,,,,,,
2023-09-26,430,271,83,76,,,,,,,,,,,,,
2023-09-27,408,250,79,79,,,,,,,,,,,,,
2023-09-28,423,263,76,84,,,,,,,,,,,,,
2023-09-29,471,269,97,105,,,,,,,,,,,,,
2023-10-02,610,356,123,131,,,,,,,,,,,,,
2023-10-03,502,316,96,90,,,,,,,,,,,,,
2023-10-04,397,253,75,69,,,,,,,,,,,,,
2023-10-05,438,269,92,77,,,,,,,,,,,,,
2023-10-06,590,340,126,124,,,,,,,,,,,,,
2023-10-09,570,296,119,155,,,,,,,,,,,,,
2023-10-10,606,284,138,184,,,,,,,,,,,,,
2023-10-11,596,290,154,152,,,,,,,,,,,,,
2023-10-12,633,334,128,171,,,,,,,,,,,,,
2023-10-13,776,409,181,186,,,,,,,,,,,,,
2023-10-16,810,427,187,196,,,,,,,,,,,,,
2023-10-17,794,467,159,168,,,,,,,,,,,,,
2023-10-18,728,418,160,150,,,,,,,,,,,,,
2023-10-19,720,428,154,138,,,,,,,,,,,,,
2023-10-20,973,565,184,224,,,,,,,,,,,,,
2023-10-23,921,496,228,197,,,,,,,,,,,,,
2023-10-24,0,0,0,0,,,,,,,,,,,,,
2023-10-25,0,0,0,0,,,,,,,,,,,,,
2023-10-26,0,0,0,0,0,0,0,0,0,0,,,,,,,
2023-10-27,0,0,0,0,0,0,0,0,0,0,,,,,,,
2023-10-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-10-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-10-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-10-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-11-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-11-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-11-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
