date,total_mailed,domestic,uocava_mail,uocava_email
2023-09-22,59561,57452,659,1450
2023-09-23,0,0,0,0
2023-09-25,548,523,11,14
2023-09-26,226,214,5,7
2023-09-27,171,164,2,5
2023-09-28,171,166,3,2
2023-09-29,253,246,4,3
2023-10-02,493,481,9,3
2023-10-03,331,318,9,4
2023-10-04,247,238,4,5
2023-10-05,206,197,3,6
2023-10-06,213,207,3,3
2023-10-09,686,676,0,10
2023-10-10,326,312,6,8
2023-10-11,407,399,1,7
2023-10-12,441,427,5,9
2023-10-13,395,392,3,0
2023-10-16,1095,1064,6,25
2023-10-17,694,667,8,19
2023-10-18,585,577,8,0
2023-10-19,338,333,3,2
2023-10-20,264,259,2,3
2023-10-23,864,844,11,9
2023-10-24,0,0,0,0
2023-10-25,0,0,0,0
2023-10-26,0,0,0,0
2023-10-27,0,0,0,0
2023-10-28,0,0,0,0
2023-10-29,0,0,0,0
2023-10-30,0,0,0,0
2023-10-31,0,0,0,0
2023-11-01,0,0,0,0
2023-11-02,0,0,0,0
2023-11-03,0,0,0,0
2023-11-04,0,0,0,0
2023-11-06,0,0,0,0
