date,total,ballot_not_surrendered,ballot_surrendered
2024-09-20,156,156,0
2024-09-21,115,115,0
2024-09-23,123,120,3
2024-09-24,87,86,1
2024-09-25,81,73,8
2024-09-26,83,52,31
2024-09-27,99,46,53
2024-09-30,84,20,64
2024-10-01,66,20,46
2024-10-02,46,15,31
2024-10-03,59,18,41
2024-10-04,98,35,63
2024-10-07,82,34,48
2024-10-08,58,19,39
2024-10-09,54,16,38
2024-10-10,53,25,28
2024-10-11,107,47,60
2024-10-14,130,65,65
2024-10-15,79,34,45
2024-10-16,52,29,23
2024-10-17,193,67,126
2024-10-18,231,80,151
2024-10-19,253,108,145
2024-10-21,204,70,134
2024-10-22,170,64,106
2024-10-23,145,48,97
2024-10-24,160,74,86
2024-10-25,215,80,135
2024-10-26,237,110,127
2024-10-27,137,69,68
2024-10-28,223,112,111
2024-10-29,224,93,131
2024-10-30,195,92,103
2024-10-31,205,107,98
2024-11-01,256,135,121
2024-11-02,367,248,119
