date,total
2024-09-20,4569
2024-09-21,4044
2024-09-23,2958
2024-09-24,2558
2024-09-25,2324
2024-09-26,2026
2024-09-27,2516
2024-09-30,2302
2024-10-01,2030
2024-10-02,1963
2024-10-03,2386
2024-10-04,3289
2024-10-07,2777
2024-10-08,2185
2024-10-09,2085
2024-10-10,2019
2024-10-11,3438
2024-10-14,3697
2024-10-15,2832
2024-10-16,2446
2024-10-17,10381
2024-10-18,11477
2024-10-19,15042
2024-10-21,10270
2024-10-22,9500
2024-10-23,8884
2024-10-24,9087
2024-10-25,11101
2024-10-26,13244
2024-10-27,7022
2024-10-28,10890
2024-10-29,10588
2024-10-30,10927
2024-10-31,10625
2024-11-01,15549
2024-11-02,20295
