date,total_returned_dropbox,dropbox_domestic,dropbox_uocava,dropbox_email_uocava,returned_unused
2024-09-20,0,0,0,0,0
2024-09-21,0,0,0,0,0
2024-09-23,1,0,0,1,0
2024-09-24,0,0,0,0,0
2024-09-25,32,32,0,0,0
2024-09-26,269,266,0,3,0
2024-09-27,429,429,0,0,0
2024-09-30,659,659,0,0,0
2024-10-01,510,510,0,0,0
2024-10-02,293,290,3,0,0
2024-10-03,362,362,0,0,0
2024-10-04,418,416,0,2,0
2024-10-05,168,168,0,0,0
2024-10-07,543,542,1,0,0
2024-10-08,334,333,1,0,0
2024-10-09,301,301,0,0,0
2024-10-10,271,271,0,0,0
2024-10-11,287,285,2,0,0
2024-10-12,209,209,0,0,0
2024-10-14,489,482,6,1,0
2024-10-15,396,394,1,1,0
2024-10-16,261,258,1,2,0
2024-10-17,1098,1090,6,2,0
2024-10-18,1004,999,3,2,0
2024-10-19,1122,1119,3,0,0
2024-10-21,1045,1035,4,6,0
2024-10-22,784,779,1,4,0
2024-10-23,745,736,4,5,0
2024-10-24,585,581,2,2,0
2024-10-25,621,611,0,10,0
2024-10-26,859,858,0,1,0
2024-10-27,341,336,5,0,0
2024-10-28,801,791,5,5,0
2024-10-29,757,749,5,3,0
2024-10-30,724,716,7,1,0
2024-10-31,652,647,2,3,0
2024-11-01,794,785,6,3,0
2024-11-02,1103,1094,6,3,0
2024-11-03,256,251,1,4,0
2024-11-04,389,386,2,1,0
2024-11-05,3766,3727,23,16,0
