date,total_returned,returned_by_mail,returned_uocava,returned_by_email,undeliverable
2024-09-20,0,0,0,0,0
2024-09-23,0,0,0,0,0
2024-09-24,0,0,0,0,0
2024-09-25,23,0,0,23,0
2024-09-26,9,0,0,9,0
2024-09-27,365,316,0,49,337
2024-09-30,6268,6237,29,2,388
2024-10-01,193,2,5,186,37
2024-10-02,5106,5022,11,73,386
2024-10-03,2158,1972,28,158,0
2024-10-04,2034,1895,15,124,48
2024-10-05,1804,1776,23,5,29
2024-10-07,3230,2908,30,292,93
2024-10-08,421,289,13,119,15
2024-10-09,2859,2664,48,147,48
2024-10-10,2063,1779,46,238,34
2024-10-11,1597,1421,27,149,33
2024-10-12,1344,1240,39,65,3
2024-10-14,6,2,0,4,0
2024-10-15,2776,2454,123,199,82
2024-10-16,607,295,30,282,36
2024-10-17,2545,2368,60,117,5
2024-10-18,2842,2467,103,272,26
2024-10-19,1616,1548,68,0,8
2024-10-21,2629,2126,85,418,48
2024-10-22,1179,853,162,164,9
2024-10-23,2566,2171,67,328,9
2024-10-24,1738,1497,61,180,2
2024-10-25,2028,1646,119,263,52
2024-10-26,1460,1265,52,143,22
2024-10-28,2882,2541,91,250,29
2024-10-29,994,753,99,142,19
2024-10-30,1931,1711,59,161,5
2024-10-31,2930,2525,102,303,40
2024-11-01,1004,853,40,111,2
2024-11-02,2284,2037,73,174,40
2024-11-03,24,24,0,0,0
2024-11-04,2514,2250,54,210,0
2024-11-05,1121,1023,25,73,0
2024-11-06,1773,1553,51,169,0
2024-11-07,1054,894,54,106,0
2024-11-08,0,0,0,0,0
