date,phase,early_in_person_daily,early_in_person_cumulative,mail_returned_daily,mail_returned_cumulative,combined_daily,combined_cumulative,is_correction,span_days
2023-09-22,early,44,44,0,0,44,44,false,1
2023-09-23,early,0,44,0,0,0,44,false,1
2023-09-24,early,0,44,0,0,0,44,false,1
2023-09-25,early,30,74,3,3,33,77,false,1
2023-09-26,early,12,86,7,10,19,96,false,1
2023-09-27,early,29,115,11,21,40,136,false,1
2023-09-28,early,23,138,50,71,73,209,false,1
2023-09-29,early,41,179,6,77,47,256,false,1
2023-09-30,early,0,179,0,77,0,256,false,2
2023-10-01,early,0,179,0,77,0,256,false,2
2023-10-02,early,28,207,64,141,92,348,false,1
2023-10-03,early,36,243,34,175,70,418,false,1
2023-10-04,early,-157,86,-165,10,-322,96,true,1
2023-10-05,early,214,300,225,235,439,535,false,1
2023-10-06,early,25,325,20,255,45,580,false,1
2023-10-07,early,0,325,0,255,0,580,false,1
2023-10-08,early,0,325,0,255,0,580,false,1
2023-10-09,early,31,356,14,269,45,625,false,1
2023-10-10,early,36,392,12,281,48,673,false,1
2023-10-11,early,30,422,20,301,50,723,false,1
2023-10-12,early,30,452,12,313,42,765,false,1
2023-10-13,early,43,495,43,356,86,851,false,1
2023-10-14,early,0,495,0,356,0,851,false,1
2023-10-15,early,0,495,0,356,0,851,false,1
2023-10-16,early,38,533,16,372,54,905,false,1
2023-10-17,early,0,533,23,395,23,928,false,1
2023-10-18,early,94,627,39,434,133,1061,false,1
2023-10-19,early,34,661,9,443,43,1104,false,1
2023-10-20,early,77,738,31,474,108,1212,false,1
2023-10-21,early,0,738,0,474,0,1212,false,1
2023-10-22,early,0,738,0,474,0,1212,false,1
2023-10-23,early,51,789,16,490,67,1279,false,1
2023-10-24,early,51,840,40,530,91,1370,false,1
2023-10-25,early,53,893,6,536,59,1429,false,1
2023-10-26,early,48,941,18,554,66,1495,false,1
2023-10-27,early,65,1006,23,577,88,1583,false,1
2023-10-28,early,124,1130,10,587,134,1717,false,1
2023-10-29,early,0,1130,0,587,0,1717,false,1
2023-10-30,early,98,1228,28,615,126,1843,false,1
2023-10-31,early,79,1307,38,653,117,1960,false,1
2023-11-01,early,86,1393,10,663,96,2056,false,1
2023-11-02,early,105,1498,19,682,124,2180,false,1
2023-11-03,early,201,1699,32,714,233,2413,false,1
2023-11-04,early,278,1977,9,723,287,2700,false,1
2023-11-05,election,0,1977,0,723,0,2700,false,1
2023-11-06,election,0,1977,49,772,49,2749,false,1
2023-11-07,election,0,1977,140,912,140,2889,false,1
2023-11-08,post,0,1977,0,912,0,2889,false,1
2023-11-09,post,0,1977,49,961,49,2938,false,1
2023-11-10,post,0,1977,0,961,0,2938,false,1
2023-11-11,post,0,1977,0,961,0,2938,false,1
2023-11-12,post,0,1977,0,961,0,2938,false,1
