date,phase,early_in_person_daily,early_in_person_cumulative,mail_returned_daily,mail_returned_cumulative,combined_daily,combined_cumulative,is_correction,span_days
2024-09-20,early,298,298,2,2,300,300,false,1
2024-09-21,early,0,298,0,2,0,300,false,1
2024-09-22,early,0,298,0,2,0,300,false,1
2024-09-23,early,115,413,45,47,160,460,false,1
2024-09-24,early,87,500,4,51,91,551,false,1
2024-09-25,early,0,500,36,87,36,587,false,1
2024-09-26,early,0,500,28,115,28,615,false,1
2024-09-27,early,0,500,25,140,25,640,false,1
2024-09-28,early,0,500,0,140,0,640,false,1
2024-09-29,early,0,500,0,140,0,640,false,1
2024-09-30,early,0,500,33,173,33,673,false,1
2024-10-01,early,340,840,29,202,369,1042,false,1
2024-10-02,early,68,908,11,213,79,1121,false,1
2024-10-03,early,129,1037,78,291,207,1328,false,1
2024-10-04,early,135,1172,82,373,217,1545,false,1
2024-10-05,early,0,1172,0,373,0,1545,false,1
2024-10-06,early,0,1172,0,373,0,1545,false,1
2024-10-07,early,0,1172,56,429,56,1601,false,1
2024-10-08,early,173,1345,18,447,191,1792,false,1
2024-10-09,early,85,1430,69,516,154,1946,false,1
2024-10-10,early,2,1432,40,556,42,1988,false,1
2024-10-11,early,245,1677,70,626,315,2303,false,1
2024-10-12,early,0,1677,0,626,0,2303,false,1
2024-10-13,early,0,1677,0,626,0,2303,false,1
2024-10-14,early,0,1677,0,626,0,2303,false,1
2024-10-15,early,135,1812,57,683,192,2495,false,1
2024-10-16,early,112,1924,23,706,135,2630,false,1
2024-10-17,early,0,1924,63,769,63,2693,false,1
2024-10-18,early,292,2216,41,810,333,3026,false,1
2024-10-19,early,0,2216,0,810,0,3026,false,1
2024-10-20,early,0,2216,0,810,0,3026,false,1
2024-10-21,early,147,2363,45,855,192,3218,false,1
2024-10-22,early,140,2503,40,895,180,3398,false,1
2024-10-23,early,142,2645,41,936,183,3581,false,1
2024-10-24,early,135,2780,34,970,169,3750,false,1
2024-10-25,early,229,3009,34,1004,263,4013,false,1
2024-10-26,early,305,3314,9,1013,314,4327,false,1
2024-10-27,early,0,3314,2,1015,2,4329,false,1
2024-10-28,early,305,3619,43,1058,348,4677,false,1
2024-10-29,early,185,3804,25,1083,210,4887,false,1
2024-10-30,early,281,4085,104,1187,385,5272,false,1
2024-10-31,early,181,4266,76,1263,257,5529,false,1
2024-11-01,early,327,4593,41,1304,368,5897,false,1
2024-11-02,early,413,5006,10,1314,423,6320,false,1
2024-11-03,election,0,5006,0,1314,0,6320,false,1
2024-11-04,election,2,5008,79,1393,81,6401,false,1
2024-11-05,election,0,5008,73,1466,73,6474,false,1
2024-11-06,post,0,5008,20,1486,20,6494,false,1
2024-11-07,post,0,5008,8,1494,8,6502,false,1
2024-11-08,post,0,5008,0,1494,0,6502,false,1
2024-11-09,post,0,5008,0,1494,0,6502,false,1
2024-11-10,post,0,5008,0,1494,0,6502,false,1
