date,phase,early_in_person_daily,early_in_person_cumulative,mail_returned_daily,mail_returned_cumulative,combined_daily,combined_cumulative,is_correction,span_days
2025-09-19,early,1054,1054,0,0,1054,1054,false,1
2025-09-20,early,0,1054,0,0,0,1054,false,1
2025-09-21,early,0,1054,0,0,0,1054,false,1
2025-09-22,early,761,1815,1,1,762,1816,false,1
2025-09-23,early,690,2505,5,6,695,2511,false,1
2025-09-24,early,542,3047,60,66,602,3113,false,1
2025-09-25,early,574,3621,64,130,638,3751,false,1
2025-09-26,early,727,4348,1545,1675,2272,6023,false,3
2025-09-27,early,0,4348,0,1675,0,6023,false,3
2025-09-28,early,0,4348,0,1675,0,6023,false,3
2025-09-29,early,519,4867,0,1675,519,6542,false,1
2025-09-30,early,455,5322,1053,2728,1508,8050,false,1
2025-10-01,early,534,5856,1036,3764,1570,9620,false,1
2025-10-02,early,710,6566,934,4698,1644,11264,false,1
2025-10-03,early,730,7296,723,5421,1453,12717,false,1
2025-10-04,early,0,7296,0,5421,0,12717,false,1
2025-10-05,early,0,7296,0,5421,0,12717,false,1
2025-10-06,early,636,7932,975,6396,1611,14328,false,1
2025-10-07,early,547,8479,313,6709,860,15188,false,1
2025-10-08,early,575,9054,742,7451,1317,16505,false,1
2025-10-09,early,538,9592,585,8036,1123,17628,false,1
2025-10-10,early,1022,10614,469,8505,1491,19119,false,1
2025-10-11,early,0,10614,0,8505,0,19119,false,1
2025-10-12,early,0,10614,8,8513,8,19127,false,1
2025-10-13,early,0,10614,7,8520,7,19134,false,1
2025-10-14,early,967,11581,1211,9731,2178,21312,false,1
2025-10-15,early,666,12247,68,9799,734,22046,false,1
2025-10-16,early,631,12878,403,10202,1034,23080,false,1
2025-10-17,early,1100,13978,765,10967,1865,24945,false,1
2025-10-18,early,0,13978,0,10967,0,24945,false,1
2025-10-19,early,0,13978,0,10967,0,24945,false,1
2025-10-20,early,3101,17079,1155,12122,4256,29201,false,1
2025-10-21,early,2655,19734,64,12186,2719,31920,false,1
2025-10-22,early,2201,21935,550,12736,2751,34671,false,1
2025-10-23,early,2543,24478,506,13242,3049,37720,false,1
2025-10-24,early,2943,27421,448,13690,3391,41111,false,1
2025-10-25,early,3830,31251,379,14069,4209,45320,false,1
2025-10-26,early,0,31251,0,14069,0,45320,false,1
2025-10-27,early,2363,33614,829,14898,3192,48512,false,1
2025-10-28,early,2902,36516,178,15076,3080,51592,false,1
2025-10-29,early,2349,38865,497,15573,2846,54438,false,1
2025-10-30,early,3360,42225,612,16185,3972,58410,false,1
2025-10-31,early,4323,46548,512,16697,4835,63245,false,1
2025-11-01,early,6970,53518,651,17348,7621,70866,false,1
2025-11-02,election,0,53518,0,17348,0,70866,false,1
2025-11-03,election,0,53518,956,18304,956,71822,false,1
2025-11-04,election,0,53518,286,18590,286,72108,false,1
2025-11-05,post,0,53518,1025,19615,1025,73133,false,1
2025-11-06,post,0,53518,633,20248,633,73766,false,1
2025-11-07,post,0,53518,127,20375,127,73893,false,1
2025-11-08,post,0,53518,0,20375,0,73893,false,1
2025-11-09,post,0,53518,0,20375,0,73893,false,1
