date,phase,early_in_person_daily,early_in_person_cumulative,mail_returned_daily,mail_returned_cumulative,combined_daily,combined_cumulative,is_correction,span_days
2023-09-23,early,124,124,0,0,124,124,false,1
2023-09-24,early,0,124,0,0,0,124,false,1
2023-09-25,early,53,177,0,0,53,177,false,1
2023-09-26,early,65,242,6,6,71,248,false,1
2023-09-27,early,50,292,13,19,63,311,false,1
2023-09-28,early,53,345,60,79,113,424,false,1
2023-09-29,early,53,398,56,135,109,533,false,1
2023-09-30,early,0,398,4,139,4,537,false,2
2023-10-01,early,0,398,0,139,0,537,false,2
2023-10-02,early,65,463,90,229,155,692,false,1
2023-10-03,early,51,514,53,282,104,796,false,1
2023-10-04,early,-272,242,-276,6,-548,248,true,1
2023-10-05,early,370,612,399,405,769,1017,false,1
2023-10-06,early,0,612,24,429,24,1041,false,1
2023-10-07,early,0,612,0,429,0,1041,false,1
2023-10-08,early,36,648,4,433,40,1081,false,1
2023-10-09,early,0,648,1,434,1,1082,false,1
2023-10-10,early,74,722,82,516,156,1238,false,1
2023-10-11,early,69,791,0,516,69,1307,false,1
2023-10-12,early,54,845,69,585,123,1430,false,1
2023-10-13,early,66,911,26,611,92,1522,false,1
2023-10-14,early,0,911,0,611,0,1522,false,1
2023-10-15,early,0,911,0,611,0,1522,false,1
2023-10-16,early,49,960,47,658,96,1618,false,1
2023-10-17,early,63,1023,19,677,82,1700,false,1
2023-10-18,early,57,1080,39,716,96,1796,false,1
2023-10-19,early,63,1143,19,735,82,1878,false,1
2023-10-20,early,77,1220,28,763,105,1983,false,1
2023-10-21,early,0,1220,0,763,0,1983,false,1
2023-10-22,early,70,1290,20,783,90,2073,false,1
2023-10-23,early,64,1354,60,843,124,2197,false,1
2023-10-24,early,57,1411,0,843,57,2254,false,1
2023-10-25,early,88,1499,24,867,112,2366,false,1
2023-10-26,early,96,1595,39,906,135,2501,false,1
2023-10-27,early,129,1724,4,910,133,2634,false,1
2023-10-28,early,127,1851,34,944,161,2795,false,1
2023-10-29,early,0,1851,0,944,0,2795,false,1
2023-10-30,early,105,1956,47,991,152,2947,false,1
2023-10-31,early,83,2039,14,1005,97,3044,false,1
2023-11-01,early,136,2175,36,1041,172,3216,false,1
2023-11-02,early,155,2330,28,1069,183,3399,false,1
2023-11-03,early,255,2585,42,1111,297,3696,false,1
2023-11-04,early,380,2965,16,1127,396,4092,false,1
2023-11-05,election,0,2965,0,1127,0,4092,false,1
2023-11-06,election,0,2965,57,1184,57,4149,false,1
2023-11-07,election,0,2965,82,1266,82,4231,false,1
2023-11-08,post,0,2965,11,1277,11,4242,false,1
2023-11-09,post,0,2965,11,1288,11,4253,false,1
2023-11-10,post,0,2965,0,1288,0,4253,false,1
2023-11-11,post,0,2965,0,1288,0,4253,false,1
2023-11-12,post,0,2965,0,1288,0,4253,false,1
