date,phase,early_in_person_daily,early_in_person_cumulative,mail_returned_daily,mail_returned_cumulative,combined_daily,combined_cumulative,is_correction,span_days
2023-09-22,early,25,25,0,0,25,25,false,1
2023-09-23,early,0,25,0,0,0,25,false,1
2023-09-24,early,0,25,0,0,0,25,false,1
2023-09-25,early,14,39,0,0,14,39,false,1
2023-09-26,early,10,49,11,11,21,60,false,1
2023-09-27,early,9,58,30,41,39,99,false,1
2023-09-28,early,15,73,21,62,36,135,false,1
2023-09-29,early,23,96,22,84,45,180,false,1
2023-09-30,early,0,96,0,84,0,180,false,2
2023-10-01,early,0,96,0,84,0,180,false,2
2023-10-02,early,12,108,54,138,66,246,false,1
2023-10-03,early,12,120,8,146,20,266,false,1
2023-10-04,early,-71,49,-135,11,-206,60,true,1
2023-10-05,early,98,147,175,186,273,333,false,1
2023-10-06,early,11,158,5,191,16,349,false,1
2023-10-07,early,0,158,0,191,0,349,false,1
2023-10-08,early,0,158,0,191,0,349,false,1
2023-10-09,early,0,158,0,191,0,349,false,1
2023-10-10,early,24,182,23,214,47,396,false,1
2023-10-11,early,17,199,1,215,18,414,false,1
2023-10-12,early,11,210,22,237,33,447,false,1
2023-10-13,early,33,243,7,244,40,487,false,1
2023-10-14,early,0,243,0,244,0,487,false,1
2023-10-15,early,0,243,0,244,0,487,false,1
2023-10-16,early,18,261,18,262,36,523,false,1
2023-10-17,early,12,273,5,267,17,540,false,1
2023-10-18,early,19,292,14,281,33,573,false,1
2023-10-19,early,12,304,11,292,23,596,false,1
2023-10-20,early,29,333,8,300,37,633,false,1
2023-10-21,early,0,333,0,300,0,633,false,1
2023-10-22,early,0,333,0,300,0,633,false,1
2023-10-23,early,34,367,19,319,53,686,false,1
2023-10-24,early,18,385,3,322,21,707,false,1
2023-10-25,early,35,420,10,332,45,752,false,1
2023-10-26,early,31,451,3,335,34,786,false,1
2023-10-27,early,63,514,12,347,75,861,false,1
2023-10-28,early,43,557,3,350,46,907,false,1
2023-10-29,early,0,557,0,350,0,907,false,1
2023-10-30,early,67,624,14,364,81,988,false,1
2023-10-31,early,24,648,5,369,29,1017,false,1
2023-11-01,early,29,677,15,384,44,1061,false,1
2023-11-02,early,34,711,8,392,42,1103,false,1
2023-11-03,early,73,784,8,400,81,1184,false,1
2023-11-04,early,132,916,7,407,139,1323,false,1
2023-11-05,election,5,921,0,407,5,1328,false,1
2023-11-06,election,0,921,25,432,25,1353,false,1
2023-11-07,election,0,921,21,453,21,1374,false,1
2023-11-08,post,0,921,3,456,3,1377,false,1
2023-11-09,post,0,921,3,459,3,1380,false,1
2023-11-10,post,0,921,0,459,0,1380,false,1
2023-11-11,post,0,921,0,459,0,1380,false,1
2023-11-12,post,0,921,0,459,0,1380,false,1
