date,phase,early_in_person_daily,early_in_person_cumulative,mail_returned_daily,mail_returned_cumulative,combined_daily,combined_cumulative,is_correction,span_days
2025-09-19,early,610,610,2,2,612,612,false,1
2025-09-20,early,0,610,0,2,0,612,false,1
2025-09-21,early,0,610,0,2,0,612,false,1
2025-09-22,early,387,997,38,40,425,1037,false,1
2025-09-23,early,443,1440,5,45,448,1485,false,1
2025-09-24,early,307,1747,1957,2002,2264,3749,false,1
2025-09-25,early,281,2028,1645,3647,1926,5675,false,1
2025-09-26,early,369,2397,1599,5246,1968,7643,false,3
2025-09-27,early,0,2397,0,5246,0,7643,false,3
2025-09-28,early,277,2674,0,5246,277,7920,false,3
2025-09-29,early,0,2674,0,5246,0,7920,false,1
2025-09-30,early,235,2909,1432,6678,1667,9587,false,1
2025-10-01,early,0,2909,85,6763,85,9672,false,1
2025-10-02,early,618,3527,542,7305,1160,10832,false,1
2025-10-03,early,359,3886,747,8052,1106,11938,false,1
2025-10-04,early,0,3886,0,8052,0,11938,false,1
2025-10-05,early,0,3886,0,8052,0,11938,false,1
2025-10-06,early,259,4145,638,8690,897,12835,false,1
2025-10-07,early,337,4482,1082,9772,1419,14254,false,1
2025-10-08,early,0,4482,62,9834,62,14316,false,1
2025-10-09,early,580,5062,634,10468,1214,15530,false,1
2025-10-10,early,408,5470,474,10942,882,16412,false,1
2025-10-11,early,0,5470,0,10942,0,16412,false,1
2025-10-12,early,0,5470,0,10942,0,16412,false,1
2025-10-13,early,296,5766,61,11003,357,16769,false,1
2025-10-14,early,314,6080,19,11022,333,17102,false,1
2025-10-15,early,305,6385,1329,12351,1634,18736,false,1
2025-10-16,early,251,6636,51,12402,302,19038,false,1
2025-10-17,early,419,7055,414,12816,833,19871,false,1
2025-10-18,early,0,7055,0,12816,0,19871,false,1
2025-10-19,early,4340,11395,0,12816,4340,24211,false,1
2025-10-20,early,4065,15460,611,13427,4676,28887,false,1
2025-10-21,early,3416,18876,1120,14547,4536,33423,false,1
2025-10-22,early,3770,22646,299,14846,4069,37492,false,1
2025-10-23,early,2574,25220,605,15451,3179,40671,false,1
2025-10-24,early,2886,28106,409,15860,3295,43966,false,1
2025-10-25,early,3787,31893,31,15891,3818,47784,false,1
2025-10-26,early,0,31893,0,15891,0,47784,false,1
2025-10-27,early,2771,34664,741,16632,3512,51296,false,1
2025-10-28,early,2656,37320,634,17266,3290,54586,false,1
2025-10-29,early,3808,41128,119,17385,3927,58513,false,1
2025-10-30,early,2935,44063,561,17946,3496,62009,false,1
2025-10-31,early,4562,48625,522,18468,5084,67093,false,1
2025-11-01,early,7478,56103,13,18481,7491,74584,false,1
2025-11-02,election,0,56103,0,18481,0,74584,false,1
2025-11-03,election,1,56104,1008,19489,1009,75593,false,1
2025-11-04,election,1,56105,606,20095,607,76200,false,1
2025-11-05,post,0,56105,787,20882,787,76987,false,1
2025-11-06,post,0,56105,574,21456,574,77561,false,1
2025-11-07,post,0,56105,313,21769,313,77874,false,1
2025-11-08,post,0,56105,0,21769,0,77874,false,1
2025-11-09,post,0,56105,0,21769,0,77874,false,1
