date,total_returned,returned_by_mail,returned_by_email,undeliverable_subset_of_mail,undeliverable_is_estimated
2025-09-19,0,0,0,0,False
2025-09-20,0,0,0,0,False
2025-09-21,0,0,0,0,False
2025-09-22,1,0,1,0,True
2025-09-23,2,0,2,0,True
2025-09-24,7,0,7,0,True
2025-09-25,37,34,3,,True
2025-09-26,3244,3243,1,0,True
2025-09-27,0,0,0,0,False
2025-09-28,0,0,0,0,False
2025-09-29,6770,6743,27,375,False
2025-09-30,39,25,14,122,False
2025-10-01,3494,3477,17,189,False
2025-10-02,2252,2226,26,95,False
2025-10-03,1687,1668,19,12,False
2025-10-04,0,0,0,0,False
2025-10-05,0,0,0,0,False
2025-10-06,3738,3688,50,77,False
2025-10-07,151,135,16,8,True
2025-10-08,2130,2116,14,18,False
2025-10-09,1351,1321,30,13,False
2025-10-10,1130,1097,33,17,False
2025-10-11,1091,1091,0,0,True
2025-10-12,0,0,0,0,False
2025-10-13,0,0,0,0,False
2025-10-14,1806,1756,50,12,False
2025-10-15,176,155,21,21,False
2025-10-16,1633,1580,53,15,False
2025-10-17,1769,1729,40,8,True
2025-10-18,0,0,0,0,False
2025-10-19,0,0,0,0,False
2025-10-20,2807,2748,59,50,False
2025-10-21,112,81,31,3,True
2025-10-22,1466,1431,35,33,False
2025-10-23,1236,1181,55,14,False
2025-10-24,989,948,41,15,False
2025-10-25,0,0,0,0,False
2025-10-26,0,0,0,0,False
2025-10-27,2343,2263,80,8,True
2025-10-28,335,314,21,20,False
2025-10-29,1323,1266,57,3,True
2025-10-30,1163,1123,40,16,False
2025-10-31,1971,1930,41,20,False
2025-11-01,1041,1041,0,1,True
2025-11-02,0,0,0,0,False
2025-11-03,941,857,84,27,False
2025-11-04,814,782,32,2,True
2025-11-05,950,909,41,7,True
2025-11-06,944,914,30,0,True
2025-11-07,470,431,39,12,False
