FILEDATE,ISSUED,NOT_ISSUED,PROVISIONAL,DELETED,MARKED,ON_MACHINE,PRE_PROCESSED,FWAB,MAIL_IN,COUNTABLE,MILITARY,OVERSEAS,TEMPORARY,MILITARY_COUNTABLE,OVERSEAS_COUNTABLE,TEMPORARY_COUNTABLE
string,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number
14-Sep-2023 12:01:00,0,12663,0,176,0,0,0,0,0,0,155,785,0,0,0,0
15-Sep-2023 06:00:01,0,12673,0,187,0,0,0,0,0,0,155,787,0,0,0,0
16-Sep-2023 06:00:01,0,12687,0,198,0,0,0,0,0,0,155,791,1,0,0,0
17-Sep-2023 06:00:02,0,12687,0,198,0,0,0,0,0,0,155,791,1,0,0,0
18-Sep-2023 06:00:01,0,12686,0,198,0,0,0,0,0,0,155,791,1,0,0,0
19-Sep-2023 06:00:01,0,12720,0,208,0,0,0,0,0,0,156,801,1,0,0,0
20-Sep-2023 06:00:01,12740,0,0,222,0,0,0,0,0,0,157,808,2,0,0,0
21-Sep-2023 06:00:02,12766,0,0,236,0,0,0,0,0,0,157,811,2,0,0,0
22-Sep-2023 06:00:01,12798,0,0,248,0,0,0,0,0,0,158,815,1,0,0,0
23-Sep-2023 06:00:01,12840,0,0,263,0,160,0,0,0,160,159,821,1,1,0,0
24-Sep-2023 06:00:01,12840,0,0,263,0,160,0,0,0,160,159,821,1,1,0,0
25-Sep-2023 06:00:02,12840,0,0,263,0,160,0,0,0,160,159,821,1,1,0,0
26-Sep-2023 06:00:01,12918,0,0,276,1,282,0,0,1,283,161,828,1,2,1,0
27-Sep-2023 06:00:01,12792,0,0,384,3,332,0,0,3,335,161,835,1,5,2,0
28-Sep-2023 06:00:01,12963,0,0,395,3,407,0,0,3,410,163,836,1,5,2,0
29-Sep-2023 06:00:02,12998,0,0,404,5,470,0,0,5,475,163,839,1,5,4,0
30-Sep-2023 06:00:01,13031,0,0,406,7,470,0,0,7,477,164,839,1,5,4,0
02-Oct-2023 06:00:01,13031,0,0,406,7,470,0,0,7,477,164,839,1,5,4,0
03-Oct-2023 06:00:02,12983,0,0,428,124,710,0,0,124,834,166,845,1,6,5,0
04-Oct-2023 06:00:01,12479,0,0,438,640,808,0,0,640,1448,169,847,1,10,17,0
05-Oct-2023 14:00:01,12087,0,0,441,921,808,0,0,921,1729,169,847,1,10,19,0
05-Oct-2023 22:00:01,12792,0,0,384,3,332,0,0,3,335,161,835,1,5,2,0
06-Oct-2023 06:00:01,12479,0,0,438,640,808,0,0,640,1448,169,847,1,10,17,0
06-Oct-2023 14:00:02,11664,0,0,449,1227,961,0,0,1227,2188,169,851,1,10,24,0
07-Oct-2023 06:00:01,11393,0,0,470,1477,1072,0,0,1477,2549,168,855,1,11,28,0
08-Oct-2023 06:00:01,11393,0,0,470,1477,1072,0,0,1477,2549,168,855,1,11,28,0
09-Oct-2023 06:00:02,11393,0,0,470,1477,1072,0,0,1477,2549,168,855,1,11,28,0
10-Oct-2023 06:00:02,11250,0,0,494,1746,1135,0,0,1746,2881,171,867,1,15,37,0
11-Oct-2023 06:00:01,10824,0,0,503,2208,1235,0,0,2208,3443,173,870,1,20,56,0
12-Oct-2023 06:00:01,10773,0,0,516,2261,1342,0,0,2261,3603,174,872,1,22,56,0
13-Oct-2023 06:00:02,10393,0,0,529,2716,1438,0,0,2716,4154,177,882,1,27,62,0
14-Oct-2023 06:00:02,10175,0,0,540,2966,1605,0,0,2966,4571,177,885,1,29,70,0
15-Oct-2023 06:00:01,10175,0,0,540,2966,1605,0,0,2966,4571,177,885,1,29,70,0
16-Oct-2023 06:00:01,10175,0,0,540,2966,1605,0,0,2966,4571,177,885,1,29,70,0
17-Oct-2023 06:00:01,9974,0,0,558,3309,1750,0,0,3309,5059,178,892,1,31,83,0
18-Oct-2023 06:00:02,9863,0,0,566,3479,1878,0,0,3479,5357,179,896,1,31,87,0
19-Oct-2023 06:00:01,9699,0,0,609,3701,1997,0,0,3701,5698,179,899,1,32,90,0
20-Oct-2023 06:00:01,9514,0,0,621,3916,2115,0,0,3916,6031,183,902,1,33,98,0
21-Oct-2023 06:00:02,9341,0,0,624,4123,2337,0,0,4123,6460,184,904,1,36,102,0
22-Oct-2023 06:00:02,9341,0,0,624,4123,2337,0,0,4123,6460,184,904,1,36,102,0
23-Oct-2023 06:00:01,9341,0,0,624,4123,2337,0,0,4123,6460,184,904,1,36,102,0
24-Oct-2023 06:00:01,9060,0,7,636,4505,2522,0,0,4505,7034,186,906,1,37,118,0
25-Oct-2023 06:00:01,9020,0,9,656,4639,3001,0,0,4639,7649,189,906,1,43,128,0
26-Oct-2023 06:00:02,9043,0,9,667,4705,3385,0,0,4705,8099,192,907,1,46,130,0
27-Oct-2023 06:00:01,8813,0,9,683,4987,3793,0,0,4987,8789,193,914,1,48,141,0
28-Oct-2023 06:00:01,8566,0,18,693,5300,4080,0,0,5300,9398,193,918,1,48,152,0
29-Oct-2023 06:00:01,8559,0,18,700,5300,5025,0,0,5300,10343,200,921,1,55,155,0
30-Oct-2023 06:00:02,8554,0,26,705,5300,5521,0,0,5300,10847,205,922,1,60,156,0
31-Oct-2023 06:00:01,7965,0,31,716,5077,5790,792,0,5869,11690,209,923,1,69,192,0
01-Nov-2023 06:00:01,7869,0,33,724,3567,6405,2379,0,5946,12384,210,923,1,70,196,0
02-Nov-2023 06:00:01,7517,0,40,734,2704,6953,3576,0,6280,13273,213,923,1,73,197,0
03-Nov-2023 06:00:01,7255,0,42,751,1545,7803,4971,0,6516,14361,215,927,1,76,204,0
04-Nov-2023 06:00:01,6955,0,47,760,8,8605,6781,0,6789,15441,224,929,1,88,216,0
05-Nov-2023 06:00:01,6933,0,73,795,8,11230,6781,0,6789,18092,242,933,1,106,220,0
06-Nov-2023 06:00:01,6916,0,74,815,8,11271,6781,0,6789,18134,242,934,1,106,221,0
