FILEDATE,ISSUED,NOT_ISSUED,PROVISIONAL,DELETED,MARKED,ON_MACHINE,PRE_PROCESSED,FWAB,MAIL_IN,COUNTABLE,MILITARY,OVERSEAS,TEMPORARY,MILITARY_COUNTABLE,OVERSEAS_COUNTABLE,TEMPORARY_COUNTABLE
string,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number
14-Sep-2023 12:01:00,2,58464,0,3298,0,0,0,0,0,0,660,1481,4,0,0,0
15-Sep-2023 06:00:01,2,58521,0,3317,0,0,0,0,0,0,659,1487,4,0,0,0
16-Sep-2023 06:00:01,58579,2,0,3333,0,0,0,0,0,0,662,1491,4,0,0,0
17-Sep-2023 06:00:02,58578,2,0,3333,0,0,0,0,0,0,662,1491,4,0,0,0
18-Sep-2023 06:00:01,58578,2,0,3333,0,0,0,0,0,0,662,1491,4,0,0,0
19-Sep-2023 06:00:01,58744,2,0,3366,0,0,0,0,0,0,665,1501,4,0,0,0
20-Sep-2023 06:00:01,58898,2,0,3395,0,0,0,0,0,0,665,1510,4,0,0,0
21-Sep-2023 06:00:02,59083,2,0,3424,0,0,0,0,0,0,666,1514,4,0,0,0
22-Sep-2023 06:00:01,59273,2,0,3441,0,0,0,0,0,0,668,1524,4,0,0,0
23-Sep-2023 06:00:01,59524,2,0,3490,0,735,0,0,0,735,676,1529,4,3,0,0
24-Sep-2023 06:00:01,59516,2,0,3500,0,1097,0,0,0,1097,685,1529,4,12,0,0
25-Sep-2023 06:00:02,59516,2,0,3500,0,1097,0,0,0,1097,685,1529,4,12,0,0
26-Sep-2023 06:00:01,60015,2,0,3573,0,1585,0,0,0,1585,696,1548,4,13,1,0
27-Sep-2023 06:00:01,59317,2,0,3844,0,1585,0,0,0,1585,682,1554,4,13,1,0
28-Sep-2023 06:00:01,59455,2,0,3890,0,2423,0,0,0,2423,688,1561,4,19,1,0
29-Sep-2023 06:00:02,60513,2,0,3912,0,2846,0,0,0,2846,707,1584,4,19,2,0
30-Sep-2023 06:00:01,60713,2,0,3941,0,3317,7,0,7,3324,712,1588,4,24,4,0
02-Oct-2023 06:00:01,60713,2,0,3941,0,3317,7,0,7,3324,712,1588,4,24,4,0
03-Oct-2023 06:00:02,61082,2,0,3987,0,3927,76,0,76,4003,723,1596,4,27,9,0
04-Oct-2023 06:00:01,59996,2,0,4066,0,4429,1372,0,1372,5801,731,1601,4,31,9,0
05-Oct-2023 14:00:01,58642,2,0,4111,0,4430,2899,0,2899,7329,736,1605,4,37,14,0
05-Oct-2023 22:00:01,59317,2,0,3844,0,1585,0,0,0,1585,682,1554,4,13,1,0
06-Oct-2023 06:00:01,59996,2,0,4066,0,4429,1372,0,1372,5801,731,1601,4,31,9,0
06-Oct-2023 14:00:02,58750,2,0,4151,0,5265,2899,0,2899,8164,741,1612,4,40,15,0
07-Oct-2023 06:00:01,56658,2,0,4200,0,5855,5043,0,5043,10898,745,1616,4,52,15,0
08-Oct-2023 06:00:01,56658,2,0,4200,0,5855,5043,0,5043,10898,745,1616,4,52,15,0
09-Oct-2023 06:00:02,56658,2,0,4200,0,5855,5043,0,5043,10898,745,1616,4,52,15,0
10-Oct-2023 06:00:02,55407,2,0,4259,0,6425,6875,0,6875,13300,754,1626,4,64,31,0
11-Oct-2023 06:00:01,54729,2,0,4309,9,7031,7665,0,7674,14705,758,1643,4,67,36,0
12-Oct-2023 06:00:01,54025,2,0,4332,11,7031,8606,0,8617,15648,758,1647,4,84,50,0
13-Oct-2023 06:00:02,53297,1,0,4380,14,8260,9663,0,9677,17937,767,1656,4,94,63,0
14-Oct-2023 06:00:02,51105,1,0,4426,25,9036,12094,0,12119,21155,779,1663,4,101,63,0
15-Oct-2023 06:00:01,51105,1,0,4426,25,9036,12094,0,12119,21155,779,1663,4,101,63,0
16-Oct-2023 06:00:01,51105,1,0,4426,25,9036,12094,0,12119,21155,779,1663,4,101,63,0
17-Oct-2023 06:00:01,50592,0,0,4504,30,9846,13497,0,13527,23373,790,1688,4,111,84,0
18-Oct-2023 06:00:02,49422,1,6,4572,48,10640,15254,0,15302,25948,800,1710,4,121,108,0
19-Oct-2023 06:00:01,49119,1,9,4623,91,11368,15928,0,16019,27396,806,1721,4,127,126,0
20-Oct-2023 06:00:01,49349,1,11,4657,91,12088,15927,0,16018,28117,812,1724,4,131,127,0
21-Oct-2023 06:00:02,47052,1,12,4694,91,13061,18414,0,18505,31578,818,1729,4,144,161,0
22-Oct-2023 06:00:02,47052,1,12,4694,91,13061,18414,0,18505,31578,818,1729,4,144,161,0
23-Oct-2023 06:00:01,47052,1,12,4694,91,13061,18414,0,18505,31578,818,1729,4,144,161,0
24-Oct-2023 06:00:01,47061,1,14,4766,145,13982,19219,0,19364,33360,830,1746,4,156,169,0
