FILEDATE,ISSUED,NOT_ISSUED,PROVISIONAL,DELETED,MARKED,ON_MACHINE,PRE_PROCESSED,FWAB,MAIL_IN,COUNTABLE,MILITARY,OVERSEAS,TEMPORARY,MILITARY_COUNTABLE,OVERSEAS_COUNTABLE,TEMPORARY_COUNTABLE
string,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number
14-Sep-2023 12:01:00,0,93,0,36,4,0,1,0,5,5,3,15,0,0,1,0
15-Sep-2023 06:00:01,0,96,0,38,4,0,1,0,5,5,3,16,0,0,1,0
16-Sep-2023 06:00:01,898,1,0,40,3,0,1,0,4,4,13,96,0,0,1,0
17-Sep-2023 06:00:02,898,1,0,40,3,0,1,0,4,4,13,96,0,0,1,0
18-Sep-2023 06:00:01,898,1,0,40,3,0,1,0,4,4,13,96,0,0,1,0
19-Sep-2023 06:00:01,907,0,0,42,0,0,1,0,1,1,13,98,0,0,0,0
20-Sep-2023 06:00:01,910,0,0,42,0,0,0,0,0,0,13,98,0,0,0,0
21-Sep-2023 06:00:02,914,0,0,46,0,0,0,0,0,0,16,99,0,0,0,0
22-Sep-2023 06:00:01,922,0,0,51,0,0,0,0,0,0,16,99,0,0,0,0
23-Sep-2023 06:00:01,922,0,0,52,2,19,0,0,2,21,16,99,0,0,0,0
24-Sep-2023 06:00:01,922,0,0,52,2,19,0,0,2,21,16,99,0,0,0,0
25-Sep-2023 06:00:02,922,0,0,52,2,19,0,0,2,21,16,99,0,0,0,0
26-Sep-2023 06:00:01,908,0,0,54,9,20,0,0,9,29,16,100,0,0,0,0
27-Sep-2023 06:00:01,900,0,0,67,20,38,0,0,20,58,17,100,0,2,0,0
28-Sep-2023 06:00:01,902,0,0,67,20,51,0,0,20,71,17,99,0,2,0,0
29-Sep-2023 06:00:02,843,0,0,102,66,85,0,0,66,151,20,99,0,3,0,0
30-Sep-2023 06:00:01,836,0,0,102,77,85,0,0,77,162,20,100,0,3,0,0
02-Oct-2023 06:00:01,836,0,0,102,77,85,0,0,77,162,20,100,0,3,0,0
03-Oct-2023 06:00:02,822,0,0,102,98,85,0,0,98,183,20,100,0,3,0,0
04-Oct-2023 06:00:01,808,0,0,106,110,85,0,0,110,195,20,100,0,3,0,0
05-Oct-2023 14:00:01,805,0,0,109,118,163,0,0,118,281,22,101,0,3,1,0
05-Oct-2023 22:00:01,900,0,0,67,20,38,0,0,20,58,17,100,0,2,0,0
06-Oct-2023 06:00:01,808,0,0,106,110,85,0,0,110,195,20,100,0,3,0,0
06-Oct-2023 14:00:02,795,0,0,109,132,180,0,0,132,312,22,101,0,3,1,0
07-Oct-2023 06:00:01,789,0,0,109,140,180,0,0,140,320,22,101,0,3,1,0
08-Oct-2023 06:00:01,789,0,0,109,140,180,0,0,140,320,22,101,0,3,1,0
09-Oct-2023 06:00:02,789,0,0,109,140,180,0,0,140,320,22,101,0,3,1,0
10-Oct-2023 06:00:02,796,0,0,109,140,180,0,0,140,320,22,101,0,3,1,0
11-Oct-2023 06:00:01,725,0,0,113,213,250,0,0,213,463,23,101,0,3,2,0
12-Oct-2023 06:00:01,727,0,0,113,216,259,0,0,216,475,23,103,0,3,2,0
13-Oct-2023 06:00:02,722,0,0,114,224,275,0,0,224,499,24,103,0,4,2,0
14-Oct-2023 06:00:02,702,0,0,114,247,326,0,0,247,573,24,102,0,4,2,0
15-Oct-2023 06:00:01,702,0,0,114,247,326,0,0,247,573,24,102,0,4,2,0
16-Oct-2023 06:00:01,705,0,0,114,247,326,0,0,247,573,24,102,0,4,2,0
17-Oct-2023 06:00:01,697,0,0,114,258,326,0,0,258,584,24,102,0,4,4,0
18-Oct-2023 06:00:02,691,0,0,119,268,362,0,0,268,630,25,102,0,4,5,0
19-Oct-2023 06:00:01,698,0,0,121,268,419,0,0,268,687,25,102,0,4,5,0
20-Oct-2023 06:00:01,682,0,0,129,283,434,0,0,283,717,25,103,0,5,7,0
21-Oct-2023 06:00:02,660,0,0,129,305,434,1,0,306,740,25,103,0,5,7,0
22-Oct-2023 06:00:02,660,0,0,129,305,434,1,0,306,740,25,103,0,5,7,0
23-Oct-2023 06:00:01,660,0,0,129,305,434,1,0,306,740,25,103,0,5,7,0
24-Oct-2023 06:00:01,652,0,0,129,321,501,1,0,322,823,26,104,0,6,8,0
25-Oct-2023 06:00:01,654,0,0,133,332,569,1,0,333,902,26,106,0,6,9,0
26-Oct-2023 06:00:02,655,0,0,135,337,569,1,0,338,907,26,107,0,6,9,0
27-Oct-2023 06:00:01,659,0,0,135,342,625,1,0,343,968,26,107,2,6,9,0
28-Oct-2023 06:00:01,642,0,0,135,369,651,1,0,370,1021,27,107,2,7,9,0
29-Oct-2023 06:00:01,641,0,0,135,370,715,1,0,371,1086,29,107,2,9,9,0
30-Oct-2023 06:00:02,641,0,0,135,370,715,1,0,371,1086,29,107,2,9,9,0
31-Oct-2023 06:00:01,623,0,0,136,389,830,1,0,390,1220,29,107,2,9,12,0
01-Nov-2023 06:00:01,594,0,0,136,419,830,1,0,420,1250,29,107,2,9,14,0
02-Nov-2023 06:00:01,580,0,0,136,435,830,1,0,436,1266,29,109,2,9,14,0
03-Nov-2023 06:00:01,563,0,0,136,240,832,214,0,454,1286,29,109,2,9,14,0
04-Nov-2023 06:00:01,516,0,0,142,28,1373,461,0,489,1862,32,113,3,12,20,1
05-Nov-2023 06:00:01,514,0,0,146,28,1373,461,0,489,1862,32,113,3,12,20,1
06-Nov-2023 06:00:01,508,0,0,152,28,1635,461,0,489,2124,34,118,3,14,25,1
07-Nov-2023 06:00:01,468,0,0,152,71,1637,461,0,532,2169,34,118,3,15,25,1
08-Nov-2023 06:00:01,386,0,0,152,4,1637,610,0,614,2251,34,118,3,18,26,1
09-Nov-2023 06:00:02,345,0,0,152,43,1637,610,0,653,2290,34,118,3,18,28,1
10-Nov-2023 06:00:01,341,0,0,152,47,1637,610,0,657,2294,34,118,3,18,28,2
11-Nov-2023 06:00:01,341,0,0,152,47,1637,610,0,657,2294,34,118,3,18,28,2
12-Nov-2023 06:00:01,341,0,0,152,47,1637,610,0,657,2294,34,118,3,18,28,2
13-Nov-2023 06:00:01,341,0,0,152,47,1637,610,0,657,2294,34,118,3,18,28,2
