FILEDATE,ISSUED,NOT_ISSUED,PROVISIONAL,DELETED,MARKED,ON_MACHINE,PRE_PROCESSED,FWAB,MAIL_IN,COUNTABLE,MILITARY,OVERSEAS,TEMPORARY,MILITARY_COUNTABLE,OVERSEAS_COUNTABLE,TEMPORARY_COUNTABLE
string,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number
14-Sep-2023 12:01:00,0,3087,0,214,0,0,0,0,0,0,38,58,0,0,0,0
15-Sep-2023 06:00:01,18108,375,0,218,0,0,0,0,0,0,131,357,0,0,0,0
16-Sep-2023 06:00:01,18159,375,0,226,0,0,0,0,0,0,131,359,0,0,0,0
17-Sep-2023 06:00:02,18159,375,0,226,0,0,0,0,0,0,131,359,0,0,0,0
18-Sep-2023 06:00:01,18159,375,0,226,0,0,0,0,0,0,131,359,0,0,0,0
19-Sep-2023 06:00:01,18773,0,0,237,0,0,0,0,0,0,133,364,0,0,0,0
20-Sep-2023 06:00:01,18881,0,0,248,0,0,0,0,0,0,134,365,0,0,0,0
21-Sep-2023 06:00:02,18878,0,0,254,0,0,0,0,0,0,134,365,0,0,0,0
22-Sep-2023 06:00:01,19209,0,0,306,0,0,0,0,0,0,135,365,0,0,0,0
23-Sep-2023 06:00:01,19387,0,0,318,0,676,0,0,0,676,136,368,0,1,1,0
24-Sep-2023 06:00:01,19387,0,0,318,0,676,0,0,0,676,136,368,0,1,1,0
25-Sep-2023 06:00:02,19387,0,0,318,0,676,0,0,0,676,136,368,0,1,1,0
26-Sep-2023 06:00:01,19758,1,0,328,2,1126,0,0,2,1128,136,373,0,1,6,0
27-Sep-2023 06:00:01,19818,1,0,439,13,1426,0,0,13,1439,138,375,0,2,8,0
28-Sep-2023 06:00:01,20119,1,0,456,37,1748,0,0,37,1785,141,379,0,3,9,0
29-Sep-2023 06:00:02,19910,1,0,479,313,2056,0,0,313,2369,144,388,0,3,13,0
30-Sep-2023 06:00:01,19677,1,0,497,654,2459,0,0,654,3113,148,390,0,5,16,0
02-Oct-2023 06:00:01,19677,1,0,497,654,2459,0,0,654,3113,148,390,0,5,16,0
03-Oct-2023 06:00:02,19280,1,0,515,1248,2785,1,0,1249,4034,149,398,0,6,27,0
04-Oct-2023 06:00:01,18554,0,0,536,2244,3128,2,0,2246,5374,152,401,0,9,31,0
05-Oct-2023 14:00:01,17707,0,0,541,3158,3128,1,0,3159,6287,152,406,0,11,31,0
05-Oct-2023 22:00:01,19818,1,0,439,13,1426,0,0,13,1439,138,375,0,2,8,0
06-Oct-2023 06:00:01,18554,0,0,536,2244,3128,2,0,2246,5374,152,401,0,9,31,0
06-Oct-2023 14:00:02,16918,0,0,559,4008,3432,1,0,4009,7441,156,411,0,17,39,0
07-Oct-2023 06:00:01,16517,0,0,590,4458,3948,0,0,4458,8406,159,417,0,22,43,0
08-Oct-2023 06:00:01,16517,0,0,590,4458,3948,0,0,4458,8406,159,417,0,22,43,0
09-Oct-2023 06:00:02,16517,0,0,590,4458,3948,0,0,4458,8406,159,417,0,22,43,0
10-Oct-2023 06:00:02,16516,0,0,591,4458,3948,0,0,4458,8406,159,417,0,22,43,0
11-Oct-2023 06:00:01,15834,0,0,617,5471,4397,0,0,5471,9868,164,423,0,27,48,0
12-Oct-2023 06:00:01,15729,0,0,631,5533,4736,0,0,5533,10269,166,425,0,28,50,0
13-Oct-2023 06:00:02,14977,0,0,660,6425,5115,0,0,6425,11540,173,427,0,34,50,0
14-Oct-2023 06:00:02,14730,0,0,686,6824,5738,0,0,6824,12562,176,434,0,36,55,0
15-Oct-2023 06:00:01,14730,0,0,686,6824,5738,0,0,6824,12562,176,434,0,36,55,0
16-Oct-2023 06:00:01,14742,0,0,688,6824,5738,0,0,6824,12562,176,439,0,36,55,0
17-Oct-2023 06:00:01,14310,0,0,708,7517,6236,0,0,7517,13753,178,444,0,38,58,0
18-Oct-2023 06:00:02,14253,0,5,728,7771,6631,0,0,7771,14407,180,448,0,40,60,0
19-Oct-2023 06:00:01,13870,1,7,747,8300,7069,0,0,8300,15376,185,450,0,45,61,0
20-Oct-2023 06:00:01,13568,1,9,774,8691,7430,0,0,8691,16130,188,452,0,47,63,0
21-Oct-2023 06:00:02,13393,1,12,794,8950,8096,0,0,8950,17058,192,455,0,50,73,0
22-Oct-2023 06:00:02,13444,1,12,794,8950,8096,0,0,8950,17058,193,456,0,50,73,0
23-Oct-2023 06:00:01,13477,1,12,796,8950,8096,0,0,8950,17058,193,456,0,50,73,0
24-Oct-2023 06:00:01,13057,1,14,819,9458,9274,0,0,9458,18746,203,462,0,64,87,0
25-Oct-2023 06:00:01,12947,1,19,843,8765,10522,1001,0,9766,20307,210,467,0,70,93,0
26-Oct-2023 06:00:02,12590,1,25,862,7926,11490,2298,0,10224,21739,215,468,0,74,94,0
27-Oct-2023 06:00:01,12314,1,30,880,6854,12584,3787,0,10641,23255,218,473,0,77,100,0
28-Oct-2023 06:00:01,12149,1,38,918,6124,14186,4858,0,10982,25206,231,478,0,91,106,0
29-Oct-2023 06:00:01,11769,1,50,947,6480,16655,4858,0,11338,28043,245,480,0,106,110,0
30-Oct-2023 06:00:02,11769,1,50,947,6480,16655,4858,0,11338,28043,245,480,0,106,110,0
31-Oct-2023 06:00:01,11316,1,61,966,6919,17891,4858,0,11777,29729,252,485,0,114,119,0
01-Nov-2023 06:00:01,11029,1,75,981,5899,19302,6153,0,12052,31429,259,486,0,124,134,0
02-Nov-2023 06:00:01,10418,1,76,999,4988,20471,7655,0,12643,33190,262,491,0,128,142,0
03-Nov-2023 06:00:01,9987,1,86,1034,4172,22403,8867,0,13039,35528,273,494,0,139,152,0
04-Nov-2023 06:00:01,9488,1,110,1071,2839,24953,10673,1,13512,38576,295,500,0,164,165,0
05-Nov-2023 06:00:01,8961,1,149,1158,2174,29938,11783,1,13957,44045,319,522,0,191,192,0
06-Nov-2023 06:00:01,8961,1,149,1158,2174,29938,11783,1,13957,44045,319,522,0,191,192,0
07-Nov-2023 06:00:01,8019,1,151,1160,2573,29942,12334,1,14907,45001,319,522,0,193,201,0
08-Nov-2023 06:00:01,6936,1,151,1160,2142,29942,13842,1,15984,46078,319,522,0,197,206,0
09-Nov-2023 06:00:02,6185,1,151,1160,2879,29942,13842,2,16721,46816,320,521,0,203,210,0
10-Nov-2023 06:00:01,5742,1,151,1160,2223,29942,14934,2,17157,47252,320,521,0,206,217,0
11-Nov-2023 06:00:01,5742,1,151,1160,2223,29942,14934,2,17157,47252,320,521,0,206,217,0
12-Nov-2023 06:00:01,5742,1,151,1160,2224,29942,14934,2,17158,47253,320,521,0,206,218,0
13-Nov-2023 06:00:01,5742,1,151,1160,2224,29942,14934,2,17158,47253,320,521,0,206,218,0
