FILEDATE,ISSUED,NOT_ISSUED,PROVISIONAL,DELETED,MARKED,ON_MACHINE,PRE_PROCESSED,FWAB,MAIL_IN,COUNTABLE,MILITARY,OVERSEAS,TEMPORARY,MILITARY_COUNTABLE,OVERSEAS_COUNTABLE,TEMPORARY_COUNTABLE
string,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number
14-Sep-2023 12:01:00,0,1344,0,71,0,0,0,0,0,0,12,11,0,0,0,0
15-Sep-2023 06:00:01,0,1349,0,72,0,0,0,0,0,0,12,11,0,0,0,0
16-Sep-2023 06:00:01,0,1353,0,72,0,0,0,0,0,0,12,12,0,0,0,0
17-Sep-2023 06:00:02,0,1353,0,72,0,0,0,0,0,0,12,12,0,0,0,0
18-Sep-2023 06:00:01,0,1353,0,72,0,0,0,0,0,0,12,12,0,0,0,0
19-Sep-2023 06:00:01,0,1365,0,74,0,0,0,0,0,0,12,12,0,0,0,0
20-Sep-2023 06:00:01,0,1370,0,77,0,0,0,0,0,0,12,12,0,0,0,0
21-Sep-2023 06:00:02,1360,16,0,79,0,0,0,0,0,0,12,13,0,0,0,0
22-Sep-2023 06:00:01,1360,16,0,79,0,0,0,0,0,0,12,13,0,0,0,0
23-Sep-2023 06:00:01,1382,0,0,79,0,0,0,0,0,0,12,12,0,0,0,0
24-Sep-2023 06:00:01,1380,0,0,81,0,124,0,0,0,124,12,12,0,0,0,0
25-Sep-2023 06:00:02,1421,0,0,81,0,124,0,0,0,124,12,12,0,0,0,0
26-Sep-2023 06:00:01,1442,1,0,90,0,177,0,0,0,177,14,13,0,2,1,0
27-Sep-2023 06:00:01,1430,1,0,98,6,242,0,0,6,248,14,13,0,2,1,0
28-Sep-2023 06:00:01,1438,1,0,102,19,292,0,0,19,311,16,13,0,4,1,0
29-Sep-2023 06:00:02,1386,1,0,106,79,345,0,0,79,424,16,13,0,4,1,0
30-Sep-2023 06:00:01,1342,1,0,113,135,398,0,0,135,533,16,14,0,6,1,0
02-Oct-2023 06:00:01,1341,1,0,113,139,398,0,0,139,537,16,14,0,6,1,0
03-Oct-2023 06:00:02,1265,1,0,123,229,463,0,0,229,692,16,18,0,8,1,0
04-Oct-2023 06:00:01,1220,1,0,123,282,514,0,0,282,796,16,19,0,8,1,0
05-Oct-2023 14:00:01,1163,0,0,123,352,550,0,0,352,902,16,19,0,8,1,0
05-Oct-2023 22:00:01,1430,1,0,98,6,242,0,0,6,248,14,13,0,2,1,0
06-Oct-2023 06:00:01,1220,1,0,123,282,514,0,0,282,796,16,19,0,8,1,0
06-Oct-2023 14:00:02,1112,0,0,129,405,612,0,0,405,1017,16,19,0,8,1,0
07-Oct-2023 06:00:01,1097,0,0,131,429,612,0,0,429,1041,16,19,0,8,1,0
08-Oct-2023 06:00:01,1097,0,0,131,429,612,0,0,429,1041,16,19,0,8,1,0
09-Oct-2023 06:00:02,1095,0,0,133,433,648,0,0,433,1081,16,19,0,8,1,0
10-Oct-2023 06:00:02,1106,0,0,134,434,648,0,0,434,1082,16,19,0,8,1,0
11-Oct-2023 06:00:01,1045,0,0,134,516,722,0,0,516,1238,16,19,0,8,1,0
12-Oct-2023 06:00:01,1050,0,0,136,516,791,0,0,516,1307,16,19,0,8,1,0
13-Oct-2023 06:00:02,988,0,0,136,585,845,0,0,585,1430,16,19,0,9,1,0
14-Oct-2023 06:00:02,965,0,0,137,611,911,0,0,611,1522,17,19,0,10,1,0
15-Oct-2023 06:00:01,967,0,0,137,611,911,0,0,611,1522,17,19,0,10,1,0
16-Oct-2023 06:00:01,967,0,0,137,611,911,0,0,611,1522,17,19,0,10,1,0
17-Oct-2023 06:00:01,936,0,0,139,658,960,0,0,658,1618,17,19,0,10,1,0
18-Oct-2023 06:00:02,920,0,0,141,677,1023,0,0,677,1700,17,19,0,10,1,0
19-Oct-2023 06:00:01,887,0,0,143,205,1080,511,0,716,1796,17,19,0,10,1,0
20-Oct-2023 06:00:01,874,0,0,144,123,1143,612,0,735,1878,17,19,0,10,1,0
21-Oct-2023 06:00:02,848,0,0,151,151,1220,612,0,763,1983,17,19,0,10,2,0
