FILEDATE,ISSUED,NOT_ISSUED,PROVISIONAL,DELETED,MARKED,ON_MACHINE,PRE_PROCESSED,FWAB,MAIL_IN,COUNTABLE,MILITARY,OVERSEAS,TEMPORARY,MILITARY_COUNTABLE,OVERSEAS_COUNTABLE,TEMPORARY_COUNTABLE
string,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number
14-Sep-2023 12:01:00,489,7,0,15,0,0,0,0,0,0,2,6,0,0,0,0
15-Sep-2023 06:00:01,488,7,0,21,0,0,0,0,0,0,2,6,0,0,0,0
16-Sep-2023 06:00:01,488,7,0,21,0,0,0,0,0,0,2,6,0,0,0,0
17-Sep-2023 06:00:02,488,7,0,21,0,0,0,0,0,0,2,6,0,0,0,0
18-Sep-2023 06:00:01,488,7,0,21,0,0,0,0,0,0,2,6,0,0,0,0
19-Sep-2023 06:00:01,496,7,0,21,0,0,0,0,0,0,2,6,0,0,0,0
20-Sep-2023 06:00:01,505,0,0,21,0,0,0,0,0,0,2,6,0,0,0,0
21-Sep-2023 06:00:02,509,0,0,22,0,0,0,0,0,0,2,6,0,0,0,0
22-Sep-2023 06:00:01,516,0,0,23,0,0,0,0,0,0,2,6,0,0,0,0
23-Sep-2023 06:00:01,526,0,0,25,0,25,0,0,0,25,2,8,0,0,0,0
24-Sep-2023 06:00:01,526,0,0,25,0,25,0,0,0,25,2,8,0,0,0,0
25-Sep-2023 06:00:02,526,0,0,25,0,25,0,0,0,25,2,8,0,0,0,0
26-Sep-2023 06:00:01,538,0,0,25,0,39,0,0,0,39,2,8,0,0,0,0
27-Sep-2023 06:00:01,520,0,0,31,11,49,0,0,11,60,2,10,0,0,0,0
28-Sep-2023 06:00:01,493,0,0,31,41,58,0,0,41,99,2,10,0,0,0,0
29-Sep-2023 06:00:02,472,0,0,31,62,73,0,0,62,135,2,10,0,0,0,0
30-Sep-2023 06:00:01,459,0,0,34,84,96,0,0,84,180,1,10,0,0,0,0
02-Oct-2023 06:00:01,459,0,0,34,84,96,0,0,84,180,1,10,0,0,0,0
03-Oct-2023 06:00:02,401,0,0,37,138,108,0,0,138,246,1,10,0,0,0,0
04-Oct-2023 06:00:01,387,0,0,39,146,120,0,0,146,266,1,10,0,0,0,0
05-Oct-2023 14:00:01,352,0,0,40,180,135,0,0,180,315,1,10,0,0,0,0
