FILEDATE,ISSUED,NOT_ISSUED,PROVISIONAL,DELETED,MARKED,ON_MACHINE,PRE_PROCESSED,FWAB,MAIL_IN,COUNTABLE,MILITARY,OVERSEAS,TEMPORARY,MILITARY_COUNTABLE,OVERSEAS_COUNTABLE,TEMPORARY_COUNTABLE
string,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number
14-Sep-2023 12:01:00,19621,0,0,922,0,0,0,0,0,0,263,322,0,0,0,0
15-Sep-2023 06:00:01,19645,0,0,925,0,0,0,0,0,0,263,322,0,0,0,0
16-Sep-2023 06:00:01,19675,0,0,929,0,0,0,0,0,0,263,322,0,0,0,0
17-Sep-2023 06:00:02,19715,0,0,932,0,0,0,0,0,0,264,323,0,0,0,0
18-Sep-2023 06:00:01,19748,0,0,932,0,0,0,0,0,0,264,323,0,0,0,0
19-Sep-2023 06:00:01,19846,0,0,943,0,0,0,0,0,0,264,331,0,0,0,0
20-Sep-2023 06:00:01,19889,0,0,946,0,0,0,0,0,0,263,331,0,0,0,0
21-Sep-2023 06:00:02,20007,0,0,949,0,0,0,0,0,0,263,330,0,0,0,0
22-Sep-2023 06:00:01,20112,0,0,950,0,0,0,0,0,0,263,330,0,0,0,0
23-Sep-2023 06:00:01,20248,0,0,977,0,862,0,0,0,862,270,330,0,7,0,0
24-Sep-2023 06:00:01,20248,0,0,977,0,862,0,0,0,862,270,330,0,7,0,0
25-Sep-2023 06:00:02,20316,0,0,977,0,862,0,0,0,862,270,330,0,7,0,0
26-Sep-2023 06:00:01,20408,0,0,999,0,1480,0,0,0,1480,275,331,0,12,1,0
27-Sep-2023 06:00:01,19939,0,0,1358,2,1974,0,0,2,1976,276,336,0,16,1,0
28-Sep-2023 06:00:01,19659,0,0,1368,79,2439,0,0,79,2518,278,340,0,23,3,0
29-Sep-2023 06:00:02,20238,0,0,1729,80,2914,0,0,80,2994,293,343,0,32,4,0
30-Sep-2023 06:00:01,19554,0,0,1746,725,3538,0,0,725,4263,296,343,0,39,5,0
02-Oct-2023 06:00:01,19163,1,0,1756,1394,3538,0,0,1394,4932,296,347,0,45,5,0
03-Oct-2023 06:00:02,17957,1,0,1769,2551,4051,0,0,2551,6602,299,348,0,52,7,0
04-Oct-2023 06:00:01,18070,1,0,1788,2610,4503,0,0,2610,7113,310,351,0,60,10,0
05-Oct-2023 14:00:01,17446,1,0,1799,3296,4909,0,0,3296,8205,315,350,0,69,12,0
05-Oct-2023 22:00:01,19939,0,0,1358,2,1974,0,0,2,1976,276,336,0,16,1,0
06-Oct-2023 06:00:01,18070,1,0,1788,2610,4503,0,0,2610,7113,310,351,0,60,10,0
06-Oct-2023 14:00:02,17168,1,0,1813,3684,5342,0,0,3684,9026,318,351,0,76,15,0
07-Oct-2023 06:00:01,16899,1,0,1842,4032,6000,0,0,4032,10032,329,351,0,88,19,0
08-Oct-2023 06:00:01,16899,1,0,1842,4032,6000,0,0,4032,10032,329,351,0,88,19,0
09-Oct-2023 06:00:02,17002,1,0,1843,4032,6000,0,0,4032,10032,329,351,0,88,19,0
10-Oct-2023 06:00:02,17145,1,0,1858,4059,6405,0,0,4059,10464,340,353,0,94,19,0
11-Oct-2023 06:00:01,17148,1,0,1878,4082,6962,0,0,4082,11044,346,353,0,101,23,0
12-Oct-2023 06:00:01,16298,1,0,1898,5019,7519,0,0,5019,12538,348,353,0,107,27,0
13-Oct-2023 06:00:02,15539,1,0,1914,5815,8031,0,0,5815,13846,352,355,0,116,29,0
14-Oct-2023 06:00:02,15155,0,0,1949,6290,8745,0,0,6290,15035,357,354,0,120,35,0
15-Oct-2023 06:00:01,15197,0,0,1949,6290,8745,0,0,6290,15035,357,354,0,120,35,0
16-Oct-2023 06:00:01,15291,0,0,1950,6290,8745,0,0,6290,15035,357,354,0,120,35,0
17-Oct-2023 06:00:01,14532,0,0,1988,7141,9442,0,0,7141,16583,364,354,0,131,36,0
18-Oct-2023 06:00:02,14762,0,0,2012,7143,10038,0,0,7143,17181,373,354,0,138,37,0
19-Oct-2023 06:00:01,14759,0,1,2024,7208,10601,0,0,7208,17810,379,360,0,142,40,0
20-Oct-2023 06:00:01,13935,0,5,2053,8056,11229,0,0,8056,19290,385,362,0,149,44,0
21-Oct-2023 06:00:02,13634,0,8,2076,8407,12080,0,0,8407,20495,389,362,0,156,46,0
22-Oct-2023 06:00:02,13681,0,8,2076,8407,12080,0,0,8407,20495,389,362,0,156,46,0
23-Oct-2023 06:00:01,13696,0,15,2098,8408,13319,0,0,8408,21742,407,364,0,170,48,0
24-Oct-2023 06:00:01,12949,0,17,2116,9213,14045,0,0,9213,23275,415,365,0,181,53,0
25-Oct-2023 06:00:01,13049,0,24,2144,9267,14867,0,0,9267,24158,429,366,0,190,55,0
26-Oct-2023 06:00:02,12623,0,25,2162,8274,15795,1491,0,9765,25585,437,366,0,199,56,0
27-Oct-2023 06:00:01,12341,0,35,2187,6416,16686,3697,0,10113,26834,444,369,0,206,61,0
28-Oct-2023 06:00:01,12072,0,40,2227,4973,18038,5495,0,10468,28546,465,372,0,226,66,0
29-Oct-2023 06:00:01,11713,0,46,2253,5305,19698,5495,0,10800,30544,487,374,0,248,68,0
30-Oct-2023 06:00:02,11713,0,46,2253,5305,19698,5495,0,10800,30544,487,374,0,248,68,0
31-Oct-2023 06:00:01,11059,0,55,2281,3144,20893,8292,0,11436,32384,496,376,0,259,73,0
01-Nov-2023 06:00:01,10968,0,67,2361,1535,22108,9979,0,11514,33689,510,377,0,274,74,0
02-Nov-2023 06:00:01,10659,0,78,2372,809,23338,11011,0,11820,35236,529,377,0,296,76,0
03-Nov-2023 06:00:01,9862,0,87,2415,1561,24862,11011,0,12572,37521,544,379,0,312,81,0
04-Nov-2023 06:00:01,9381,0,95,2469,789,27533,12222,0,13011,40639,574,383,0,342,87,0
05-Nov-2023 06:00:01,8790,0,133,2544,578,31660,12948,0,13526,45319,634,393,0,405,102,0
06-Nov-2023 06:00:01,8790,0,147,2544,578,31660,12948,0,13526,45333,634,391,0,405,101,0
07-Nov-2023 06:00:01,7856,0,148,2544,1511,31660,12948,0,14459,46267,634,391,0,409,105,0
08-Nov-2023 06:00:01,7701,0,148,2544,1690,31661,12948,0,14638,46447,635,391,0,410,105,0
09-Nov-2023 06:00:02,7211,0,148,2544,2163,31661,12948,0,15111,46920,635,391,0,411,105,0
10-Nov-2023 06:00:01,6072,0,148,2545,3249,31660,12948,1,16197,48006,637,391,0,421,111,0
11-Nov-2023 06:00:01,5712,0,148,2545,3315,31660,12948,1,16263,48072,637,391,0,424,113,0
12-Nov-2023 06:00:01,5712,0,148,2545,3315,31660,12948,1,16263,48072,637,391,0,424,113,0
13-Nov-2023 06:00:01,5712,0,148,2545,3315,31660,12948,1,16263,48072,637,391,0,424,113,0
