SOURCE_LOCALITY,FILEDATE,ISSUED,NOT_ISSUED,PROVISIONAL,DELETED,MARKED,ON_MACHINE,PRE_PROCESSED,FWAB,MAIL_IN,COUNTABLE,MILITARY,OVERSEAS,TEMPORARY,MILITARY_COUNTABLE,OVERSEAS_COUNTABLE,TEMPORARY_COUNTABLE,MILITARY_ISSUED,OVERSEAS_ISSUED,TEMPORARY_ISSUED,COUNTABLE_HIGH_PROP_NG,COUNTABLE_MED_PROP_NG,COUNTABLE_ZERO_PROP_NG
ALEXANDRIA CITY,string,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number
ALEXANDRIA CITY,29-Aug-2024 11:29:28,0,2037,0,164,0,0,0,0,0,0,67,366,0,0,0,0,0,0,0,0,0,0
ALEXANDRIA CITY,30-Aug-2024 06:00:01,0,2118,0,167,0,0,0,0,0,0,68,370,0,0,0,0,0,0,0,0,0,0
ALEXANDRIA CITY,31-Aug-2024 06:00:01,0,10066,0,695,0,0,0,0,0,0,164,912,0,0,0,0,0,0,0,0,0,0
ALEXANDRIA CITY,01-Sep-2024 06:00:01,0,10066,0,695,0,0,0,0,0,0,164,912,0,0,0,0,0,0,0,0,0,0
ALEXANDRIA CITY,02-Sep-2024 06:00:01,0,10066,0,695,0,0,0,0,0,0,164,912,0,0,0,0,0,0,0,0,0,0
ALEXANDRIA CITY,03-Sep-2024 06:00:02,0,10066,0,695,0,0,0,0,0,0,164,912,0,0,0,0,0,0,0,0,0,0
ALEXANDRIA CITY,04-Sep-2024 06:00:02,0,10160,0,717,0,0,0,0,0,0,164,912,0,0,0,0,0,0,0,0,0,0
ALEXANDRIA CITY,05-Sep-2024 06:00:01,0,10259,0,754,0,0,0,0,0,0,170,932,0,0,0,0,0,0,0,0,0,0
ALEXANDRIA CITY,06-Sep-2024 06:00:02,0,10286,0,766,0,0,0,0,0,0,173,941,0,0,0,0,0,0,0,0,0,0
ALEXANDRIA CITY,07-Sep-2024 06:00:01,0,10325,0,779,0,0,0,0,0,0,175,950,0,0,0,0,0,0,0,0,0,0
ALEXANDRIA CITY,08-Sep-2024 06:00:02,0,10325,0,779,0,0,0,0,0,0,175,950,0,0,0,0,0,0,0,0,0,0
ALEXANDRIA CITY,09-Sep-2024 06:00:01,0,10325,0,779,0,0,0,0,0,0,175,950,0,0,0,0,0,0,0,0,0,0
ALEXANDRIA CITY,10-Sep-2024 06:00:02,0,10452,0,826,0,0,0,0,0,0,181,967,0,0,0,0,0,0,0,0,0,0
ALEXANDRIA CITY,11-Sep-2024 06:00:01,0,10534,0,853,0,0,0,0,0,0,186,982,0,0,0,0,0,0,0,0,0,0
ALEXANDRIA CITY,12-Sep-2024 06:00:01,0,10646,0,874,0,0,0,0,0,0,190,991,0,0,0,0,0,0,0,0,0,0
ALEXANDRIA CITY,13-Sep-2024 06:00:01,0,10691,0,888,0,0,0,0,0,0,192,991,0,0,0,0,0,0,0,0,0,0
ALEXANDRIA CITY,14-Sep-2024 06:00:01,10976,0,0,909,0,0,0,0,0,0,196,1013,0,0,0,0,165,710,0,0,0,0
ALEXANDRIA CITY,15-Sep-2024 06:00:01,10976,0,0,909,0,0,0,0,0,0,196,1013,0,0,0,0,165,710,0,0,0,0
ALEXANDRIA CITY,16-Sep-2024 06:00:01,10976,0,0,909,0,0,0,0,0,0,196,1013,0,0,0,0,165,710,0,0,0,0
ALEXANDRIA CITY,17-Sep-2024 06:00:01,11173,0,0,922,0,0,0,1,0,1,202,1028,0,0,0,0,170,724,0,0,1,0
ALEXANDRIA CITY,18-Sep-2024 06:00:01,11210,0,0,933,0,0,0,1,0,1,207,1056,0,0,0,0,175,748,0,0,1,0
ALEXANDRIA CITY,19-Sep-2024 06:00:01,11451,0,0,952,0,0,0,2,0,2,210,1064,0,0,1,0,178,753,0,0,2,0
ALEXANDRIA CITY,20-Sep-2024 06:00:01,11536,0,0,960,0,0,0,2,0,2,212,1069,0,0,1,0,180,758,0,0,2,0
ALEXANDRIA CITY,21-Sep-2024 06:00:01,11592,0,0,1034,0,1168,0,2,0,1170,223,1101,0,6,4,0,184,783,0,902,222,46
ALEXANDRIA CITY,22-Sep-2024 06:00:01,11590,0,0,1036,0,1168,0,2,0,1170,223,1101,0,6,4,0,184,783,0,902,222,46
ALEXANDRIA CITY,23-Sep-2024 06:00:01,11590,0,0,1036,0,1168,0,2,0,1170,223,1101,0,6,4,0,184,783,0,902,222,46
ALEXANDRIA CITY,24-Sep-2024 06:00:02,11775,0,0,1075,0,1738,0,2,0,1740,226,1126,0,6,4,0,187,806,0,1331,333,76
ALEXANDRIA CITY,25-Sep-2024 06:00:01,11838,0,0,1097,20,2195,0,3,20,2218,232,1139,0,7,6,0,192,817,0,1706,417,95
ALEXANDRIA CITY,26-Sep-2024 06:00:02,11839,0,0,1129,64,2542,0,3,64,2609,234,1152,0,9,9,0,189,821,0,1995,497,117
ALEXANDRIA CITY,27-Sep-2024 06:00:01,11492,0,0,1141,449,2843,0,3,449,3295,235,1159,0,16,15,0,183,822,0,2457,673,165
ALEXANDRIA CITY,28-Sep-2024 07:31:19,11064,0,0,1167,917,3282,1,4,918,4204,238,1177,0,21,27,0,180,827,0,3077,909,218
ALEXANDRIA CITY,29-Sep-2024 06:00:01,11001,0,0,1167,980,3282,1,4,981,4267,238,1177,0,21,27,0,180,827,0,3124,922,221
ALEXANDRIA CITY,30-Sep-2024 06:00:01,10956,0,0,1167,1025,3282,1,4,1026,4312,238,1177,0,21,27,0,180,827,0,3159,930,223
ALEXANDRIA CITY,01-Oct-2024 06:00:02,10106,0,0,1196,1957,3619,7,4,1964,5587,244,1186,0,26,36,0,181,824,0,3994,1280,313
ALEXANDRIA CITY,02-Oct-2024 06:00:01,10166,0,0,1223,2102,3909,1,4,2103,6016,252,1208,0,34,47,0,179,834,0,4283,1395,338
ALEXANDRIA CITY,03-Oct-2024 06:00:02,9783,0,0,1254,2619,4266,0,5,2619,6890,256,1220,0,39,60,0,177,829,0,4836,1641,413
ALEXANDRIA CITY,04-Oct-2024 06:00:01,9578,0,0,1272,2909,4689,0,5,2909,7603,257,1227,0,46,86,0,169,810,0,5283,1845,475
ALEXANDRIA CITY,05-Oct-2024 06:00:02,9353,0,0,1301,3237,5236,0,5,3237,8478,264,1239,0,59,109,0,164,797,0,5842,2102,534
