FILEDATE,ISSUED,NOT_ISSUED,PROVISIONAL,DELETED,MARKED,ON_MACHINE,PRE_PROCESSED,FWAB,MAIL_IN,COUNTABLE,MILITARY,OVERSEAS,TEMPORARY,MILITARY_COUNTABLE,OVERSEAS_COUNTABLE,TEMPORARY_COUNTABLE,MILITARY_ISSUED,OVERSEAS_ISSUED,TEMPORARY_ISSUED,COUNTABLE_HIGH_PROP_NG,COUNTABLE_MED_PROP_NG,COUNTABLE_ZERO_PROP_NG
string,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number
29-Aug-2024 11:29:28,0,2037,0,164,0,0,0,0,0,0,67,366,0,0,0,0,0,0,0,0,0,0
30-Aug-2024 06:00:01,0,2118,0,167,0,0,0,0,0,0,68,370,0,0,0,0,0,0,0,0,0,0
31-Aug-2024 06:00:01,0,10066,0,695,0,0,0,0,0,0,164,912,0,0,0,0,0,0,0,0,0,0
01-Sep-2024 06:00:01,0,10066,0,695,0,0,0,0,0,0,164,912,0,0,0,0,0,0,0,0,0,0
02-Sep-2024 06:00:01,0,10066,0,695,0,0,0,0,0,0,164,912,0,0,0,0,0,0,0,0,0,0
03-Sep-2024 06:00:02,0,10066,0,695,0,0,0,0,0,0,164,912,0,0,0,0,0,0,0,0,0,0
04-Sep-2024 06:00:02,0,10160,0,717,0,0,0,0,0,0,164,912,0,0,0,0,0,0,0,0,0,0
05-Sep-2024 06:00:01,0,10259,0,754,0,0,0,0,0,0,170,932,0,0,0,0,0,0,0,0,0,0
06-Sep-2024 06:00:02,0,10286,0,766,0,0,0,0,0,0,173,941,0,0,0,0,0,0,0,0,0,0
07-Sep-2024 06:00:01,0,10325,0,779,0,0,0,0,0,0,175,950,0,0,0,0,0,0,0,0,0,0
08-Sep-2024 06:00:02,0,10325,0,779,0,0,0,0,0,0,175,950,0,0,0,0,0,0,0,0,0,0
09-Sep-2024 06:00:01,0,10325,0,779,0,0,0,0,0,0,175,950,0,0,0,0,0,0,0,0,0,0
10-Sep-2024 06:00:02,0,10452,0,826,0,0,0,0,0,0,181,967,0,0,0,0,0,0,0,0,0,0
11-Sep-2024 06:00:01,0,10534,0,853,0,0,0,0,0,0,186,982,0,0,0,0,0,0,0,0,0,0
12-Sep-2024 06:00:01,0,10646,0,874,0,0,0,0,0,0,190,991,0,0,0,0,0,0,0,0,0,0
13-Sep-2024 06:00:01,0,10691,0,888,0,0,0,0,0,0,192,991,0,0,0,0,0,0,0,0,0,0
14-Sep-2024 06:00:01,10976,0,0,909,0,0,0,0,0,0,196,1013,0,0,0,0,165,710,0,0,0,0
