FILEDATE,ISSUED,NOT_ISSUED,PROVISIONAL,DELETED,MARKED,ON_MACHINE,PRE_PROCESSED,FWAB,MAIL_IN,COUNTABLE,MILITARY,OVERSEAS,TEMPORARY,MILITARY_COUNTABLE,OVERSEAS_COUNTABLE,TEMPORARY_COUNTABLE,MILITARY_ISSUED,OVERSEAS_ISSUED,TEMPORARY_ISSUED,COUNTABLE_HIGH_PROP_NG,COUNTABLE_MED_PROP_NG,COUNTABLE_ZERO_PROP_NG
string,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number
29-Aug-2024 11:29:28,0,4190,0,417,0,0,0,0,0,0,111,846,0,0,0,0,0,0,0,0,0,0
30-Aug-2024 06:00:01,0,4250,0,427,0,0,0,0,0,0,112,859,0,0,0,0,0,0,0,0,0,0
31-Aug-2024 06:00:01,0,4346,0,450,0,0,0,0,0,0,114,879,0,0,0,0,0,0,0,0,0,0
01-Sep-2024 06:00:01,0,4346,0,450,0,0,0,0,0,0,114,879,0,0,0,0,0,0,0,0,0,0
02-Sep-2024 06:00:01,0,4346,0,450,0,0,0,0,0,0,114,879,0,0,0,0,0,0,0,0,0,0
03-Sep-2024 06:00:02,0,4346,0,450,0,0,0,0,0,0,114,879,0,0,0,0,0,0,0,0,0,0
04-Sep-2024 06:00:02,0,4594,0,483,0,0,0,0,0,0,120,911,0,0,0,0,0,0,0,0,0,0
05-Sep-2024 06:00:01,0,4701,0,497,0,0,0,0,0,0,124,936,0,0,0,0,0,0,0,0,0,0
06-Sep-2024 06:00:02,0,4843,0,524,0,0,0,0,0,0,131,966,0,0,0,0,0,0,0,0,0,0
07-Sep-2024 06:00:01,0,4946,0,540,0,0,0,0,0,0,134,988,0,0,0,0,0,0,0,0,0,0
08-Sep-2024 06:00:02,0,4946,0,540,0,0,0,0,0,0,134,988,0,0,0,0,0,0,0,0,0,0
09-Sep-2024 06:00:01,0,4946,0,540,0,0,0,0,0,0,134,988,0,0,0,0,0,0,0,0,0,0
10-Sep-2024 06:00:02,0,5191,0,572,0,0,0,0,0,0,141,1018,0,0,0,0,0,0,0,0,0,0
11-Sep-2024 06:00:01,0,16919,2,1593,0,0,0,0,0,2,266,2052,0,0,1,0,0,0,0,0,2,0
12-Sep-2024 06:00:01,0,17193,2,1709,0,0,0,0,0,2,278,2094,0,0,1,0,0,0,0,0,2,0
13-Sep-2024 06:00:01,15580,1914,2,1789,0,0,0,0,0,2,278,2150,0,0,1,0,132,316,0,0,2,0
14-Sep-2024 06:00:01,15682,1928,2,1823,0,0,0,0,0,2,280,2166,0,0,1,0,132,318,0,0,2,0
15-Sep-2024 06:00:01,15682,1928,2,1823,0,0,0,0,0,2,280,2166,0,0,1,0,132,318,0,0,2,0
16-Sep-2024 06:00:01,15681,1928,2,1824,0,0,0,0,0,2,280,2166,0,0,1,0,132,318,0,0,2,0
17-Sep-2024 06:00:01,15993,1974,0,1910,0,1,0,0,0,1,291,2214,0,0,0,0,139,329,0,0,1,0
18-Sep-2024 06:00:01,16182,2012,0,1939,0,1,0,0,0,1,294,2243,0,0,0,0,140,331,0,0,1,0
19-Sep-2024 06:00:01,16397,2064,0,2000,0,0,0,0,0,0,303,2288,0,0,0,0,145,336,0,0,0,0
