FILEDATE,ISSUED,NOT_ISSUED,PROVISIONAL,DELETED,MARKED,ON_MACHINE,PRE_PROCESSED,FWAB,MAIL_IN,COUNTABLE,MILITARY,OVERSEAS,TEMPORARY,MILITARY_COUNTABLE,OVERSEAS_COUNTABLE,TEMPORARY_COUNTABLE,MILITARY_ISSUED,OVERSEAS_ISSUED,TEMPORARY_ISSUED,COUNTABLE_HIGH_PROP_NG,COUNTABLE_MED_PROP_NG,COUNTABLE_ZERO_PROP_NG
string,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number
29-Aug-2024 11:29:28,0,1335,0,37,0,0,0,0,0,0,6,33,0,0,0,0,0,0,0,0,0,0
30-Aug-2024 06:00:01,0,1347,0,37,0,0,0,0,0,0,6,33,0,0,0,0,0,0,0,0,0,0
31-Aug-2024 06:00:01,1425,5,0,53,0,0,0,0,0,0,10,50,0,0,0,0,10,44,0,0,0,0
01-Sep-2024 06:00:01,1425,5,0,53,0,0,0,0,0,0,11,50,0,0,0,0,11,44,0,0,0,0
02-Sep-2024 06:00:01,1425,5,0,53,0,0,0,0,0,0,11,50,0,0,0,0,11,44,0,0,0,0
03-Sep-2024 06:00:02,1425,5,0,53,0,0,0,0,0,0,11,50,0,0,0,0,11,44,0,0,0,0
04-Sep-2024 06:00:02,1479,3,0,60,0,0,0,0,0,0,11,50,0,0,0,0,11,44,0,0,0,0
05-Sep-2024 06:00:01,1510,3,0,73,0,0,0,0,0,0,11,50,0,0,0,0,11,44,0,0,0,0
06-Sep-2024 06:00:02,1520,3,0,79,0,0,0,0,0,0,11,50,0,0,0,0,11,44,0,0,0,0
07-Sep-2024 06:00:01,1524,2,0,85,0,0,0,0,0,0,11,50,0,0,0,0,11,44,0,0,0,0
08-Sep-2024 06:00:02,1524,2,0,85,0,0,0,0,0,0,11,50,0,0,0,0,11,44,0,0,0,0
09-Sep-2024 06:00:01,1524,2,0,85,0,0,0,0,0,0,11,50,0,0,0,0,11,44,0,0,0,0
10-Sep-2024 06:00:02,1524,2,0,86,0,0,0,0,0,0,11,51,0,0,0,0,11,44,0,0,0,0
11-Sep-2024 06:00:01,1524,2,0,86,0,0,0,0,0,0,11,51,0,0,0,0,11,44,0,0,0,0
12-Sep-2024 06:00:01,1524,2,0,86,0,0,0,0,0,0,11,51,0,0,0,0,11,44,0,0,0,0
