FILEDATE,ISSUED,NOT_ISSUED,PROVISIONAL,DELETED,MARKED,ON_MACHINE,PRE_PROCESSED,FWAB,MAIL_IN,COUNTABLE,MILITARY,OVERSEAS,TEMPORARY,MILITARY_COUNTABLE,OVERSEAS_COUNTABLE,TEMPORARY_COUNTABLE,MILITARY_ISSUED,OVERSEAS_ISSUED,TEMPORARY_ISSUED,COUNTABLE_HIGH_PROP_NG,COUNTABLE_MED_PROP_NG,COUNTABLE_ZERO_PROP_NG
string,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number
29-Aug-2024 11:29:28,0,16930,0,1843,0,0,1,0,1,1,526,2110,0,0,0,0,0,0,0,0,1,0
30-Aug-2024 06:00:01,0,17548,0,1894,0,0,1,0,1,1,536,2165,0,0,0,0,0,0,0,0,1,0
31-Aug-2024 06:00:01,0,17930,0,1968,0,0,1,0,1,1,542,2211,0,0,0,0,0,0,0,0,1,0
01-Sep-2024 06:00:01,0,17930,0,1968,0,0,1,0,1,1,542,2211,0,0,0,0,0,0,0,0,1,0
02-Sep-2024 06:00:01,0,17930,0,1968,0,0,1,0,1,1,542,2211,0,0,0,0,0,0,0,0,1,0
03-Sep-2024 06:00:02,0,17930,0,1968,0,0,1,0,1,1,542,2211,0,0,0,0,0,0,0,0,1,0
04-Sep-2024 06:00:02,0,18979,0,2071,0,0,1,0,1,1,549,2298,0,0,0,0,0,0,0,0,1,0
05-Sep-2024 06:00:01,0,19600,0,2138,0,0,1,0,1,1,568,2405,0,0,0,0,0,0,0,0,1,0
06-Sep-2024 06:00:02,0,20044,0,2198,0,0,1,0,1,1,587,2454,0,0,0,0,0,0,0,0,1,0
07-Sep-2024 06:00:01,0,20522,0,2305,0,0,1,0,1,1,606,2514,0,0,0,0,0,0,0,0,1,0
08-Sep-2024 06:00:02,0,20650,0,2327,0,0,1,0,1,1,608,2538,0,0,0,0,0,0,0,0,1,0
09-Sep-2024 06:00:01,0,20650,0,2327,0,0,1,0,1,1,608,2538,0,0,0,0,0,0,0,0,1,0
10-Sep-2024 06:00:02,0,21343,0,2404,0,0,1,0,1,1,626,2644,0,0,0,0,0,0,0,0,1,0
11-Sep-2024 06:00:01,0,22240,0,2550,0,0,1,0,1,1,654,2736,0,0,0,0,0,0,0,0,1,0
12-Sep-2024 06:00:01,0,65986,0,2566,0,0,1,0,1,1,987,3223,0,0,0,0,0,0,0,0,1,0
13-Sep-2024 06:00:01,0,77575,0,2602,0,0,0,0,0,0,1092,3415,0,0,0,0,0,0,0,0,0,0
14-Sep-2024 06:00:01,0,78780,0,2751,0,0,0,0,0,0,1103,3470,0,0,0,0,0,0,0,0,0,0
15-Sep-2024 06:00:01,0,80489,0,2893,0,0,0,0,0,0,1109,3522,0,0,0,0,0,0,0,0,0,0
16-Sep-2024 06:00:01,0,80488,0,2894,0,0,0,0,0,0,1109,3522,0,0,0,0,0,0,0,0,0,0
17-Sep-2024 06:00:01,0,81377,0,3040,0,0,0,0,0,0,1119,3614,0,0,0,0,0,0,0,0,0,0
18-Sep-2024 06:00:01,82626,0,0,3251,0,0,0,0,0,0,1167,3731,0,0,0,0,1105,3453,0,0,0,0
19-Sep-2024 06:00:01,83802,0,0,3366,0,0,0,0,0,0,1206,3812,0,0,0,0,1140,3520,0,0,0,0
20-Sep-2024 06:00:01,84413,0,0,3484,0,0,0,0,0,0,1252,3935,0,0,0,0,1184,3622,0,0,0,0
21-Sep-2024 06:00:01,84986,0,0,3806,0,4569,0,0,0,4569,1314,4064,0,42,15,0,1200,3713,0,3680,722,167
22-Sep-2024 06:00:01,85609,0,0,4019,0,8613,0,0,0,8613,1388,4131,0,96,20,0,1215,3768,0,6725,1534,354
23-Sep-2024 06:00:01,85609,0,0,4019,0,8613,0,0,0,8613,1388,4131,0,96,20,0,1215,3768,0,6725,1534,354
24-Sep-2024 06:00:02,86081,0,0,4261,0,11573,0,0,0,11573,1423,4188,0,116,29,0,1228,3809,0,9114,1983,476
25-Sep-2024 06:00:01,86927,1,0,4461,0,14131,0,0,0,14131,1469,4334,0,138,35,0,1252,3930,0,11167,2388,576
26-Sep-2024 06:00:02,87695,1,0,4556,0,14131,0,0,0,14131,1480,4431,0,138,35,0,1262,4020,0,11167,2388,576
27-Sep-2024 06:00:01,88205,1,0,4874,0,18481,56,0,56,18537,1551,4530,0,185,50,0,1283,4093,0,14684,3123,730
28-Sep-2024 07:31:19,88205,1,0,5053,0,20997,334,0,334,21331,1583,4572,0,209,58,0,1288,4127,0,16844,3627,860
