FILEDATE,ISSUED,NOT_ISSUED,PROVISIONAL,DELETED,MARKED,ON_MACHINE,PRE_PROCESSED,FWAB,MAIL_IN,COUNTABLE,MILITARY,OVERSEAS,TEMPORARY,MILITARY_COUNTABLE,OVERSEAS_COUNTABLE,TEMPORARY_COUNTABLE,MILITARY_ISSUED,OVERSEAS_ISSUED,TEMPORARY_ISSUED,COUNTABLE_HIGH_PROP_NG,COUNTABLE_MED_PROP_NG,COUNTABLE_ZERO_PROP_NG
string,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number
29-Aug-2024 11:29:28,0,420,0,70,0,0,0,0,0,0,13,153,0,0,0,0,0,0,0,0,0,0
30-Aug-2024 06:00:01,0,425,0,75,0,0,0,0,0,0,13,154,0,0,0,0,0,0,0,0,0,0
31-Aug-2024 06:00:01,0,430,0,75,0,0,0,0,0,0,14,156,0,0,0,0,0,0,0,0,0,0
01-Sep-2024 06:00:01,0,430,0,75,0,0,0,0,0,0,14,156,0,0,0,0,0,0,0,0,0,0
02-Sep-2024 06:00:01,0,430,0,75,0,0,0,0,0,0,14,156,0,0,0,0,0,0,0,0,0,0
03-Sep-2024 06:00:02,0,430,0,75,0,0,0,0,0,0,14,156,0,0,0,0,0,0,0,0,0,0
04-Sep-2024 06:00:02,0,445,0,85,0,0,0,0,0,0,14,165,0,0,0,0,0,0,0,0,0,0
05-Sep-2024 06:00:01,299,155,0,85,0,0,0,0,0,0,14,169,0,0,0,0,4,22,0,0,0,0
06-Sep-2024 06:00:02,303,160,0,91,0,0,0,0,0,0,14,175,0,0,0,0,4,23,0,0,0,0
07-Sep-2024 06:00:01,314,163,0,95,0,0,0,0,0,0,14,182,0,0,0,0,4,24,0,0,0,0
08-Sep-2024 06:00:02,314,163,0,95,0,0,0,0,0,0,14,182,0,0,0,0,4,24,0,0,0,0
09-Sep-2024 06:00:01,314,163,0,95,0,0,0,0,0,0,14,182,0,0,0,0,4,24,0,0,0,0
10-Sep-2024 06:00:02,328,168,0,103,0,0,0,0,0,0,14,189,0,0,0,0,4,25,0,0,0,0
11-Sep-2024 06:00:01,341,171,0,107,0,0,0,0,0,0,14,190,0,0,0,0,4,25,0,0,0,0
12-Sep-2024 06:00:01,356,174,0,118,0,0,0,0,0,0,15,195,0,0,0,0,5,27,0,0,0,0
13-Sep-2024 06:00:01,375,176,0,118,0,0,0,0,0,0,15,199,0,0,0,0,5,30,0,0,0,0
14-Sep-2024 06:00:01,1102,207,0,130,0,0,0,0,0,0,19,233,0,0,0,0,8,37,0,0,0,0
15-Sep-2024 06:00:01,1102,207,0,130,0,0,0,0,0,0,19,233,0,0,0,0,8,37,0,0,0,0
16-Sep-2024 06:00:01,1102,207,0,130,0,0,0,0,0,0,19,233,0,0,0,0,8,37,0,0,0,0
17-Sep-2024 06:00:01,1130,215,0,147,0,0,0,0,0,0,19,244,0,0,0,0,8,39,0,0,0,0
18-Sep-2024 06:00:01,1141,221,0,152,0,0,0,0,0,0,19,249,0,0,0,0,8,39,0,0,0,0
19-Sep-2024 06:00:01,1156,223,0,156,0,0,0,0,0,0,19,253,0,0,0,0,8,41,0,0,0,0
20-Sep-2024 06:00:01,1161,227,0,160,0,0,0,0,0,0,20,255,0,0,0,0,8,41,0,0,0,0
21-Sep-2024 06:00:01,1382,0,0,183,2,298,0,0,2,300,26,260,0,6,3,0,18,218,0,221,59,20
22-Sep-2024 06:00:01,1382,0,0,183,2,298,0,0,2,300,26,260,0,6,3,0,18,218,0,221,59,20
23-Sep-2024 06:00:01,1382,0,0,183,2,298,0,0,2,300,26,260,0,6,3,0,18,218,0,221,59,20
24-Sep-2024 06:00:02,1360,0,0,192,47,413,0,0,47,460,28,270,0,7,4,0,19,224,0,343,89,28
25-Sep-2024 06:00:01,1370,0,0,200,51,500,0,0,51,551,28,281,0,7,6,0,19,230,0,412,106,33
26-Sep-2024 06:00:02,1353,0,0,211,87,500,0,1,87,588,29,284,0,7,6,0,19,232,0,431,122,35
27-Sep-2024 06:00:01,1336,0,0,214,115,500,0,1,115,616,30,288,0,7,6,0,20,236,0,451,127,38
28-Sep-2024 07:31:19,1331,0,0,214,140,500,0,1,140,641,30,293,0,7,6,0,20,241,0,467,135,39
29-Sep-2024 06:00:01,1331,0,0,214,140,500,0,1,140,641,30,293,0,7,6,0,20,241,0,467,135,39
30-Sep-2024 06:00:01,1331,0,0,214,140,500,0,1,140,641,30,293,0,7,6,0,20,241,0,467,135,39
01-Oct-2024 06:00:02,1326,0,0,217,173,500,0,1,173,674,30,298,0,7,7,0,20,245,0,487,142,45
02-Oct-2024 06:00:01,1306,0,0,229,202,840,0,1,202,1043,35,300,0,14,8,0,17,245,0,763,212,68
03-Oct-2024 06:00:02,1304,0,0,231,213,908,0,1,213,1122,38,303,0,16,10,0,18,245,0,823,225,74
04-Oct-2024 06:00:01,1245,0,0,240,291,1037,0,1,291,1329,39,312,0,18,13,0,17,248,0,962,276,91
