FILEDATE,ISSUED,NOT_ISSUED,PROVISIONAL,DELETED,MARKED,ON_MACHINE,PRE_PROCESSED,FWAB,MAIL_IN,COUNTABLE,MILITARY,OVERSEAS,TEMPORARY,MILITARY_COUNTABLE,OVERSEAS_COUNTABLE,TEMPORARY_COUNTABLE,MILITARY_ISSUED,OVERSEAS_ISSUED,TEMPORARY_ISSUED,COUNTABLE_HIGH_PROP_NG,COUNTABLE_MED_PROP_NG,COUNTABLE_ZERO_PROP_NG
string,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number
29-Aug-2024 11:29:28,0,4458,0,469,0,0,0,0,0,0,50,338,0,0,0,0,0,0,0,0,0,0
30-Aug-2024 06:00:01,0,4618,0,490,0,0,0,0,0,0,59,383,0,0,0,0,0,0,0,0,0,0
31-Aug-2024 06:00:01,0,4625,0,496,0,0,0,0,0,0,60,387,0,0,0,0,0,0,0,0,0,0
01-Sep-2024 06:00:01,0,4625,0,496,0,0,0,0,0,0,60,387,0,0,0,0,0,0,0,0,0,0
02-Sep-2024 06:00:01,0,4675,0,509,0,0,0,0,0,0,76,407,0,0,0,0,0,0,0,0,0,0
03-Sep-2024 06:00:02,0,4675,0,509,0,0,0,0,0,0,75,407,0,0,0,0,0,0,0,0,0,0
04-Sep-2024 06:00:02,0,4907,0,541,0,0,0,0,0,0,78,411,0,0,0,0,0,0,0,0,0,0
05-Sep-2024 06:00:01,0,5135,0,573,0,0,0,0,0,0,80,421,0,0,0,0,0,0,0,0,0,0
06-Sep-2024 06:00:02,0,5401,0,608,0,0,0,0,0,0,79,428,0,0,0,0,0,0,0,0,0,0
07-Sep-2024 06:00:01,0,5562,0,631,0,0,0,0,0,0,88,454,0,0,0,0,0,0,0,0,0,0
08-Sep-2024 06:00:02,0,5562,0,631,0,0,0,0,0,0,87,454,0,0,0,0,0,0,0,0,0,0
09-Sep-2024 06:00:01,0,5610,0,642,0,0,0,0,0,0,96,481,0,0,0,0,0,0,0,0,0,0
10-Sep-2024 06:00:02,0,5947,0,690,0,0,0,0,0,0,100,482,0,0,0,0,0,0,0,0,0,0
11-Sep-2024 06:00:01,0,6527,0,797,0,0,0,0,0,0,102,493,0,0,0,0,0,0,0,0,0,0
12-Sep-2024 06:00:01,0,20852,0,876,0,0,0,0,0,0,162,687,0,0,0,0,0,0,0,0,0,0
13-Sep-2024 06:00:01,0,21542,0,1123,0,0,0,0,0,0,167,697,0,0,0,0,0,0,0,0,0,0
14-Sep-2024 06:00:01,0,25374,0,1234,0,0,0,0,0,0,193,770,0,0,0,0,0,0,0,0,0,0
15-Sep-2024 06:00:01,1035,24336,0,1239,0,0,0,0,0,0,190,774,0,0,0,0,69,553,0,0,0,0
16-Sep-2024 06:00:01,1060,24344,0,1245,0,0,0,0,0,0,193,789,0,0,0,0,72,561,0,0,0,0
17-Sep-2024 06:00:01,27030,3,0,1399,0,0,0,0,0,0,209,814,0,0,0,0,202,763,0,0,0,0
18-Sep-2024 06:00:01,27293,3,0,1482,0,0,0,0,0,0,218,824,0,0,0,0,210,771,0,0,0,0
19-Sep-2024 06:00:01,27379,3,0,1554,3,0,0,0,3,3,223,840,0,1,1,0,214,786,0,0,3,0
20-Sep-2024 06:00:01,27543,3,0,1587,5,0,0,0,5,5,227,853,0,3,1,0,216,799,0,0,5,0
21-Sep-2024 06:00:01,28069,3,0,1740,7,2351,0,0,7,2358,242,873,0,16,9,0,218,809,0,1997,287,74
22-Sep-2024 06:00:01,28069,3,0,1740,7,2351,0,0,7,2358,242,873,0,16,9,0,218,809,0,1997,287,74
23-Sep-2024 06:00:01,28069,3,0,1740,7,2351,0,0,7,2358,242,873,0,16,9,0,218,809,0,1997,287,74
24-Sep-2024 06:00:02,28489,0,0,1824,7,3819,0,0,7,3826,262,905,0,25,12,0,230,834,0,3259,453,114
25-Sep-2024 06:00:01,28642,0,0,1868,39,4958,0,0,39,4997,265,924,0,31,30,0,227,833,0,4235,604,158
26-Sep-2024 06:00:02,28827,0,1,1913,118,5900,0,0,118,6019,271,947,0,33,35,0,231,850,0,5079,746,194
27-Sep-2024 06:00:01,28815,0,2,1972,297,6823,0,0,297,7122,281,961,0,38,36,0,236,858,0,5982,907,233
28-Sep-2024 07:31:19,27953,0,2,2028,1391,8045,0,0,1391,9438,289,988,0,44,61,0,234,857,0,7720,1385,333
29-Sep-2024 06:00:01,27968,0,2,2029,1391,8045,0,0,1391,9438,291,994,0,44,61,0,236,863,0,7720,1385,333
30-Sep-2024 06:00:01,27980,0,2,2029,1391,8045,0,0,1391,9438,295,1001,0,44,61,0,240,870,0,7720,1385,333
01-Oct-2024 06:00:02,26969,0,2,2095,2875,8900,0,2,2875,11779,303,1024,0,51,78,0,240,872,0,9371,1958,450
02-Oct-2024 06:00:01,25633,1,2,2429,4233,9616,0,2,4233,13853,319,1044,0,60,94,0,245,873,0,10894,2391,568
03-Oct-2024 06:00:02,24317,1,2,2485,5741,10371,0,2,5741,16116,327,1066,0,66,97,0,247,886,0,12516,2901,699
04-Oct-2024 06:00:01,23796,1,2,2539,6541,11473,0,2,6541,18018,341,1088,0,83,111,0,244,893,0,13938,3290,790
05-Oct-2024 06:00:02,23100,1,2,2617,7422,13145,0,2,7422,20571,362,1108,0,96,118,0,251,906,0,15764,3841,966
06-Oct-2024 06:00:01,23100,1,2,2619,7422,13145,0,2,7422,20571,361,1118,0,96,118,0,250,915,0,15764,3841,966
07-Oct-2024 06:00:01,23069,1,2,2625,7481,13145,0,6,7481,20634,372,1129,0,98,152,0,259,890,0,15777,3877,980
08-Oct-2024 06:00:01,22246,0,2,2731,9010,14189,0,8,9010,23209,382,1158,0,114,196,0,253,872,0,17431,4555,1223
09-Oct-2024 06:00:02,22160,0,3,2782,9427,15126,0,8,9427,24564,396,1182,0,124,213,0,257,878,0,18369,4861,1334
10-Oct-2024 06:00:01,21671,0,3,2870,10448,16107,0,8,10448,26566,405,1195,0,128,225,0,260,878,0,19759,5328,1479
11-Oct-2024 06:00:01,21145,0,3,2952,11227,17123,0,8,11227,28361,416,1206,0,139,240,0,258,872,0,20940,5784,1637
12-Oct-2024 06:00:02,20711,0,3,3086,11839,19283,0,10,11839,31135,444,1222,0,168,271,0,257,857,0,22698,6449,1988
13-Oct-2024 06:00:01,20695,0,3,3086,11859,19283,0,12,11859,31157,443,1233,0,168,286,0,256,850,0,22700,6465,1992
14-Oct-2024 06:00:01,20690,0,3,3090,11881,19283,0,12,11881,31179,447,1242,0,168,296,0,259,848,0,22701,6482,1996
15-Oct-2024 06:00:01,20689,0,3,3092,11881,19283,0,12,11881,31179,447,1242,0,168,296,0,259,848,0,22701,6482,1996
16-Oct-2024 06:00:01,20652,0,3,3281,12916,21152,0,12,12916,34083,477,1266,0,184,305,0,271,857,0,24399,7313,2371
17-Oct-2024 06:00:01,20301,0,15,3417,9638,22488,4161,12,13799,36314,497,1289,0,204,331,0,271,851,0,25836,7854,2624
18-Oct-2024 06:00:01,19528,0,29,3482,9640,23993,5154,12,14794,38828,519,1304,0,222,360,0,273,838,0,27325,8562,2941
19-Oct-2024 06:00:02,18896,0,48,3623,8767,26190,7024,12,15791,42041,530,1315,0,234,389,0,272,819,0,29158,9489,3394
20-Oct-2024 06:00:02,18795,0,48,3642,8874,26190,7024,21,15898,42157,531,1347,0,243,450,0,265,777,0,29176,9558,3423
21-Oct-2024 06:00:01,18809,0,48,3649,8874,26190,7024,21,15898,42157,540,1353,0,243,450,0,271,782,0,29176,9558,3423
22-Oct-2024 06:00:01,17612,0,79,3822,10179,31293,7297,20,17476,48868,572,1372,0,288,530,0,258,718,0,33375,11373,4120
23-Oct-2024 06:00:01,17345,0,110,3985,6297,36587,11830,20,18127,54844,619,1389,0,331,591,0,259,671,0,37363,12874,4607
24-Oct-2024 05:00:02,16548,0,135,4073,4472,40497,14681,20,19153,59805,645,1400,0,359,637,0,258,635,0,40451,14221,5133
25-Oct-2024 05:00:01,15957,0,173,4229,2384,45498,17613,20,19997,65688,699,1418,0,409,661,0,261,627,0,44058,15840,5790
26-Oct-2024 05:00:01,15399,0,237,4476,3226,50847,17613,20,20839,71943,744,1441,0,447,717,0,268,591,0,47730,17668,6545
27-Oct-2024 05:00:01,14533,0,293,4582,4012,56963,17613,20,21625,78901,790,1459,0,501,773,0,260,550,0,51606,19891,7404
28-Oct-2024 05:00:01,14535,0,293,4582,4013,56963,17613,20,21626,78902,790,1461,0,501,773,0,260,552,0,51606,19891,7405
29-Oct-2024 05:00:01,13164,0,360,4689,5297,61645,17613,20,22910,84935,828,1477,0,552,805,0,246,535,0,54760,21947,8228
30-Oct-2024 05:00:02,12493,0,443,4830,4344,67458,19149,20,23493,91414,861,1494,0,603,875,0,226,481,0,58122,24292,9000
31-Oct-2024 05:00:01,11577,0,537,4927,2348,72000,21985,20,24333,96890,893,1506,0,641,893,0,220,472,0,60843,26289,9758
01-Nov-2024 05:00:02,10391,0,640,5053,2185,77583,23240,76,25425,103724,941,1555,0,709,1011,0,199,393,0,63879,29030,10815
02-Nov-2024 05:00:02,9237,0,804,5209,3237,84242,23241,84,26478,111608,989,1571,0,768,1061,0,186,358,0,67268,32160,12180
03-Nov-2024 05:00:02,8194,0,1071,5370,4159,91589,23241,90,27400,120150,1056,1587,0,850,1092,0,167,343,0,70457,35760,13933
04-Nov-2024 05:00:02,8192,0,1071,5373,4159,91589,23241,90,27400,120150,1055,1589,0,849,1094,0,166,343,0,70457,35760,13933
05-Nov-2024 05:00:02,6720,0,1073,5378,5177,91589,23681,101,28858,121621,1059,1591,0,873,1134,0,147,306,0,70736,36469,14416
06-Nov-2024 05:00:02,5349,0,1073,5378,4155,91589,26081,100,30236,122998,1064,1592,0,905,1175,0,120,266,0,70998,37109,14891
07-Nov-2024 05:00:01,4302,0,1073,5383,4815,91589,26453,115,31268,124045,1066,1595,0,920,1193,0,107,250,0,71206,37632,15207
08-Nov-2024 05:00:01,3953,0,1073,5389,2823,91589,28772,116,31595,124373,1068,1594,0,935,1212,0,92,232,0,71237,37773,15363
09-Nov-2024 05:00:01,3854,0,1073,5389,2610,91589,29051,116,31661,124439,1067,1594,0,940,1225,0,87,219,0,71238,37807,15394
10-Nov-2024 05:00:01,3854,0,1073,5389,2610,91589,29051,116,31661,124439,1067,1594,0,940,1225,0,87,219,0,71238,37807,15394
11-Nov-2024 05:00:01,3854,0,1073,5389,2610,91589,29051,116,31661,124439,1067,1594,0,940,1225,0,87,219,0,71238,37807,15394
