FILEDATE,ISSUED,NOT_ISSUED,PROVISIONAL,DELETED,MARKED,ON_MACHINE,PRE_PROCESSED,FWAB,MAIL_IN,COUNTABLE,MILITARY,OVERSEAS,TEMPORARY,MILITARY_COUNTABLE,OVERSEAS_COUNTABLE,TEMPORARY_COUNTABLE,MILITARY_ISSUED,OVERSEAS_ISSUED,TEMPORARY_ISSUED,COUNTABLE_HIGH_PROP_NG,COUNTABLE_MED_PROP_NG,COUNTABLE_ZERO_PROP_NG
string,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number
29-Aug-2024 11:29:28,0,1690,0,59,0,0,0,0,0,0,21,19,0,0,0,0,0,0,0,0,0,0
30-Aug-2024 06:00:01,0,1692,0,59,0,0,0,0,0,0,21,19,0,0,0,0,0,0,0,0,0,0
31-Aug-2024 06:00:01,0,1697,0,61,0,0,0,0,0,0,21,19,0,0,0,0,0,0,0,0,0,0
01-Sep-2024 06:00:01,0,1697,0,61,0,0,0,0,0,0,21,19,0,0,0,0,0,0,0,0,0,0
02-Sep-2024 06:00:01,0,1697,0,61,0,0,0,0,0,0,21,19,0,0,0,0,0,0,0,0,0,0
03-Sep-2024 06:00:02,0,1697,0,61,0,0,0,0,0,0,21,19,0,0,0,0,0,0,0,0,0,0
04-Sep-2024 06:00:02,0,1712,0,64,0,0,0,0,0,0,21,20,0,0,0,0,0,0,0,0,0,0
05-Sep-2024 06:00:01,0,1719,0,64,0,0,0,0,0,0,22,20,0,0,0,0,0,0,0,0,0,0
06-Sep-2024 06:00:02,0,1724,0,69,0,0,0,0,0,0,22,20,0,0,0,0,0,0,0,0,0,0
07-Sep-2024 06:00:01,0,1727,0,70,0,0,0,0,0,0,22,21,0,0,0,0,0,0,0,0,0,0
08-Sep-2024 06:00:02,0,1727,0,70,0,0,0,0,0,0,22,21,0,0,0,0,0,0,0,0,0,0
09-Sep-2024 06:00:01,0,1727,0,70,0,0,0,0,0,0,22,21,0,0,0,0,0,0,0,0,0,0
10-Sep-2024 06:00:02,0,1738,0,70,0,0,0,0,0,0,22,22,0,0,0,0,0,0,0,0,0,0
11-Sep-2024 06:00:01,0,1746,0,71,0,0,0,0,0,0,22,22,0,0,0,0,0,0,0,0,0,0
12-Sep-2024 06:00:01,1705,59,0,76,0,0,0,0,0,0,23,23,0,0,0,0,16,2,0,0,0,0
13-Sep-2024 06:00:01,1726,60,0,76,0,0,0,0,0,0,23,24,0,0,0,0,16,2,0,0,0,0
14-Sep-2024 06:00:01,1748,60,0,78,0,0,0,0,0,0,24,23,0,0,0,0,17,2,0,0,0,0
15-Sep-2024 06:00:01,1750,61,0,79,0,0,0,0,0,0,24,23,0,0,0,0,17,2,0,0,0,0
16-Sep-2024 06:00:01,1750,61,0,79,0,0,0,0,0,0,24,23,0,0,0,0,17,2,0,0,0,0
17-Sep-2024 06:00:01,1750,61,0,79,0,0,0,0,0,0,24,23,0,0,0,0,17,2,0,0,0,0
18-Sep-2024 06:00:01,1761,64,0,79,0,0,0,0,0,0,25,23,0,0,0,0,18,2,0,0,0,0
19-Sep-2024 06:00:01,1847,0,0,83,0,0,0,0,0,0,25,22,0,0,0,0,22,21,0,0,0,0
20-Sep-2024 06:00:01,1855,0,0,83,0,0,0,0,0,0,25,22,0,0,0,0,22,21,0,0,0,0
21-Sep-2024 06:00:01,1844,0,0,94,0,415,0,0,0,415,31,22,0,6,0,0,22,21,0,338,65,12
22-Sep-2024 06:00:01,1865,0,0,95,0,415,0,0,0,415,31,23,0,6,0,0,22,21,0,338,65,12
23-Sep-2024 06:00:01,1865,0,0,95,0,415,0,0,0,415,31,23,0,6,0,0,22,21,0,338,65,12
24-Sep-2024 06:00:02,1861,0,0,108,0,590,0,0,0,590,33,23,0,6,0,0,24,21,0,492,83,15
25-Sep-2024 06:00:01,1856,0,0,120,13,725,0,0,13,738,33,26,0,6,0,0,24,23,0,624,95,19
26-Sep-2024 06:00:02,1819,0,0,127,35,875,0,0,35,910,33,26,0,6,0,0,24,23,0,763,123,24
27-Sep-2024 06:00:01,1748,0,0,138,105,1014,0,0,105,1119,36,30,0,10,0,0,23,25,0,921,172,26
28-Sep-2024 07:31:19,1699,0,0,146,156,1139,0,0,156,1295,36,31,0,11,0,0,22,26,0,1049,212,34
29-Sep-2024 06:00:01,1699,0,0,146,156,1139,0,0,156,1295,36,31,0,11,0,0,22,26,0,1049,212,34
30-Sep-2024 06:00:01,1699,0,0,146,156,1139,0,0,156,1295,36,31,0,11,0,0,22,26,0,1049,212,34
01-Oct-2024 06:00:02,1500,0,0,151,368,1266,0,0,368,1634,39,31,0,14,1,0,22,25,0,1303,289,42
02-Oct-2024 06:00:01,1496,0,0,157,383,1370,0,0,383,1753,40,32,0,14,1,0,23,26,0,1402,303,48
03-Oct-2024 06:00:02,1437,0,0,160,441,1480,0,0,441,1921,40,33,0,15,1,0,22,27,0,1528,337,56
04-Oct-2024 06:00:01,1413,0,0,168,487,1660,0,1,487,2148,44,37,0,17,2,0,24,28,0,1692,385,71
05-Oct-2024 06:00:02,1351,0,0,176,559,1864,0,1,559,2424,44,38,0,17,3,0,24,28,0,1893,443,88
06-Oct-2024 06:00:01,1351,0,0,176,559,1864,0,1,559,2424,44,38,0,17,3,0,24,28,0,1893,443,88
07-Oct-2024 06:00:01,1369,0,0,177,560,1864,0,3,560,2427,45,39,0,17,3,0,25,29,0,1893,444,90
08-Oct-2024 06:00:01,1277,0,0,184,660,2002,0,3,660,2665,47,39,0,19,4,0,25,28,0,2056,506,103
09-Oct-2024 06:00:02,1282,0,0,187,3,2103,658,3,661,2767,47,39,0,19,3,0,25,28,0,2127,532,108
10-Oct-2024 06:00:01,1214,0,0,191,93,2227,658,3,751,2981,49,39,0,19,4,0,27,27,0,2277,587,117
11-Oct-2024 06:00:01,1185,0,0,197,135,2337,658,3,793,3133,49,39,0,21,5,0,25,27,0,2382,622,129
12-Oct-2024 06:00:02,1167,0,0,200,163,2510,658,3,821,3334,50,42,0,22,6,0,25,29,0,2524,666,144
13-Oct-2024 06:00:01,1167,0,0,200,163,2510,658,3,821,3334,50,42,0,22,6,0,25,29,0,2524,666,144
14-Oct-2024 06:00:01,1140,0,0,211,202,2641,658,3,860,3504,50,42,0,22,6,0,25,29,0,2633,709,162
15-Oct-2024 06:00:01,1141,0,0,211,202,2641,658,3,860,3504,50,43,0,22,6,0,25,30,0,2633,709,162
16-Oct-2024 06:00:01,1109,0,0,220,254,2811,658,3,912,3726,52,42,0,23,7,0,25,28,0,2774,780,172
17-Oct-2024 06:00:01,1102,0,0,230,294,2962,658,3,952,3917,53,42,0,23,7,0,26,28,0,2905,824,188
18-Oct-2024 06:00:01,1045,0,0,241,357,3130,658,3,1015,4148,53,42,0,24,12,0,25,23,0,3045,895,208
19-Oct-2024 06:00:02,1004,0,0,243,406,3327,658,3,1064,4394,55,42,0,26,13,0,25,21,0,3205,958,231
20-Oct-2024 06:00:02,1004,0,0,243,406,3327,658,3,1064,4394,55,42,0,26,13,0,25,21,0,3205,958,231
21-Oct-2024 06:00:01,1004,0,0,243,407,3328,658,3,1065,4396,55,42,0,26,14,0,25,21,0,3205,959,232
22-Oct-2024 06:00:01,883,0,0,253,536,3533,658,3,1194,4730,57,42,0,28,17,0,25,17,0,3395,1065,270
23-Oct-2024 06:00:01,859,0,10,264,569,3726,659,3,1228,4967,62,42,0,37,18,0,21,17,0,3536,1126,305
24-Oct-2024 05:00:02,830,0,15,267,614,3946,658,3,1272,5236,64,42,0,40,19,0,20,16,0,3701,1195,340
25-Oct-2024 05:00:01,810,0,18,271,115,4147,1202,3,1317,5485,65,42,0,41,20,0,20,15,0,3841,1280,364
