FILEDATE,ISSUED,NOT_ISSUED,PROVISIONAL,DELETED,MARKED,ON_MACHINE,PRE_PROCESSED,FWAB,MAIL_IN,COUNTABLE,MILITARY,OVERSEAS,TEMPORARY,MILITARY_COUNTABLE,OVERSEAS_COUNTABLE,TEMPORARY_COUNTABLE,MILITARY_ISSUED,OVERSEAS_ISSUED,TEMPORARY_ISSUED,COUNTABLE_HIGH_PROP_NG,COUNTABLE_MED_PROP_NG,COUNTABLE_ZERO_PROP_NG
string,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number
29-Aug-2024 11:29:28,0,87,0,6,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0
30-Aug-2024 06:00:01,0,87,0,6,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0
31-Aug-2024 06:00:01,0,87,0,6,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0
01-Sep-2024 06:00:01,0,87,0,6,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0
02-Sep-2024 06:00:01,0,87,0,6,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0
03-Sep-2024 06:00:02,0,87,0,6,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0
04-Sep-2024 06:00:02,0,90,0,6,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0
05-Sep-2024 06:00:01,0,92,0,8,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0
06-Sep-2024 06:00:02,0,92,0,8,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0
07-Sep-2024 06:00:01,0,93,0,8,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0
08-Sep-2024 06:00:02,0,93,0,8,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0
09-Sep-2024 06:00:01,0,93,0,8,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0
10-Sep-2024 06:00:02,0,97,0,11,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0
11-Sep-2024 06:00:01,0,97,0,11,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0
12-Sep-2024 06:00:01,0,102,0,11,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0
13-Sep-2024 06:00:01,609,8,0,11,0,0,0,0,0,0,4,7,0,0,0,0,2,2,0,0,0,0
14-Sep-2024 06:00:01,608,8,0,13,0,0,0,0,0,0,4,7,0,0,0,0,2,2,0,0,0,0
15-Sep-2024 06:00:01,608,8,0,13,0,0,0,0,0,0,4,7,0,0,0,0,2,2,0,0,0,0
16-Sep-2024 06:00:01,608,8,0,13,0,0,0,0,0,0,4,7,0,0,0,0,2,2,0,0,0,0
17-Sep-2024 06:00:01,626,0,0,15,0,0,0,0,0,0,4,7,0,0,0,0,4,7,0,0,0,0
18-Sep-2024 06:00:01,633,0,0,22,0,0,0,0,0,0,5,11,0,0,0,0,5,9,0,0,0,0
19-Sep-2024 06:00:01,643,0,0,24,0,0,0,0,0,0,5,11,0,0,0,0,5,9,0,0,0,0
20-Sep-2024 06:00:01,641,0,0,26,0,0,0,0,0,0,5,11,0,0,0,0,5,8,0,0,0,0
21-Sep-2024 06:00:01,644,0,0,34,0,113,0,0,0,113,5,13,0,0,0,0,5,8,0,75,28,10
22-Sep-2024 06:00:01,644,0,0,34,0,113,0,0,0,113,5,13,0,0,0,0,5,8,0,75,28,10
23-Sep-2024 06:00:01,644,0,0,34,0,113,0,0,0,113,5,13,0,0,0,0,5,8,0,75,28,10
24-Sep-2024 06:00:02,643,0,0,38,0,200,0,0,0,200,7,15,0,2,0,0,5,9,0,144,43,13
25-Sep-2024 06:00:01,632,0,0,42,11,263,0,0,11,274,8,17,0,3,0,0,5,10,0,196,58,20
26-Sep-2024 06:00:02,590,0,0,42,53,312,0,0,53,365,9,19,0,4,1,0,5,11,0,257,86,22
27-Sep-2024 06:00:01,543,0,0,45,97,365,0,0,97,462,9,19,0,5,1,0,4,11,0,318,116,28
28-Sep-2024 07:31:19,519,0,0,47,124,424,0,0,124,548,10,19,0,6,1,0,4,11,0,378,135,35
29-Sep-2024 06:00:01,519,0,0,47,124,424,0,0,124,548,10,19,0,6,1,0,4,11,0,378,135,35
30-Sep-2024 06:00:01,519,0,0,47,124,424,0,0,124,548,10,19,0,6,1,0,4,11,0,378,135,35
01-Oct-2024 06:00:02,502,0,0,49,146,490,0,0,146,636,10,19,0,6,1,0,4,11,0,426,167,43
02-Oct-2024 06:00:01,479,0,0,49,173,530,0,0,173,703,10,20,0,6,1,0,4,12,0,459,192,52
03-Oct-2024 06:00:02,452,0,0,54,199,573,0,0,199,772,10,20,0,6,1,0,4,12,0,498,217,57
04-Oct-2024 06:00:01,452,0,0,56,204,627,0,0,204,831,11,20,0,7,1,0,4,12,0,533,228,70
05-Oct-2024 06:00:02,448,0,0,61,214,677,0,0,214,891,13,23,0,9,3,0,4,12,0,559,252,80
06-Oct-2024 06:00:01,448,0,0,61,214,677,0,0,214,891,13,23,0,9,3,0,4,12,0,559,252,80
07-Oct-2024 06:00:01,448,0,0,61,214,677,0,0,214,891,13,23,0,9,3,0,4,12,0,559,252,80
08-Oct-2024 06:00:01,435,0,0,62,244,724,0,0,244,968,13,24,0,9,5,0,4,11,0,605,273,90
09-Oct-2024 06:00:02,431,0,0,63,250,763,0,0,250,1013,13,24,0,9,7,0,4,9,0,630,292,91
10-Oct-2024 06:00:01,417,0,0,63,275,790,0,0,275,1065,13,24,0,9,7,0,4,9,0,660,311,94
11-Oct-2024 06:00:01,393,0,0,65,302,819,0,0,302,1121,13,24,0,9,7,0,4,9,0,693,329,99
12-Oct-2024 06:00:02,386,0,0,69,312,886,0,0,312,1198,14,24,0,9,7,0,5,9,0,727,358,113
13-Oct-2024 06:00:01,386,0,0,69,312,886,0,0,312,1198,14,24,0,9,7,0,5,9,0,727,358,113
14-Oct-2024 06:00:01,386,0,0,69,312,886,0,0,312,1198,14,24,0,9,7,0,5,9,0,727,358,113
15-Oct-2024 06:00:01,386,0,0,69,312,886,0,0,312,1198,14,24,0,9,7,0,5,9,0,727,358,113
16-Oct-2024 06:00:01,372,0,0,73,335,948,0,0,335,1283,15,26,0,9,7,0,6,11,0,768,391,124
17-Oct-2024 06:00:01,375,0,0,74,341,1004,0,0,341,1345,15,27,0,10,7,0,5,12,0,810,403,132
18-Oct-2024 06:00:01,356,0,2,76,370,1062,0,0,370,1434,18,28,0,11,7,0,6,13,0,847,437,150
19-Oct-2024 06:00:02,344,0,6,81,383,1151,0,0,383,1540,18,28,0,11,8,0,6,12,0,906,466,168
20-Oct-2024 06:00:02,344,0,6,81,383,1151,0,0,383,1540,18,28,0,11,8,0,6,12,0,906,466,168
21-Oct-2024 06:00:01,344,0,6,81,383,1151,0,0,383,1540,18,28,0,11,8,0,6,12,0,906,466,168
22-Oct-2024 06:00:01,336,0,7,83,396,1219,0,0,396,1622,20,28,0,13,8,0,6,12,0,950,490,182
23-Oct-2024 06:00:01,325,0,8,83,412,1306,0,0,412,1726,24,29,0,18,8,0,5,13,0,1002,522,202
24-Oct-2024 05:00:02,317,0,10,84,428,1384,0,0,428,1822,26,29,0,18,8,0,7,13,0,1050,553,219
25-Oct-2024 05:00:01,309,0,12,87,441,1466,0,0,441,1919,26,29,0,18,9,0,7,12,0,1099,584,236
26-Oct-2024 05:00:01,306,0,17,92,447,1594,0,0,447,2058,26,29,0,18,11,0,7,10,0,1163,643,252
27-Oct-2024 05:00:01,285,0,21,97,464,1779,0,0,464,2264,27,30,0,19,12,0,7,10,0,1252,722,290
28-Oct-2024 05:00:01,285,0,21,97,464,1779,0,0,464,2264,27,30,0,19,12,0,7,10,0,1252,722,290
29-Oct-2024 05:00:01,266,0,26,97,483,1896,0,0,483,2405,29,30,0,21,12,0,7,10,0,1308,788,309
30-Oct-2024 05:00:02,248,0,33,99,290,2013,210,0,500,2546,29,30,0,22,12,0,6,10,0,1361,858,327
31-Oct-2024 05:00:01,220,0,40,104,206,2130,319,0,525,2695,30,30,0,23,14,0,6,8,0,1413,928,354
