FILEDATE,ISSUED,NOT_ISSUED,PROVISIONAL,DELETED,MARKED,ON_MACHINE,PRE_PROCESSED,FWAB,MAIL_IN,COUNTABLE,MILITARY,OVERSEAS,TEMPORARY,MILITARY_COUNTABLE,OVERSEAS_COUNTABLE,TEMPORARY_COUNTABLE,MILITARY_ISSUED,OVERSEAS_ISSUED,TEMPORARY_ISSUED,COUNTABLE_HIGH_PROP_NG,COUNTABLE_MED_PROP_NG,COUNTABLE_ZERO_PROP_NG
string,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number
29-Aug-2024 11:29:28,0,24001,0,1161,0,0,0,0,0,0,406,558,0,0,0,0,0,0,0,0,0,0
30-Aug-2024 06:00:01,0,24107,0,1182,0,0,0,0,0,0,410,565,0,0,0,0,0,0,0,0,0,0
31-Aug-2024 06:00:01,0,24174,0,1203,0,0,0,0,0,0,412,570,0,0,0,0,0,0,0,0,0,0
01-Sep-2024 06:00:01,0,24174,0,1203,0,0,0,0,0,0,412,570,0,0,0,0,0,0,0,0,0,0
02-Sep-2024 06:00:01,0,24174,0,1203,0,0,0,0,0,0,412,570,0,0,0,0,0,0,0,0,0,0
03-Sep-2024 06:00:02,0,24174,0,1203,0,0,0,0,0,0,412,570,0,0,0,0,0,0,0,0,0,0
04-Sep-2024 06:00:02,0,24400,0,1239,0,0,0,0,0,0,424,590,0,0,0,0,0,0,0,0,0,0
05-Sep-2024 06:00:01,0,25186,0,1262,0,0,0,0,0,0,452,642,0,0,0,0,0,0,0,0,0,0
06-Sep-2024 06:00:02,0,25266,0,1276,0,0,0,0,0,0,453,658,0,0,0,0,0,0,0,0,0,0
07-Sep-2024 06:00:01,799,24551,0,1286,0,0,0,0,0,0,457,664,0,0,0,0,167,517,0,0,0,0
08-Sep-2024 06:00:02,799,24555,0,1286,0,0,0,0,0,0,457,664,0,0,0,0,167,517,0,0,0,0
09-Sep-2024 06:00:01,799,24681,0,1289,0,0,0,0,0,0,459,664,0,0,0,0,167,517,0,0,0,0
10-Sep-2024 06:00:02,803,24769,0,1306,0,0,0,0,0,0,464,668,0,0,0,0,167,520,0,0,0,0
11-Sep-2024 06:00:01,820,24847,0,1326,0,0,0,0,0,0,472,680,0,0,0,0,171,530,0,0,0,0
12-Sep-2024 06:00:01,836,25016,0,1344,0,0,0,0,0,0,474,691,0,0,0,0,173,541,0,0,0,0
13-Sep-2024 06:00:01,845,25334,0,1353,0,0,0,0,0,0,483,694,0,0,0,0,177,543,0,0,0,0
14-Sep-2024 06:00:01,855,25520,0,1368,0,0,0,0,0,0,488,702,0,0,0,0,179,551,0,0,0,0
15-Sep-2024 06:00:01,855,25516,0,1373,0,0,0,0,0,0,489,702,0,0,0,0,179,551,0,0,0,0
16-Sep-2024 06:00:01,855,25567,0,1373,0,0,0,0,0,0,490,703,0,0,0,0,179,551,0,0,0,0
17-Sep-2024 06:00:01,26681,31,0,1410,0,0,0,0,0,0,496,712,0,0,0,0,453,644,0,0,0,0
18-Sep-2024 06:00:01,26974,31,0,1434,0,0,0,0,0,0,516,739,0,0,0,0,471,671,0,0,0,0
19-Sep-2024 06:00:01,27288,31,0,1460,0,0,0,0,0,0,527,752,0,0,0,0,482,682,0,0,0,0
20-Sep-2024 06:00:01,27514,25,0,1484,0,0,0,0,0,0,531,773,0,0,0,0,486,708,0,0,0,0
21-Sep-2024 06:00:01,27758,25,0,1534,0,1224,0,0,0,1224,560,791,0,17,5,0,498,719,0,1017,164,43
22-Sep-2024 06:00:01,27757,25,0,1535,0,1224,0,0,0,1224,560,791,0,17,5,0,498,719,0,1017,164,43
23-Sep-2024 06:00:01,27837,25,0,1535,0,1224,0,0,0,1224,561,791,0,17,5,0,499,719,0,1017,164,43
24-Sep-2024 06:00:02,28401,0,0,1574,0,2048,0,0,0,2048,580,810,0,27,7,0,508,735,0,1684,292,72
25-Sep-2024 06:00:01,28671,0,0,1620,90,2632,0,1,90,2723,597,826,0,35,10,0,515,748,0,2239,390,94
26-Sep-2024 06:00:02,28991,0,0,1628,148,2632,0,1,148,2781,605,850,0,36,10,0,522,772,0,2280,406,95
27-Sep-2024 06:00:01,27128,0,0,1692,2115,3746,0,1,2115,5862,629,864,0,54,11,0,526,784,0,4631,1006,225
28-Sep-2024 07:31:19,25836,0,0,1739,3369,4271,0,1,3369,7641,653,883,0,78,17,0,515,793,0,5921,1392,328
29-Sep-2024 06:00:01,25836,0,0,1739,3369,4271,0,1,3369,7641,653,885,0,78,17,0,515,795,0,5921,1392,328
30-Sep-2024 06:00:01,25836,0,0,1739,3369,4271,0,1,3369,7641,653,885,0,78,17,0,515,795,0,5921,1392,328
01-Oct-2024 06:00:02,25296,0,0,1770,4301,4678,0,1,4301,8980,662,898,0,100,21,0,500,801,0,6883,1709,388
02-Oct-2024 06:00:01,23667,0,0,1801,6106,5027,0,1,6106,11134,695,914,0,137,39,0,495,796,0,8303,2344,487
03-Oct-2024 06:00:02,24115,0,0,1823,6164,5027,0,1,6164,11192,701,931,0,138,42,0,501,809,0,8341,2360,491
04-Oct-2024 06:00:01,23093,0,0,1859,7338,6013,0,1,7338,13352,724,946,0,158,60,0,504,804,0,9862,2859,631
05-Oct-2024 06:00:02,22554,0,0,1874,8038,6618,0,1,8038,14657,743,956,0,179,77,0,501,796,0,10728,3195,734
06-Oct-2024 06:00:01,22554,0,0,1874,8038,6618,0,1,8038,14657,743,956,0,179,77,0,501,796,0,10728,3195,734
07-Oct-2024 06:00:01,22613,0,0,1877,8038,6618,0,1,8038,14657,744,956,0,179,77,0,502,796,0,10728,3195,734
08-Oct-2024 06:00:01,22328,0,0,1920,8824,7105,0,1,8824,15930,778,982,0,205,98,0,510,799,0,11544,3524,862
09-Oct-2024 06:00:02,20863,0,0,1954,10527,7483,0,1,10527,18011,795,995,0,238,130,0,493,780,0,12770,4177,1064
10-Oct-2024 06:00:01,21374,1,0,2007,10621,7988,0,1,10621,18610,827,1010,0,247,148,0,515,775,0,13180,4313,1117
11-Oct-2024 06:00:01,20793,0,0,2043,11546,8388,0,3,11546,19937,855,1035,0,273,168,0,514,778,0,13962,4707,1268
12-Oct-2024 06:00:02,20548,0,0,2098,12003,9045,0,4,12003,21052,873,1049,0,297,192,0,506,767,0,14610,5047,1395
13-Oct-2024 06:00:01,20641,0,0,2104,12003,9045,0,4,12003,21052,874,1050,0,297,192,0,507,768,0,14610,5047,1395
14-Oct-2024 06:00:01,20806,0,0,2276,12005,13723,0,4,12005,25732,957,1060,0,377,201,0,508,766,0,17794,6097,1841
15-Oct-2024 06:00:01,20019,0,0,2387,12876,17799,0,5,12876,30680,1004,1086,0,421,236,0,510,756,0,21389,7105,2186
16-Oct-2024 06:00:01,20085,0,0,2521,8588,22300,4494,4,13082,35386,1071,1103,0,474,245,0,522,763,0,25031,7898,2457
17-Oct-2024 06:00:01,18674,0,0,2679,5290,27152,9291,4,14581,41737,1159,1114,0,575,316,0,503,702,0,29378,9399,2960
18-Oct-2024 06:00:01,19014,0,32,2775,2036,30330,12825,4,14861,45227,1219,1125,0,629,325,0,508,702,0,31844,10140,3243
19-Oct-2024 06:00:02,17940,0,52,2903,3182,34327,12825,4,16007,50390,1283,1133,0,705,357,0,495,677,0,35221,11458,3711
20-Oct-2024 06:00:02,17880,0,88,3027,3187,38057,12825,4,16012,54161,1337,1136,0,759,360,0,495,677,0,37629,12418,4114
21-Oct-2024 06:00:01,17920,0,131,3101,3198,40452,12825,4,16023,56610,1382,1140,0,802,364,0,497,676,0,39070,13140,4400
22-Oct-2024 06:00:01,16398,0,164,3195,1866,43647,15927,4,17793,61608,1452,1149,0,867,414,0,501,633,0,42001,14663,4944
23-Oct-2024 06:00:01,15676,0,206,3280,2954,46643,15927,4,18881,65734,1519,1158,0,936,447,0,498,607,0,44425,15904,5405
24-Oct-2024 05:00:02,15505,1,256,3406,3276,50938,15927,4,19203,70401,1618,1172,0,1042,487,0,489,577,0,47272,17271,5858
25-Oct-2024 05:00:01,15032,1,328,3516,4000,54010,15927,4,19927,74269,1695,1187,0,1110,523,0,496,556,0,49423,18481,6365
26-Oct-2024 05:00:01,14357,1,386,3727,1174,58331,19644,4,20818,79539,1794,1206,0,1206,580,0,494,515,0,52155,20320,7064
27-Oct-2024 05:00:01,14267,1,463,3856,1194,63131,19644,4,20838,84436,1890,1208,0,1301,582,0,491,515,0,54720,21962,7754
28-Oct-2024 05:00:01,14267,1,463,3856,1194,63131,19644,4,20838,84436,1890,1208,0,1301,582,0,491,515,0,54720,21962,7754
29-Oct-2024 05:00:01,12884,1,546,3980,2463,67558,19644,4,22107,90215,1978,1215,0,1434,641,0,441,463,0,57578,24058,8579
30-Oct-2024 05:00:02,11784,1,652,4104,1042,71637,22046,4,23088,95381,2082,1218,0,1568,682,0,408,424,0,59911,26034,9436
