FILEDATE,ISSUED,NOT_ISSUED,PROVISIONAL,DELETED,MARKED,ON_MACHINE,PRE_PROCESSED,FWAB,MAIL_IN,COUNTABLE,MILITARY,OVERSEAS,TEMPORARY,MILITARY_COUNTABLE,OVERSEAS_COUNTABLE,TEMPORARY_COUNTABLE,MILITARY_ISSUED,OVERSEAS_ISSUED,TEMPORARY_ISSUED,COUNTABLE_HIGH_PROP_NG,COUNTABLE_MED_PROP_NG,COUNTABLE_ZERO_PROP_NG
string,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number
17-Sep-2025 22:01:55,1201,0,0,9,0,0,0,0,0,0,28,251,0,0,0,0,27,250,0,0,0,0
18-Sep-2025 05:00:02,1201,0,0,11,0,0,0,0,0,0,28,251,0,0,0,0,27,250,0,0,0,0
19-Sep-2025 05:00:02,1202,0,0,12,0,0,0,0,0,0,28,252,0,0,0,0,27,250,0,0,0,0
20-Sep-2025 05:00:01,1193,0,0,19,9,96,0,0,9,105,29,253,0,1,2,0,26,248,0,79,26,0
21-Sep-2025 05:00:03,1193,0,0,19,9,96,0,0,9,105,29,253,0,1,2,0,26,248,0,79,26,0
22-Sep-2025 05:00:02,1193,0,0,19,9,96,0,0,9,105,29,253,0,1,2,0,26,248,0,79,26,0
23-Sep-2025 05:00:01,1192,0,0,29,16,175,0,0,16,191,30,253,0,1,4,0,26,244,0,149,39,3
24-Sep-2025 05:00:01,1173,0,0,29,36,175,0,0,36,211,30,253,0,1,4,0,26,244,0,167,41,3
25-Sep-2025 05:00:02,1163,0,0,30,47,258,0,0,47,305,31,255,0,2,6,0,26,243,0,240,57,8
26-Sep-2025 05:00:02,1129,0,0,34,94,314,0,0,94,408,31,258,0,2,8,0,26,243,0,312,87,9
29-Sep-2025 17:00:02,1111,0,0,35,130,370,0,0,130,500,33,260,0,4,10,0,26,242,0,382,105,13
29-Sep-2025 17:35:10,1111,0,0,35,130,370,0,0,130,500,33,260,0,4,10,0,26,242,0,382,105,13
30-Sep-2025 05:00:02,1111,0,0,35,130,370,0,0,130,500,33,260,0,4,10,0,26,242,0,382,105,13
01-Oct-2025 05:00:02,1103,0,0,40,140,471,0,0,140,611,33,263,0,4,12,0,26,242,0,464,129,18
02-Oct-2025 05:00:01,1090,0,0,40,154,471,0,0,154,625,33,263,0,5,13,0,25,241,0,471,135,19
03-Oct-2025 05:00:02,1077,0,0,45,174,575,0,0,174,749,35,268,0,7,15,0,25,243,0,553,172,24
04-Oct-2025 05:00:02,1040,0,0,47,220,575,0,0,220,795,35,270,0,7,17,0,25,242,0,582,189,24
05-Oct-2025 05:00:01,1040,0,0,47,220,575,0,0,220,795,35,270,0,7,17,0,25,242,0,582,189,24
06-Oct-2025 05:00:01,1050,0,0,47,220,575,0,0,220,795,35,272,0,7,17,0,25,244,0,582,189,24
