FILEDATE,ISSUED,NOT_ISSUED,PROVISIONAL,DELETED,MARKED,ON_MACHINE,PRE_PROCESSED,FWAB,MAIL_IN,COUNTABLE,MILITARY,OVERSEAS,TEMPORARY,MILITARY_COUNTABLE,OVERSEAS_COUNTABLE,TEMPORARY_COUNTABLE,MILITARY_ISSUED,OVERSEAS_ISSUED,TEMPORARY_ISSUED,COUNTABLE_HIGH_PROP_NG,COUNTABLE_MED_PROP_NG,COUNTABLE_ZERO_PROP_NG
string,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number
17-Sep-2025 22:01:55,23924,1,0,253,0,0,0,0,0,0,347,977,0,0,0,0,343,968,0,0,0,0
18-Sep-2025 05:00:02,23965,1,0,271,0,0,0,0,0,0,347,975,0,0,0,0,343,964,0,0,0,0
19-Sep-2025 05:00:02,24023,1,0,296,0,0,0,0,0,0,347,975,0,0,0,0,342,965,0,0,0,0
20-Sep-2025 05:00:01,24129,1,0,327,0,1054,0,0,0,1054,356,990,0,7,7,0,344,971,0,921,125,8
21-Sep-2025 05:00:03,24129,1,0,327,0,1054,0,0,0,1054,356,990,0,7,7,0,344,971,0,921,125,8
22-Sep-2025 05:00:02,24128,1,0,328,0,1054,0,0,0,1054,356,990,0,7,7,0,344,971,0,921,125,8
23-Sep-2025 05:00:01,24362,1,0,367,1,1815,0,0,1,1816,361,1000,0,8,10,0,348,976,0,1592,210,14
24-Sep-2025 05:00:01,24443,1,0,405,6,2505,0,0,6,2511,366,1003,0,14,10,0,347,979,0,2198,294,19
25-Sep-2025 05:00:02,24505,1,0,425,66,3047,0,0,66,3113,367,1008,0,15,11,0,347,982,0,2708,378,27
26-Sep-2025 05:00:02,24544,0,0,462,130,3621,0,0,130,3751,372,1011,0,17,17,0,348,978,0,3267,450,34
29-Sep-2025 17:00:02,23215,0,0,509,1675,4348,0,0,1675,6023,376,1019,0,20,27,0,346,970,0,5001,968,54
29-Sep-2025 17:35:10,23217,0,0,510,1675,4348,0,0,1675,6023,376,1019,0,20,27,0,346,969,0,5001,968,54
30-Sep-2025 05:00:02,23207,0,0,531,1675,4867,0,0,1675,6542,380,1019,0,23,30,0,345,970,0,5432,1051,59
01-Oct-2025 05:00:02,22203,0,0,580,2728,5322,0,0,2728,8050,382,1023,0,28,34,0,340,969,0,6586,1387,77
02-Oct-2025 05:00:01,21251,0,0,623,3764,5856,0,0,3764,9620,384,1028,0,31,42,0,338,965,0,7764,1763,93
03-Oct-2025 05:00:02,20089,0,0,650,4698,6566,0,0,4698,11264,393,1035,0,41,54,0,319,955,0,9003,2153,108
04-Oct-2025 05:00:02,19447,0,0,677,5421,7296,0,0,5421,12717,396,1037,0,49,65,0,314,945,0,10094,2488,135
05-Oct-2025 05:00:01,19447,0,0,677,5421,7296,0,0,5421,12717,396,1037,0,49,65,0,314,945,0,10094,2488,135
06-Oct-2025 05:00:01,19447,0,0,677,5421,7296,0,0,5421,12717,396,1037,0,49,65,0,314,945,0,10094,2488,135
07-Oct-2025 05:00:01,18736,0,0,741,6396,7932,0,0,6396,14328,397,1052,0,60,82,0,304,934,0,11260,2905,163
08-Oct-2025 05:00:02,18460,0,0,780,6709,8479,0,0,6709,15188,398,1065,0,62,89,0,301,937,0,11963,3047,178
09-Oct-2025 05:00:02,17799,0,0,810,7451,9054,0,0,7451,16505,406,1068,0,71,93,0,296,936,0,12918,3379,208
10-Oct-2025 05:00:02,17301,0,0,848,8036,9592,0,0,8036,17628,410,1071,0,77,100,0,291,929,0,13724,3678,226
11-Oct-2025 05:00:01,16980,0,0,901,8505,10614,0,0,8505,19119,421,1070,0,92,100,0,284,928,0,14791,4067,261
12-Oct-2025 05:00:02,16980,0,0,901,8505,10614,0,0,8505,19119,421,1070,0,92,100,0,284,928,0,14791,4067,261
13-Oct-2025 05:00:01,16989,0,0,903,8513,10614,0,0,8513,19127,426,1080,0,93,107,0,288,931,0,14794,4072,261
14-Oct-2025 05:00:01,16985,0,0,909,8520,10614,0,0,8520,19134,430,1083,0,93,114,0,291,927,0,14795,4078,261
15-Oct-2025 05:00:02,16235,0,1,985,9731,11581,0,0,9731,21313,432,1089,0,103,130,0,283,912,0,16263,4735,315
16-Oct-2025 05:00:01,16266,0,1,1024,9799,12247,0,0,9799,22047,439,1099,0,107,145,0,285,905,0,16853,4859,335
17-Oct-2025 05:00:02,15979,0,1,1057,10202,12878,0,0,10202,23081,447,1103,0,116,154,0,281,899,0,17601,5130,350
18-Oct-2025 05:00:02,15322,0,1,1104,10967,13978,0,0,10967,24946,454,1109,0,127,166,0,276,892,0,18857,5672,417
19-Oct-2025 05:00:02,15322,0,1,1104,10967,13978,0,0,10967,24946,454,1109,0,127,166,0,276,892,0,18857,5672,417
20-Oct-2025 05:00:01,15322,0,1,1104,10967,13978,0,0,10967,24946,454,1109,0,127,166,0,276,892,0,18857,5672,417
21-Oct-2025 05:00:02,14507,0,1,1164,12122,17079,0,0,12122,29202,470,1130,0,144,206,0,275,871,0,21913,6775,514
22-Oct-2025 05:00:01,14517,0,1,1215,11888,19734,298,0,12186,31921,485,1136,0,159,216,0,273,865,0,23957,7390,574
23-Oct-2025 05:00:03,14070,0,1,1276,10932,21935,1804,0,12736,34672,502,1141,0,175,226,0,272,858,0,25922,8104,646
24-Oct-2025 05:00:02,13679,0,1,1337,10122,24478,3120,0,13242,37721,515,1155,0,192,252,0,266,838,0,28029,8956,736
25-Oct-2025 05:00:01,13410,0,1,1404,9732,27421,3958,0,13690,41112,531,1168,0,212,272,0,259,828,0,30338,9942,832
26-Oct-2025 05:00:01,12982,0,28,1478,9274,31251,4795,0,14069,45348,551,1179,0,232,285,0,259,823,0,33141,11229,978
27-Oct-2025 05:00:01,12982,0,28,1478,9274,31251,4795,0,14069,45348,551,1179,0,232,285,0,259,823,0,33141,11229,978
28-Oct-2025 05:00:02,12115,0,33,1512,10103,33614,4795,0,14898,48545,562,1188,0,247,305,0,255,809,0,35334,12140,1071
29-Oct-2025 05:00:02,11902,0,42,1550,9176,36516,5900,0,15076,51634,580,1195,0,267,317,0,253,802,0,37442,13021,1171
30-Oct-2025 05:00:02,11369,0,52,1580,7537,38865,8036,0,15573,54490,599,1200,0,289,336,0,250,786,0,39328,13895,1267
31-Oct-2025 05:00:02,10688,0,65,1636,4387,42225,11798,0,16185,58475,623,1210,0,316,362,0,245,769,0,41807,15270,1398
01-Nov-2025 05:00:02,10133,0,90,1689,4441,46548,12256,0,16697,63335,645,1221,0,341,392,0,241,747,0,44911,16830,1594
02-Nov-2025 05:00:01,9389,0,136,1805,3010,53518,14338,0,17348,71002,701,1235,0,402,410,0,234,739,0,49385,19715,1902
03-Nov-2025 05:00:02,9389,0,136,1805,3010,53518,14338,0,17348,71002,701,1235,0,402,410,0,234,739,0,49385,19715,1902
04-Nov-2025 05:00:01,8452,0,136,1807,3967,53518,14337,0,18304,71958,701,1235,0,410,424,0,226,726,0,49809,20181,1968
05-Nov-2025 05:00:02,8159,0,136,1807,894,53518,17696,0,18590,72244,701,1235,0,412,427,0,224,722,0,49917,20344,1983
06-Nov-2025 05:00:02,7133,0,136,1807,1919,53518,17696,0,19615,73269,701,1234,0,416,442,0,220,706,0,50327,20899,2043
07-Nov-2025 05:00:02,6367,0,136,1807,450,53518,19798,0,20248,73902,700,1234,0,417,454,0,218,694,0,50553,21264,2085
08-Nov-2025 05:00:01,6038,0,136,1807,281,53518,20094,0,20375,74029,700,1234,0,420,467,0,212,680,0,50584,21346,2099
09-Nov-2025 05:00:02,6038,0,136,1807,281,53518,20094,0,20375,74029,700,1234,0,420,467,0,212,680,0,50584,21346,2099
10-Nov-2025 05:00:02,6038,0,136,1807,281,53518,20094,0,20375,74029,700,1234,0,420,467,0,212,680,0,50584,21346,2099
