FILEDATE,ISSUED,NOT_ISSUED,PROVISIONAL,DELETED,MARKED,ON_MACHINE,PRE_PROCESSED,FWAB,MAIL_IN,COUNTABLE,MILITARY,OVERSEAS,TEMPORARY,MILITARY_COUNTABLE,OVERSEAS_COUNTABLE,TEMPORARY_COUNTABLE,MILITARY_ISSUED,OVERSEAS_ISSUED,TEMPORARY_ISSUED,COUNTABLE_HIGH_PROP_NG,COUNTABLE_MED_PROP_NG,COUNTABLE_ZERO_PROP_NG
string,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number
17-Sep-2025 22:01:55,10002,0,0,156,0,0,0,0,0,0,230,922,0,0,0,0,223,905,0,0,0,0
18-Sep-2025 05:00:02,10052,0,0,165,0,0,0,0,0,0,230,926,0,0,0,0,223,907,0,0,0,0
19-Sep-2025 05:00:02,10101,0,0,169,0,0,0,0,0,0,230,927,0,0,0,0,223,907,0,0,0,0
20-Sep-2025 05:00:01,10120,0,0,198,0,632,0,0,0,632,232,930,0,3,1,0,222,907,0,509,109,14
21-Sep-2025 05:00:03,10117,0,0,201,0,632,0,0,0,632,232,929,0,3,1,0,222,906,0,509,109,14
22-Sep-2025 05:00:02,10117,0,0,201,0,632,0,0,0,632,232,929,0,3,1,0,222,906,0,509,109,14
23-Sep-2025 05:00:01,10247,0,0,227,1,1008,0,0,1,1009,235,932,0,5,3,0,223,906,0,816,175,18
24-Sep-2025 05:00:01,10263,0,0,246,1,1369,0,0,1,1370,237,932,0,7,3,0,222,906,0,1102,247,21
25-Sep-2025 05:00:02,10291,0,0,260,5,1596,0,0,5,1601,237,933,0,10,4,0,206,904,0,1273,305,23
26-Sep-2025 05:00:02,10307,0,0,268,21,1831,0,0,21,1852,236,935,0,10,6,0,204,904,0,1470,354,28
29-Sep-2025 17:00:02,9879,1,0,281,588,2170,0,0,588,2758,237,940,0,14,11,0,200,904,0,2135,575,48
29-Sep-2025 17:35:10,9879,1,0,281,588,2170,0,0,588,2758,237,940,0,14,11,0,200,904,0,2135,575,48
30-Sep-2025 05:00:02,9871,1,0,293,588,2437,0,0,588,3025,238,943,0,15,11,0,200,907,0,2352,619,54
01-Oct-2025 05:00:02,9143,1,0,309,1246,2671,0,0,1246,3917,242,943,0,20,18,0,199,899,0,2954,893,70
02-Oct-2025 05:00:01,8563,0,0,320,1856,2967,0,0,1856,4823,242,948,0,21,33,0,198,883,0,3566,1176,81
03-Oct-2025 05:00:02,8035,0,0,330,2289,3303,0,0,2289,5592,246,951,0,26,39,0,195,880,0,4068,1434,90
04-Oct-2025 05:00:02,7758,0,0,351,2582,3742,0,0,2582,6324,247,956,0,29,42,0,193,881,0,4596,1622,106
05-Oct-2025 05:00:01,7728,0,0,351,2612,3742,0,0,2612,6354,247,956,0,29,42,0,193,881,0,4622,1626,106
06-Oct-2025 05:00:01,7697,0,0,351,2643,3742,0,0,2643,6385,247,956,0,29,42,0,193,881,0,4641,1638,106
07-Oct-2025 05:00:01,7416,0,0,374,2995,4103,0,0,2995,7098,256,957,0,35,53,0,191,871,0,5082,1889,127
08-Oct-2025 05:00:02,7144,0,0,386,3338,4407,0,0,3338,7745,259,958,0,38,60,0,189,865,0,5490,2110,145
09-Oct-2025 05:00:02,6864,0,0,403,3690,4653,0,0,3690,8343,264,963,0,40,65,0,190,866,0,5851,2333,159
10-Oct-2025 05:00:02,6689,0,0,415,3925,4976,0,0,3925,8901,266,965,0,43,70,0,188,860,0,6206,2517,178
11-Oct-2025 05:00:01,6629,0,0,425,4091,5490,0,0,4091,9581,268,978,0,47,83,0,185,856,0,6653,2729,199
