FILEDATE,ISSUED,NOT_ISSUED,PROVISIONAL,DELETED,MARKED,ON_MACHINE,PRE_PROCESSED,FWAB,MAIL_IN,COUNTABLE,MILITARY,OVERSEAS,TEMPORARY,MILITARY_COUNTABLE,OVERSEAS_COUNTABLE,TEMPORARY_COUNTABLE,MILITARY_ISSUED,OVERSEAS_ISSUED,TEMPORARY_ISSUED,COUNTABLE_HIGH_PROP_NG,COUNTABLE_MED_PROP_NG,COUNTABLE_ZERO_PROP_NG
string,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number
17-Sep-2025 22:01:55,1543,0,0,108,0,0,0,0,0,0,25,104,0,0,0,0,23,100,0,0,0,0
18-Sep-2025 05:00:02,1543,0,0,108,0,0,0,0,0,0,25,104,0,0,0,0,23,100,0,0,0,0
19-Sep-2025 05:00:02,1548,0,0,104,0,0,0,0,0,0,25,104,0,0,0,0,23,100,0,0,0,0
20-Sep-2025 05:00:01,1540,0,0,109,18,137,0,0,18,155,26,105,0,1,0,0,23,101,0,131,23,1
21-Sep-2025 05:00:03,1540,0,0,109,18,137,0,0,18,155,26,105,0,1,0,0,23,101,0,131,23,1
22-Sep-2025 05:00:02,1540,0,0,109,18,137,0,0,18,155,26,105,0,1,0,0,23,101,0,131,23,1
23-Sep-2025 05:00:01,1394,0,0,113,165,246,0,0,165,411,26,105,0,2,0,0,22,101,0,343,64,4
24-Sep-2025 05:00:01,1374,0,0,115,196,355,0,0,196,551,27,105,0,3,0,0,22,101,0,450,94,7
25-Sep-2025 05:00:02,1303,0,0,115,265,411,0,0,265,676,27,105,0,3,0,0,22,101,0,540,128,8
26-Sep-2025 05:00:02,1237,0,0,120,326,485,0,0,326,811,27,105,0,3,0,0,21,101,0,654,148,9
29-Sep-2025 17:00:02,1202,0,0,121,349,570,0,0,349,919,28,106,0,4,2,0,17,100,0,743,166,10
29-Sep-2025 17:35:10,1190,0,0,121,360,570,0,0,360,930,28,106,0,4,2,0,17,100,0,751,169,10
30-Sep-2025 05:00:02,1121,0,0,125,426,650,0,0,426,1076,28,106,0,4,2,0,17,100,0,855,207,14
01-Oct-2025 05:00:02,1139,0,0,128,433,719,0,0,433,1152,29,110,0,4,3,0,18,102,0,920,218,14
02-Oct-2025 05:00:01,1123,0,0,130,448,787,0,0,448,1235,30,110,0,5,3,0,18,102,0,989,232,14
03-Oct-2025 05:00:02,1073,0,0,131,507,867,0,0,507,1374,30,110,0,5,6,0,18,99,0,1096,264,14
04-Oct-2025 05:00:02,1052,0,0,133,533,968,0,0,533,1501,30,111,0,5,6,0,18,99,0,1191,296,14
05-Oct-2025 05:00:01,1052,0,0,133,533,968,0,0,533,1501,30,111,0,5,6,0,18,99,0,1191,296,14
06-Oct-2025 05:00:01,1052,0,0,133,533,968,0,0,533,1501,30,111,0,5,6,0,18,99,0,1191,296,14
07-Oct-2025 05:00:01,1027,0,0,135,573,1056,0,0,573,1629,30,111,0,5,9,0,18,96,0,1276,333,20
08-Oct-2025 05:00:02,1004,0,0,136,603,1138,0,0,603,1741,31,112,0,5,9,0,19,97,0,1355,364,22
09-Oct-2025 05:00:02,975,0,0,138,629,1138,0,0,629,1767,31,112,0,5,10,0,19,96,0,1369,376,22
10-Oct-2025 05:00:02,936,0,0,143,672,1269,0,0,672,1941,31,113,0,5,11,0,19,96,0,1497,419,25
11-Oct-2025 05:00:01,938,0,0,146,676,1391,0,0,676,2067,32,113,0,6,11,0,19,96,0,1591,448,28
12-Oct-2025 05:00:02,938,0,0,146,676,1391,0,0,676,2067,32,113,0,6,11,0,19,96,0,1591,448,28
13-Oct-2025 05:00:01,938,0,0,146,676,1391,0,0,676,2067,32,113,0,6,11,0,19,96,0,1591,448,28
