FILEDATE,ISSUED,NOT_ISSUED,PROVISIONAL,DELETED,MARKED,ON_MACHINE,PRE_PROCESSED,FWAB,MAIL_IN,COUNTABLE,MILITARY,OVERSEAS,TEMPORARY,MILITARY_COUNTABLE,OVERSEAS_COUNTABLE,TEMPORARY_COUNTABLE,MILITARY_ISSUED,OVERSEAS_ISSUED,TEMPORARY_ISSUED,COUNTABLE_HIGH_PROP_NG,COUNTABLE_MED_PROP_NG,COUNTABLE_ZERO_PROP_NG
string,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number
17-Sep-2025 22:01:55,4466,69102,0,976,0,0,0,0,0,0,1722,4134,0,0,0,0,791,3347,0,0,0,0
18-Sep-2025 05:00:02,4466,69352,0,1042,0,0,0,0,0,0,1729,4137,0,0,0,0,791,3346,0,0,0,0
19-Sep-2025 05:00:02,4467,69481,0,1079,0,0,0,0,0,0,1732,4142,0,0,0,0,791,3349,0,0,0,0
20-Sep-2025 05:00:01,74525,10,0,1215,0,2432,0,0,0,2432,1753,4158,0,13,4,0,1665,4080,0,2032,371,29
21-Sep-2025 05:00:03,74669,10,0,1292,0,4464,0,0,0,4464,1778,4158,0,37,8,0,1664,4071,0,3613,777,74
22-Sep-2025 05:00:02,74667,10,0,1294,0,4464,0,0,0,4464,1778,4158,0,37,8,0,1664,4071,0,3613,777,74
23-Sep-2025 05:00:01,75332,10,0,1397,0,6210,0,0,0,6210,1783,4189,0,43,14,0,1662,4085,0,5107,1011,92
24-Sep-2025 05:00:01,75536,11,0,1498,0,7940,0,0,0,7940,1803,4196,0,57,12,0,1668,4093,0,6574,1253,113
25-Sep-2025 05:00:02,75894,0,0,1578,0,9346,4,0,4,9350,1817,4209,0,69,18,0,1667,4096,0,7778,1438,134
26-Sep-2025 05:00:02,76074,1,0,1653,0,10710,94,0,94,10804,1832,4221,0,81,25,0,1669,4098,0,8997,1656,151
29-Sep-2025 17:00:02,74545,1,0,1762,0,12692,2531,0,2531,15223,1869,4237,0,98,35,0,1688,4099,0,12558,2472,193
29-Sep-2025 17:35:10,74545,1,0,1762,0,12692,2531,0,2531,15223,1869,4237,0,98,35,0,1688,4099,0,12558,2472,193
30-Sep-2025 05:00:02,74539,1,0,1800,0,14372,2531,0,2531,16903,1875,4234,0,109,39,0,1679,4092,0,13929,2764,210
01-Oct-2025 05:00:02,71170,1,0,1891,9,15775,6244,0,6253,22028,1897,4277,0,135,57,0,1627,4071,0,17884,3882,262
02-Oct-2025 05:00:01,66641,1,0,1983,6,17271,10988,0,10994,28265,1921,4294,0,150,58,0,1609,4082,0,22622,5309,334
03-Oct-2025 05:00:02,63411,2,0,2059,7,19004,14445,0,14452,33456,1934,4306,0,201,80,0,1572,4064,0,26360,6682,414
04-Oct-2025 05:00:02,60845,2,0,2140,22,21077,17170,0,17192,38269,1952,4313,0,241,109,0,1549,4039,0,29860,7912,497
05-Oct-2025 05:00:01,60845,2,0,2139,22,21077,17170,0,17192,38269,1951,4313,0,241,109,0,1549,4039,0,29860,7912,497
06-Oct-2025 05:00:01,60845,2,0,2139,22,21077,17170,0,17192,38269,1951,4313,0,241,109,0,1549,4039,0,29860,7912,497
07-Oct-2025 05:00:01,60269,2,0,2262,8,22783,18542,0,18550,41333,1984,4347,0,273,125,0,1545,4048,0,32078,8689,566
08-Oct-2025 05:00:02,55886,2,0,2312,48,24262,23067,0,23115,47377,2012,4372,0,334,178,0,1511,4013,0,36244,10454,679
09-Oct-2025 05:00:02,55825,2,0,2373,80,25533,23383,0,23463,48996,2035,4383,0,357,191,0,1507,4013,0,37451,10830,715
10-Oct-2025 05:00:02,53754,2,0,2427,29,26817,25729,0,25758,52575,2052,4395,0,383,205,0,1489,4005,0,39914,11874,787
11-Oct-2025 05:00:01,52706,2,0,2495,44,28847,27036,0,27080,55927,2087,4403,0,424,218,0,1478,3996,0,42143,12870,914
12-Oct-2025 05:00:02,52706,2,0,2495,44,28847,27036,0,27080,55927,2087,4403,0,424,218,0,1478,3996,0,42143,12870,914
13-Oct-2025 05:00:01,52706,2,0,2495,44,28847,27036,0,27080,55927,2087,4403,0,424,218,0,1478,3996,0,42143,12870,914
14-Oct-2025 05:00:01,50892,2,0,2607,1,31005,29537,0,29538,60543,2138,4428,0,474,279,0,1477,3953,0,44980,14451,1112
15-Oct-2025 05:00:02,51193,2,0,2675,44,32732,29532,0,29576,62308,2159,4434,0,491,281,0,1482,3955,0,46195,14927,1186
16-Oct-2025 05:00:01,49352,2,0,2735,66,34161,31633,0,31699,65860,2179,4461,0,537,341,0,1454,3913,0,48552,16034,1274
17-Oct-2025 05:00:02,49671,3,0,2808,27,35475,31687,0,31714,67189,2195,4485,0,552,346,0,1455,3923,0,49500,16378,1311
18-Oct-2025 05:00:02,47777,3,0,2870,56,37354,33786,0,33842,71196,2224,4500,0,601,454,0,1431,3825,0,52103,17628,1465
19-Oct-2025 05:00:02,47777,3,0,2869,56,37354,33786,0,33842,71196,2223,4500,0,601,454,0,1431,3825,0,52103,17628,1465
20-Oct-2025 05:00:01,47777,3,0,2869,56,37354,33786,0,33842,71196,2223,4500,0,601,454,0,1431,3825,0,52103,17628,1465
21-Oct-2025 05:00:02,46600,3,0,3002,45,39151,35722,0,35767,74918,2256,4526,0,637,498,0,1426,3801,0,54587,18750,1581
22-Oct-2025 05:00:01,43810,3,0,3084,18,40758,38767,0,38785,79543,2283,4525,0,710,593,0,1378,3704,0,57488,20333,1722
23-Oct-2025 05:00:03,43901,3,0,3149,4,42183,39075,0,39079,81262,2305,4548,0,730,634,0,1379,3684,0,58688,20811,1763
24-Oct-2025 05:00:02,44174,4,0,3308,23,50195,39075,0,39098,89293,2384,4566,0,799,643,0,1382,3688,0,64732,22626,1935
25-Oct-2025 05:00:01,41507,3,0,3470,6,59107,42039,0,42045,101152,2469,4604,0,897,797,0,1359,3547,0,72927,25951,2274
26-Oct-2025 05:00:01,41388,3,11,3625,6,71217,42039,0,42045,113273,2608,4616,0,1036,808,0,1359,3543,0,80975,29633,2665
27-Oct-2025 05:00:01,41346,3,24,3695,6,76306,42039,0,42045,118375,2663,4625,0,1088,817,0,1359,3539,0,84268,31256,2851
28-Oct-2025 05:00:02,39153,3,78,3815,6,84223,44104,0,44110,128411,2732,4641,0,1173,887,0,1335,3475,0,91337,33983,3091
29-Oct-2025 05:00:02,35555,3,131,3934,70,91504,47424,1,47494,139130,2828,4653,0,1325,1015,0,1275,3353,0,98229,37434,3467
30-Oct-2025 05:00:02,34760,3,168,4038,19,98912,48207,1,48226,147307,2913,4670,0,1417,1058,0,1264,3320,0,103636,39948,3723
31-Oct-2025 05:00:02,32946,3,206,4145,12,107337,49955,1,49967,157511,3015,4689,0,1547,1146,0,1235,3243,0,110037,43416,4058
01-Nov-2025 05:00:02,31194,3,263,4296,42,117886,51525,1,51567,169717,3181,4698,0,1733,1206,0,1213,3185,0,117216,47976,4525
02-Nov-2025 05:00:01,30963,3,404,4563,42,137215,51525,1,51567,189187,3497,4726,0,2049,1235,0,1205,3169,0,127676,56134,5377
03-Nov-2025 05:00:02,30963,3,441,4563,42,137215,51525,1,51567,189224,3501,4725,0,2052,1235,0,1205,3169,0,127676,56134,5414
