FILEDATE,ISSUED,NOT_ISSUED,PROVISIONAL,DELETED,MARKED,ON_MACHINE,PRE_PROCESSED,FWAB,MAIL_IN,COUNTABLE,MILITARY,OVERSEAS,TEMPORARY,MILITARY_COUNTABLE,OVERSEAS_COUNTABLE,TEMPORARY_COUNTABLE,MILITARY_ISSUED,OVERSEAS_ISSUED,TEMPORARY_ISSUED,COUNTABLE_HIGH_PROP_NG,COUNTABLE_MED_PROP_NG,COUNTABLE_ZERO_PROP_NG
string,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number
17-Sep-2025 22:01:55,1680,0,0,34,0,0,0,0,0,0,38,31,0,0,0,0,37,30,0,0,0,0
18-Sep-2025 05:00:02,1686,0,0,36,0,0,0,0,0,0,38,31,0,0,0,0,37,30,0,0,0,0
19-Sep-2025 05:00:02,1688,0,0,36,0,0,0,0,0,0,38,31,0,0,0,0,37,30,0,0,0,0
20-Sep-2025 05:00:01,1687,0,0,40,0,225,0,0,0,225,39,31,0,1,0,0,37,30,0,206,19,0
21-Sep-2025 05:00:03,1687,0,0,40,0,225,0,0,0,225,39,31,0,1,0,0,37,30,0,206,19,0
22-Sep-2025 05:00:02,1687,0,0,40,0,225,0,0,0,225,39,31,0,1,0,0,37,30,0,206,19,0
23-Sep-2025 05:00:01,1714,0,0,41,0,349,0,0,0,349,40,31,0,2,0,0,37,30,0,310,39,0
24-Sep-2025 05:00:01,1706,0,0,47,5,472,0,0,5,477,41,30,0,3,0,0,37,29,0,423,54,0
25-Sep-2025 05:00:02,1684,0,0,54,36,578,0,0,36,614,41,30,0,3,0,0,37,29,0,538,75,1
26-Sep-2025 05:00:02,1631,0,0,59,93,660,0,0,93,753,42,30,0,5,0,0,36,29,0,650,102,1
29-Sep-2025 17:00:02,1578,0,0,63,157,777,0,0,157,934,45,30,0,8,0,0,35,29,0,790,139,5
29-Sep-2025 17:35:10,1493,0,0,63,242,777,0,0,242,1019,45,30,0,8,0,0,35,29,0,843,169,7
30-Sep-2025 05:00:02,1483,0,0,66,244,865,0,0,244,1109,46,30,0,8,0,0,36,29,0,915,186,8
01-Oct-2025 05:00:02,1443,0,0,68,287,957,0,0,287,1244,48,30,0,10,0,0,36,29,0,1031,205,8
02-Oct-2025 05:00:01,1315,0,0,70,401,1052,0,0,401,1453,48,31,0,11,2,0,35,28,0,1177,263,13
03-Oct-2025 05:00:02,1282,0,0,70,439,1174,0,0,439,1613,48,31,0,12,2,0,34,28,0,1303,295,15
04-Oct-2025 05:00:02,1235,0,0,71,54,1285,438,0,492,1777,48,31,0,12,2,0,34,28,0,1429,333,15
05-Oct-2025 05:00:01,1235,0,0,71,54,1285,438,0,492,1777,48,31,0,12,2,0,34,28,0,1429,333,15
06-Oct-2025 05:00:01,1235,0,0,71,54,1285,438,0,492,1777,48,31,0,12,2,0,34,28,0,1429,333,15
07-Oct-2025 05:00:01,1161,0,0,73,147,1394,438,0,585,1979,48,31,0,12,4,0,34,26,0,1563,400,16
08-Oct-2025 05:00:02,1151,0,0,78,160,1463,438,0,598,2061,48,32,0,12,5,0,34,25,0,1639,406,16
09-Oct-2025 05:00:02,1113,0,0,79,202,1524,438,0,640,2164,49,32,0,13,6,0,34,24,0,1722,426,16
10-Oct-2025 05:00:02,1078,0,0,80,238,1605,438,0,676,2281,49,32,0,14,6,0,33,24,0,1803,459,19
11-Oct-2025 05:00:01,1049,0,0,86,268,1723,438,0,706,2429,50,34,0,15,6,0,33,25,0,1918,489,22
12-Oct-2025 05:00:02,1049,0,0,86,268,1723,438,0,706,2429,50,34,0,15,6,0,33,25,0,1918,489,22
13-Oct-2025 05:00:01,1049,0,0,86,268,1723,438,0,706,2429,50,34,0,15,6,0,33,25,0,1918,489,22
14-Oct-2025 05:00:01,1049,0,0,87,268,1723,438,0,706,2429,50,34,0,15,6,0,33,25,0,1918,489,22
15-Oct-2025 05:00:02,1007,0,0,89,326,1834,438,0,764,2598,51,34,0,18,6,0,31,25,0,2037,532,29
16-Oct-2025 05:00:01,1001,0,0,89,342,1916,438,0,780,2696,53,34,0,19,6,0,32,25,0,2116,551,29
17-Oct-2025 05:00:02,974,0,0,91,371,1987,438,0,809,2796,53,34,0,19,6,0,32,25,0,2189,575,32
18-Oct-2025 05:00:02,911,0,0,93,60,2078,809,0,869,2947,53,34,0,19,6,0,32,25,0,2301,614,32
19-Oct-2025 05:00:02,919,0,0,93,60,2078,809,0,869,2947,53,34,0,19,6,0,32,25,0,2301,614,32
