FILEDATE,ISSUED,NOT_ISSUED,PROVISIONAL,DELETED,MARKED,ON_MACHINE,PRE_PROCESSED,FWAB,MAIL_IN,COUNTABLE,MILITARY,OVERSEAS,TEMPORARY,MILITARY_COUNTABLE,OVERSEAS_COUNTABLE,TEMPORARY_COUNTABLE,MILITARY_ISSUED,OVERSEAS_ISSUED,TEMPORARY_ISSUED,COUNTABLE_HIGH_PROP_NG,COUNTABLE_MED_PROP_NG,COUNTABLE_ZERO_PROP_NG
string,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number
17-Sep-2025 22:01:55,521,94,0,8,0,0,0,0,0,0,10,16,0,0,0,0,10,16,0,0,0,0
18-Sep-2025 05:00:02,521,94,0,8,0,0,0,0,0,0,10,16,0,0,0,0,10,16,0,0,0,0
19-Sep-2025 05:00:02,521,94,0,8,0,0,0,0,0,0,10,16,0,0,0,0,10,16,0,0,0,0
20-Sep-2025 05:00:01,521,95,0,8,0,82,0,0,0,82,11,17,0,1,1,0,10,16,0,68,13,1
21-Sep-2025 05:00:03,520,95,0,9,0,82,0,0,0,82,11,17,0,1,1,0,10,16,0,68,13,1
22-Sep-2025 05:00:02,520,95,0,9,0,82,0,0,0,82,11,17,0,1,1,0,10,16,0,68,13,1
23-Sep-2025 05:00:01,523,95,0,11,0,121,0,0,0,121,12,17,0,2,1,0,10,16,0,101,17,3
24-Sep-2025 05:00:01,524,95,0,11,2,147,0,0,2,149,13,17,0,2,1,0,11,16,0,121,25,3
25-Sep-2025 05:00:02,497,93,0,11,8,167,0,0,8,175,13,17,0,2,1,0,10,16,0,141,31,3
26-Sep-2025 05:00:02,567,0,0,11,33,192,0,0,33,225,13,19,0,2,3,0,10,16,0,180,40,5
29-Sep-2025 17:00:02,497,0,0,13,102,243,0,0,102,345,14,19,0,3,3,0,10,16,0,258,81,6
29-Sep-2025 17:35:10,497,0,0,13,102,243,0,0,102,345,14,19,0,3,3,0,10,16,0,258,81,6
30-Sep-2025 05:00:02,497,0,0,13,102,243,0,0,102,345,14,20,0,3,3,0,10,17,0,258,81,6
01-Oct-2025 05:00:02,493,0,0,14,106,258,0,0,106,364,14,20,0,3,3,0,10,17,0,271,86,7
02-Oct-2025 05:00:01,468,0,0,14,131,279,0,0,131,410,14,20,0,3,3,0,10,17,0,303,98,9
03-Oct-2025 05:00:02,454,0,0,14,147,301,0,0,147,448,14,20,0,3,3,0,10,17,0,331,108,9
04-Oct-2025 05:00:02,448,0,0,16,154,321,0,0,154,475,14,20,0,3,3,0,10,17,0,345,119,11
