FILEDATE,ISSUED,NOT_ISSUED,PROVISIONAL,DELETED,MARKED,ON_MACHINE,PRE_PROCESSED,FWAB,MAIL_IN,COUNTABLE,MILITARY,OVERSEAS,TEMPORARY,MILITARY_COUNTABLE,OVERSEAS_COUNTABLE,TEMPORARY_COUNTABLE,MILITARY_ISSUED,OVERSEAS_ISSUED,TEMPORARY_ISSUED,COUNTABLE_HIGH_PROP_NG,COUNTABLE_MED_PROP_NG,COUNTABLE_ZERO_PROP_NG
string,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number
17-Sep-2025 22:01:55,26505,0,0,242,0,0,0,0,0,0,676,795,0,0,0,0,661,792,0,0,0,0
18-Sep-2025 05:00:02,26541,0,0,253,0,0,0,0,0,0,677,793,0,0,0,0,662,790,0,0,0,0
19-Sep-2025 05:00:02,26584,0,0,259,0,0,0,0,0,0,677,793,0,0,0,0,662,790,0,0,0,0
20-Sep-2025 05:00:01,26676,0,0,276,2,610,0,0,2,612,685,796,0,8,2,0,660,790,0,546,60,6
21-Sep-2025 05:00:03,26675,0,0,277,2,610,0,0,2,612,685,796,0,8,2,0,660,790,0,546,60,6
22-Sep-2025 05:00:02,26675,0,0,277,2,610,0,0,2,612,685,796,0,8,2,0,660,790,0,546,60,6
23-Sep-2025 05:00:01,26766,0,0,311,40,997,0,0,40,1037,690,796,0,14,4,0,659,788,0,913,113,11
24-Sep-2025 05:00:01,26710,0,0,328,45,1440,0,0,45,1485,697,800,0,18,5,0,655,791,0,1301,167,17
25-Sep-2025 05:00:02,24945,0,0,348,2002,1747,0,0,2002,3749,698,805,0,19,6,0,655,793,0,2984,734,31
26-Sep-2025 05:00:02,23230,0,0,360,3647,2028,0,0,3647,5675,706,807,0,32,11,0,649,787,0,4341,1287,47
29-Sep-2025 17:00:02,21367,0,0,390,5246,2397,0,0,5246,7643,715,810,0,56,18,0,619,781,0,5729,1848,66
29-Sep-2025 17:35:10,21397,0,0,393,5246,2674,0,0,5246,7920,716,810,0,57,18,0,619,781,0,5967,1884,69
30-Sep-2025 05:00:02,21398,0,0,397,5246,2674,0,0,5246,7920,713,807,0,57,16,0,616,783,0,5967,1884,69
01-Oct-2025 05:00:02,19996,0,0,417,6678,2909,0,0,6678,9587,720,807,0,75,25,0,601,773,0,7073,2430,84
02-Oct-2025 05:00:01,19976,0,0,426,6763,2909,0,0,6763,9672,720,809,0,76,25,0,600,775,0,7130,2458,84
03-Oct-2025 05:00:02,19467,0,0,450,7305,3527,0,0,7305,10832,723,810,0,82,29,0,597,772,0,7988,2743,101
04-Oct-2025 05:00:02,18859,0,0,468,8052,3886,0,0,8052,11938,732,813,0,101,33,0,584,771,0,8765,3057,116
05-Oct-2025 05:00:01,18859,0,0,468,8052,3886,0,0,8052,11938,732,813,0,101,33,0,584,771,0,8765,3057,116
06-Oct-2025 05:00:01,18859,0,0,468,8052,3886,0,0,8052,11938,732,813,0,101,33,0,584,771,0,8765,3057,116
07-Oct-2025 05:00:01,18513,1,0,490,8690,4145,0,0,8690,12835,733,813,0,108,35,0,548,769,0,9378,3323,134
08-Oct-2025 05:00:02,17489,1,0,512,9772,4482,0,0,9772,14254,742,817,0,122,43,0,537,764,0,10347,3749,158
09-Oct-2025 05:00:02,17486,1,0,520,9834,4482,0,0,9834,14316,741,817,0,125,50,0,533,757,0,10395,3762,159
10-Oct-2025 05:00:02,16982,1,0,551,10468,5062,0,0,10468,15530,745,822,0,133,55,0,530,757,0,11259,4095,176
11-Oct-2025 05:00:01,16619,1,0,577,10942,5470,0,0,10942,16412,757,826,0,147,66,0,526,747,0,11842,4371,199
12-Oct-2025 05:00:02,16619,1,0,577,10942,5470,0,0,10942,16412,757,826,0,147,66,0,526,747,0,11842,4371,199
13-Oct-2025 05:00:01,16813,1,0,582,10942,5470,0,0,10942,16412,757,826,0,147,66,0,526,747,0,11842,4371,199
14-Oct-2025 05:00:01,16869,1,0,602,11003,5766,0,0,11003,16769,764,827,0,160,71,0,519,740,0,12063,4497,209
15-Oct-2025 05:00:02,16960,1,0,619,11022,6080,0,0,11022,17102,771,827,0,165,71,0,521,740,0,12301,4581,220
16-Oct-2025 05:00:01,15687,1,0,638,12351,6385,0,0,12351,18736,781,830,0,185,84,0,507,729,0,13311,5170,255
17-Oct-2025 05:00:02,15771,0,0,651,9208,6636,3194,0,12402,19038,786,830,0,187,87,0,510,726,0,13538,5236,264
18-Oct-2025 05:00:02,15462,0,0,663,9622,7055,3194,0,12816,19871,793,828,0,201,93,0,506,717,0,14067,5512,292
19-Oct-2025 05:00:02,15461,0,0,664,9622,7055,3194,0,12816,19871,793,828,0,201,93,0,506,717,0,14067,5512,292
20-Oct-2025 05:00:01,15530,0,0,724,9622,11395,3194,0,12816,24211,870,842,0,275,108,0,508,714,0,17220,6619,372
21-Oct-2025 05:00:02,14983,0,0,791,10233,15460,3194,0,13427,28887,933,857,0,332,121,0,511,716,0,20910,7545,432
22-Oct-2025 05:00:01,13912,0,0,852,11353,18876,3194,0,14547,33423,988,860,0,389,150,0,507,689,0,24225,8689,509
23-Oct-2025 05:00:03,13731,0,0,909,8504,22646,6342,0,14846,37492,1039,863,0,443,161,0,504,677,0,27251,9629,612
